CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201407,1010,1,1010    ,1,        ,0,2014-07-01,18,212,APERTURA JULIO2014       ,          ,0,0,2300.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
100,201407,1010,1,1010    ,2,        ,0,2014-07-01,18,212,APERTURA JULIO2014       ,          ,0,0,566835.39,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
100,201407,1010,1,1010    ,3,        ,0,2014-07-01,18,212,APERTURA JULIO2014       ,          ,0,0,48.34,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
100,201407,1010,1,1010    ,3,        ,0,2014-07-24,139,98,FF                       ,          ,0,0,1000.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,1,1,J CASADO FC 2901ABRIL14  ,1230      ,0,333,0.00,6821.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,2,9,R CALLES FC 489          ,1264      ,0,362,0.00,940.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,3,10,G SCHECK FC 1045         ,1266      ,0,363,0.00,379.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,4,27,EDESUR OF                ,1311      ,0,403,0.00,120.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,5,31,BPP DEP GAL              ,1307      ,0,399,0.00,15000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,6,32,JUAN MONOT 5/2014        ,1301      ,0,393,0.00,513.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,7,33,HG AUT MAYO2014          ,1302      ,0,394,0.00,431.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,8,34,BOTIJA ALQ JULIO2014     ,1261      ,0,359,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,9,35,M DE OF FC 35891         ,1309      ,0,401,0.00,438.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,10,37,CREA JUNIO2014           ,1269      ,0,366,0.00,6122.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,11,57,GAL RURAL                ,          ,0,0,0.00,301065.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,17,194,B GAL IB                 ,          ,0,0,0.00,10.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-01,18,212,APERTURA JULIO2014       ,          ,0,0,164351.05,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-02,26,125,SERVICOOP FC 5648        ,1343      ,0,430,0.00,620.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-02,25,30,BPC DEP GAL              ,1308      ,0,400,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-02,23,26,C SOC JUNIO2014          ,1298      ,0,390,0.00,41768.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-02,24,28,R FAISAL RET GAN         ,1312      ,0,404,0.00,730.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-02,20,18,J CASADO FC 2943/2/1 MAYO,1278      ,0,374,0.00,4876.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-02,21,20,A CORRAL FC 1247         ,1276      ,0,372,0.00,1190.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-02,22,21,G ZUBIRI FC 753          ,1275      ,0,371,0.00,7391.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-02,19,11,L TEXEIRA FC 6014        ,1272      ,0,369,0.00,860.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-04,37,17,O PESTAÑA FC 190         ,1279      ,0,375,0.00,2800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-04,36,5,OSDE                     ,          ,0,0,223.65,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-04,38,19,L DEL RIO FC 17213/259   ,1277      ,0,373,0.00,1530.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-04,39,29,MUN C TEJ CUOTA3 /2014   ,1310      ,0,402,0.00,17903.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-04,40,39,JUAN JUNIO2014           ,1259      ,0,357,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-05,45,15,CORD ENV A CTA FC 5903   ,1281      ,0,377,0.00,2020.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-07,50,58,ZURICH 2/5 PEUG          ,          ,0,0,0.00,650.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-07,51,59,ZURICH 1/5 TOYOTA11      ,          ,0,0,0.00,1820.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-07,52,60,MAPFRE 3/4               ,          ,0,0,0.00,656.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-07,53,61,MAPFRE SEG ACC PERS      ,          ,0,0,0.00,244.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-07,54,62,MAPFRE SEG V 3/4         ,          ,0,0,0.00,458.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-07,55,63,AACREA                   ,          ,0,0,0.00,1155.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-07,56,64,VISA BUSSINES            ,          ,0,0,0.00,9084.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-08,57,16,A SINEGUB FC 7536        ,1280      ,0,376,0.00,4721.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-10,65,13,P PRIETO FC 827          ,1285      ,0,381,0.00,10228.13,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-10,64,7,CORD ENVA CTA  FC 5822   ,1262      ,0,360,0.00,4995.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-10,66,23,S IMAM TRANS SILVIA F972 ,1290      ,0,385,0.00,9787.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-10,67,38,MAPFRE CUOTA2/7          ,1268      ,0,365,0.00,146.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,78,40,UATRE 5/2014             ,1328      ,0,418,0.00,811.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,79,41,UATRE 6/2014             ,1329      ,0,419,0.00,1192.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,80,42,SERVICOOP FC 5277        ,1270      ,0,367,0.00,620.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,81,45,TEL DE ARG               ,1320      ,0,411,0.00,1041.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,82,46,ARBA CUOTA2/2014         ,1315      ,0,407,0.00,17188.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,83,47,ARBA CUOTA 2/2014        ,1316      ,0,408,0.00,36303.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,84,48,IIBB JUNIO2014           ,3695      ,0,357,0.00,11669.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,87,51,OLAG MORENO FC 18337     ,1318      ,0,409,0.00,49445.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,86,50,EDNA EXP JUNIO2014       ,1325      ,0,415,0.00,2063.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,77,14,L ZABALA FC 35154        ,1284      ,0,380,0.00,7397.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,89,66,CABLEV                   ,3817      ,0,0,0.00,1301.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-14,90,67,MOL RIO                  ,          ,0,0,7212.47,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-15,100,68,EXP OF JUNI14            ,1314      ,0,406,0.00,336.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-15,93,2,DIEGO HNOS FC 18509      ,1303      ,0,395,0.00,1343.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-15,94,3,OSDE                     ,          ,0,0,1108.52,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-15,95,22,A SCHOEDER FC MAYO14     ,1291      ,0,386,0.00,33747.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-15,99,53,J POGGI FC 73            ,1319      ,0,410,0.00,3327.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-15,98,44,LIMP OF JULIO14          ,1323      ,0,413,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-15,97,43,CECT FC 817/8/9          ,1273      ,0,370,0.00,2441.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-15,96,36,TRANS MARO FC 915        ,1287      ,0,383,0.00,17134.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-16,105,65,OSDE                     ,          ,0,0,0.00,4674.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-16,103,4,CRESPO                   ,          ,0,0,514136.18,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-16,104,12,O  SANTAMARIA FC 310     ,1271      ,0,368,0.00,106754.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-20,119,24,J DE VEGA FC 15          ,1286      ,0,382,0.00,14661.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-21,126,99,M BRISSON EXP EXTRAOR    ,1351      ,0,438,0.00,721.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-22,129,156,B SCHOEDER FC 235        ,1322      ,0,412,0.00,9679.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-23,135,100,JOCKEY JUNIO2014         ,1350      ,0,437,0.00,1970.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-23,136,101,HG AGOSTO2014            ,1339      ,0,426,0.00,18000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-23,134,97,ARBA CUOTA2/2014 COMPL   ,1344      ,0,431,0.00,7149.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-23,130,8,CORD ENV FC 5822         ,1263      ,0,361,0.00,4995.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-24,139,98,FF                       ,1348      ,0,435,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-24,140,102,ARBA C12/24              ,1332      ,0,420,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-24,138,82,AFIP 3/3 B PERS SOC      ,1336      ,0,423,0.00,14718.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-24,144,126,OSDE                     ,1338      ,0,425,0.00,2428.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-24,141,118,M L BULLEJOS FC 410      ,1368      ,0,456,0.00,8270.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-24,142,119,JAIME REINT OSDE         ,1333      ,0,421,0.00,1332.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-24,143,120,AFIP                     ,1267      ,0,455,0.00,1548.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-24,145,128,AMX FC 1035541           ,1337      ,0,424,0.00,1520.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-25,154,124,CELCT FC 169/0/1         ,1345      ,0,432,0.00,6764.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-26,160,96,CAC FC 19922             ,1370      ,0,457,0.00,525.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-28,168,106,CRESPO                   ,          ,0,0,172878.81,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-28,170,129,SDO JULIO 2014           ,1347      ,0,434,0.00,10759.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-29,175,116,LIMP OFIC                ,1342      ,0,429,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-30,188,195,BCO GAL IMP DEB          ,          ,0,0,0.00,5906.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-30,189,196,BCO GAL IMP CRED         ,          ,0,0,0.00,4173.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,1,        ,0,2014-07-30,190,197,BCO GAL SIRCREB          ,          ,0,0,0.00,347.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-01,18,212,APERTURA JULIO2014       ,          ,0,0,12512.23,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-03,35,201,BPCC SIRCREB             ,          ,0,0,0.00,3.40,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-03,30,110,AFIP PET FOOD            ,          ,0,0,935.20,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-03,32,112,AFIP MOL CHAC            ,          ,0,0,3763.39,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-03,34,114,AFIP MOL CHAC            ,          ,0,0,2157.96,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-14,85,49,BPP DEP PCIA CC          ,4974      ,0,414,0.00,10000.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-30,193,200,BPCC                     ,          ,0,0,0.00,184.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-30,191,198,BPCC IMP DEB             ,          ,0,0,0.00,61.10,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,3,        ,0,2014-07-30,192,199,BPCC IMP CRED            ,          ,0,0,0.00,41.13,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-01,5,31,BPP DEP GAL              ,          ,0,0,15000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-01,18,212,APERTURA JULIO2014       ,          ,0,0,0.00,5831.36,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-03,28,52,HH CAJA CAMPO            ,1344      ,0,23,0.00,976.01,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-08,58,25,E VALLEJOS LAB A MAYO2014,1343      ,0,22,0.00,6506.30,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-14,85,49,BPP DEP PCIA CC          ,          ,0,0,10000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-18,116,83,HH PAGO VARIOS           ,1345      ,0,24,0.00,1253.22,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-28,168,106,CRESPO                   ,          ,0,0,36000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-30,183,154,VANINA JULIO14           ,1401      ,0,30,0.00,3500.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-30,182,153,J MACHINANDIARENA FC 250 ,1402      ,0,31,0.00,1452.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-31,205,202,BPP IMP DEB              ,          ,0,0,0.00,361.97,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-31,206,203,BPCC IMP CRED            ,          ,0,0,0.00,366.30,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-31,207,204,BPP GB                   ,          ,0,0,0.00,258.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-31,201,81,H HEREÑU JULIO2014       ,1346      ,0,25,0.00,11700.65,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-31,199,79,E VALLEJOS JULIO2014     ,1350      ,0,29,0.00,4763.32,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-31,200,80,L VALLEJOSJULIO2014      ,1348      ,0,27,0.00,5396.57,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-31,198,78,A FERREYRA JULIO2014     ,1347      ,0,26,0.00,5230.33,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,5,        ,0,2014-07-31,208,205,BPP SIRCREB              ,          ,0,0,0.00,30.50,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-01,18,212,APERTURA JULIO2014       ,          ,0,0,24726.20,0.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-02,27,210,BPC GB PROC              ,          ,0,0,0.00,20.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-02,25,30,BPC DEP GAL              ,          ,0,0,20000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-16,112,211,BPC PROCAMPO             ,          ,0,0,0.00,35679.77,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-23,131,55,VC VEC 23/07             ,          ,0,0,0.00,6352.31,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-28,168,106,CRESPO                   ,          ,0,0,28000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-30,197,209,BPC SIRCREB              ,          ,0,0,0.00,24.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-30,196,208,BPC GB                   ,          ,0,0,0.00,238.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
100,201407,1020,1,1020    ,8,        ,0,2014-07-30,194,206,BPC IMP DEB              ,          ,0,0,0.00,253.48,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
