CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201408,1020,1,1020    ,1,        ,0,2014-08-01,15,200,BCO GAL IMP FISCAL       ,          ,0,0,0.00,125.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-01,16,201,BCO GAL ING BRUTOS       ,          ,0,0,0.00,167.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-04,24,20,M DE OF/VARIOS           ,1373      ,0,460,0.00,700.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-04,25,21,P HAMLTON                ,1372      ,0,459,0.00,1200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-04,26,22,EDNA EXP JULIO2014       ,1388      ,0,473,0.00,2664.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-04,27,23,AFIP ANT 2 BP            ,1375      ,0,462,0.00,7815.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-04,28,44,J POGGI FC 116 JULIO14   ,1376      ,0,463,0.00,3327.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-04,29,45,J POGGI FC 93            ,1377      ,0,464,0.00,8228.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-04,30,48,EXP JULIO2014            ,1387      ,0,472,0.00,336.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,35,17,CREA JULIO14             ,1346      ,0,433,0.00,6122.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,37,26,ARBA 11/24               ,1379      ,0,466,0.00,1699.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,38,27,ARBA 3/2014              ,1383      ,0,469,0.00,2636.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,39,28,ARBA 3/2014              ,1381      ,0,468,0.00,9115.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,40,29,BOTIJA AGOSTO2014        ,1341      ,0,428,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,34,1,CORD ENV A CTA FC 5903   ,1282      ,0,378,0.00,2020.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,46,202,MAPFRE SEG ACC PER       ,          ,0,0,0.00,244.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,47,203,MAPFRE 4/4               ,          ,0,0,0.00,656.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-05,48,204,AACREA                   ,          ,0,0,0.00,1155.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-06,55,205,ZURICH 3/5               ,          ,0,0,0.00,650.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-06,56,206,ZURICH 2/5               ,          ,0,0,0.00,1820.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-06,49,24,C SOC JULIO14            ,1374      ,0,461,0.00,27649.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-06,53,43,LIMP OF                  ,1386      ,0,471,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-06,51,40,OSDE AGOS14              ,1393      ,0,476,0.00,2428.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-06,50,39,EL INDIO DEV PRESTAMO    ,1394      ,0,477,0.00,233156.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-06,52,42,AFIP RET GAN             ,1349      ,0,436,0.00,4149.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-07,61,35,JUAN GAVIÑA JULIO2014    ,1340      ,0,427,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-07,63,46,MAPFRE                   ,1384      ,0,470,0.00,734.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-07,62,41,TEL DE ARF               ,1380      ,0,467,0.00,1053.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201408,1020,1,1020    ,1,        ,0,2014-08-07,73,207,MAPFRE 4/4               ,          ,0,0,0.00,458.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
