CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201409,1010,1,1010    ,3,        ,0,2014-09-01,34,87,F FONDOS                 ,          ,0,0,0.00,516.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
100,201409,1010,1,1010    ,3,        ,0,2014-09-09,112,24,FF                       ,          ,0,0,1000.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,3,16,DIESEL LANGE SALDO       ,          ,0,0,0.00,582.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,1,2,BOTIJA F ALQ SEP2014     ,1429      ,0,509,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,2,15,O SANTAMARIA SALDO FC 314,          ,0,0,0.00,39793.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,6,49,BCO GAL GB               ,          ,0,0,0.00,680.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,8,51,BCO GAL                  ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,12,55,BCO GAL GB               ,          ,0,0,0.00,15.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,10,53,BCO GAL                  ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,14,58,BCO GAL AGOS 2014        ,          ,0,0,0.00,184.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,16,60,BCO GAL AGO              ,          ,0,0,0.00,880.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,18,62,BCO GAL INT AGOS14       ,          ,0,0,0.00,4769.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,20,64,BCO GAL INT AGOS14       ,          ,0,0,0.00,0.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,22,66,BCO GAL COM              ,          ,0,0,0.00,5.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,24,68,BCO GAL                  ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,26,70,BCO GAL COM              ,          ,0,0,0.00,70.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,28,72,BCO GAL COM              ,          ,0,0,0.00,363.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,30,74,BCO GAL COMI             ,          ,0,0,0.00,27.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,39,125,BCO GAL COMIS            ,          ,0,0,0.00,99.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,41,127,BCO GAL GB               ,          ,0,0,0.00,709.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,43,129,BCO GAL IB               ,          ,0,0,0.00,110.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,48,176,BCO GAL INT              ,          ,0,0,0.00,3180.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,57,250,BCO GAL IMP F            ,          ,0,0,0.00,82.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-01,58,251,COMI TRANS               ,          ,0,0,0.00,1266.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-02,61,13,C BERTHE FC 622          ,1415      ,0,496,0.00,1381.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-02,59,1,CORD ENV SALDO FC 5903   ,1283      ,0,379,0.00,2020.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-02,60,5,ANDREA GONZALEZ FC 1270  ,1414      ,0,495,0.00,677.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201409,1020,1,1020    ,1,        ,0,2014-09-02,62,31,EXP BRISSON AGOST2014    ,1440      ,0,518,0.00,2958.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
