CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201410,1020,1,1020    ,1,        ,0,2014-10-01,1,28,J POGGI FC 199           ,1508      ,0,582,0.00,3327.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-02,6,27,D POGGI FC 388/          ,1529      ,0,598,0.00,605.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-05,26,10,A CORRAL FC 1285         ,1509      ,0,583,0.00,1230.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,27,17,CRESPO                   ,          ,0,0,254910.48,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,28,20,L DEL RIO FC 17605       ,1515      ,0,588,0.00,274.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,29,36,AFIP                     ,          ,0,0,0.00,473.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,30,39,UATRE SEP 2014           ,1484      ,0,559,0.00,840.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,31,40,C SOC SEP 2014           ,1482      ,0,557,0.00,30039.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,37,209,ZURICH 5./5              ,          ,0,0,0.00,650.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,38,210,MAPFRE 2./4              ,          ,0,0,0.00,696.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,39,211,AACREA                   ,          ,0,0,0.00,1155.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-06,40,212,ZURICH 4/5               ,          ,0,0,0.00,1820.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-07,50,41,TEL DE ARG               ,1481      ,0,556,0.00,1071.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-07,51,42,AFIP RET GAN EL CUYANO   ,1495      ,0,569,0.00,47.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-07,52,43,BOTIJA OCT 2014          ,1495      ,0,569,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-07,49,38,SIGRA SALDO              ,1525      ,0,596,0.00,4388.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-07,48,37,MUNI DE C TEJ CAM 5/2014 ,1524      ,0,594,0.00,18396.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201410,1020,1,1020    ,1,        ,0,2014-10-07,47,35,JUAN JOCKEY AGOSTO 2014  ,1488      ,0,562,0.00,2093.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
