CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201412,1010,1,1010    ,3,        ,0,2014-12-03,59,217,HG                       ,          ,0,0,0.00,519.59,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
100,201412,1010,1,1010    ,3,        ,0,2014-12-11,121,224,AUT 11/14                ,          ,0,0,0.00,505.81,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,27,221,BG IB                    ,          ,0,0,0.00,11.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,1,5,AMX                      ,1598      ,0,666,0.00,1174.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,2,12,ARBA MARTIN 5/2014       ,1604      ,0,672,0.00,9115.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,3,13,IMP INM 3/2014           ,1602      ,0,670,0.00,46287.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,4,14,IMP INM 3/2014           ,1601      ,0,669,0.00,21915.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,5,16,C SOC NOV 2014           ,1599      ,0,667,0.00,29566.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,6,17,GAL RURAL                ,1624      ,0,681,0.00,90000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,7,34,PATSY                    ,1616      ,0,680,0.00,1650.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,10,56,BG IIBC                  ,          ,0,0,0.00,13.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,12,58,BG BG                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,9,55,BG GB                    ,          ,0,0,0.00,795.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,14,60,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,16,79,BG GB                    ,          ,0,0,0.00,12.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,18,81,BG GB                    ,          ,0,0,0.00,712.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,20,83,BG GB                    ,          ,0,0,0.00,783.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,21,84,BG IIBC                  ,          ,0,0,0.00,13.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-01,23,86,BG GB                    ,          ,0,0,0.00,2.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-02,32,46,TEL DE ARG               ,1619      ,0,684,0.00,1114.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-02,30,38,OSDE                     ,1626      ,0,689,0.00,2650.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-02,31,42,BOTIJA DIC2014           ,1630      ,0,693,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-02,29,15,MOR CUOTA 15/24          ,1600      ,0,668,0.00,1716.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-03,49,40,E FOR FC 7318            ,1658      ,0,714,0.00,2284.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-03,47,30,GAL RURAL                ,          ,0,0,0.00,4000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-03,59,217,HG                       ,          ,0,0,519.59,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,69,31,EXP NOV2014              ,1655      ,0,711,0.00,2741.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,67,28,JC JUAN 11/2014          ,1642      ,0,702,0.00,2298.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,68,29,ARBA MOR 16/24           ,1653      ,0,709,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,72,35,AFIP                     ,1617      ,0,682,0.00,1105.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,70,32,REINT OSDE               ,1654      ,0,710,0.00,4034.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,71,33,B PER ANT 4              ,1609      ,0,679,0.00,7815.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,75,43,LIMP                     ,1632      ,0,694,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,73,36,J POGGI FC 288           ,1641      ,0,701,0.00,3327.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,74,37,E FORN FC 7205           ,1610      ,0,676,0.00,4472.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,77,47,MUN CT 6/2014            ,1640      ,0,700,0.00,18396.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,76,45,ART                      ,1618      ,0,683,0.00,64.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,66,26,CABLE                    ,1629      ,0,692,0.00,621.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,61,7,UATRE 11/2014            ,1612      ,0,678,0.00,822.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,62,8,UATRE 10/214             ,1611      ,0,677,0.00,836.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,63,9,DEC GANAN 2014 1/3       ,1608      ,0,675,0.00,68327.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,64,10,DEC JUR GAN 2014 INT     ,1607      ,0,674,0.00,1298.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-04,65,11,VANINA/BETTY             ,1606      ,0,673,0.00,1389.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-05,81,2,J DURAN FC 2707          ,1586      ,0,657,0.00,7569.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-05,86,87,BG ZURICH C1             ,          ,0,0,0.00,913.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-05,87,88,MAPFRE 4/4               ,          ,0,0,0.00,696.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-05,88,89,MAPFRE SEG PER           ,          ,0,0,0.00,296.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201412,1020,1,1020    ,1,        ,0,2014-12-05,89,90,AACREA                   ,          ,0,0,0.00,1280.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
