CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201501,1010,1,1010    ,1,        ,0,2015-01-05,31,19,FF                       ,          ,0,0,2000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
100,201501,1010,1,1010    ,3,        ,0,2015-01-06,49,182,AUT12/14                 ,          ,0,0,0.00,505.81,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-02,13,156,BG GB                    ,          ,0,0,0.00,2.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-02,14,158,BG GB                    ,          ,0,0,0.00,13.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-02,5,1,L ZABALA FC 650/770      ,1625      ,0,687,0.00,18742.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-02,6,5,L ZABALA FC 1029/1147/02 ,9516      ,0,756,0.00,3597.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-02,7,6,A JAURENA FC 12407       ,9508      ,0,748,0.00,11785.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-02,10,56,BG GB                    ,          ,0,0,0.00,770.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-03,17,8,AFIP CUOTA 2 DEC JUR2014 ,1628      ,0,691,0.00,70149.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-03,16,2,J CASADO FC NOV 2014     ,9514      ,0,754,0.00,6965.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,22,10,E FORN FC 7326           ,9511      ,0,751,0.00,2300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,23,11,C SOC DIC 2014           ,1660      ,0,716,0.00,47259.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,24,12,UATRE DIC2014            ,1680      ,0,735,0.00,1344.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,25,13,DIESEL LANGE FC 57276    ,9510      ,0,750,0.00,1039.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,26,14,BOTIJA AL ENERO2015      ,1659      ,0,715,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,27,15,VANINA AFIP DIC/ENER     ,1665      ,0,721,0.00,936.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,28,16,AFIP DIC/ENE BETY        ,1666      ,0,722,0.00,530.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,29,17,CABLEV MARTINDALE VEC ENE,1667      ,0,723,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,31,19,FF                       ,1678      ,0,733,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,32,20,AFIP RET GAN             ,9518      ,0,758,0.00,841.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,33,21,TEL/LUZ                  ,1682      ,0,737,0.00,1300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,30,18,JUAN DIC/ENE/2014        ,1676      ,0,731,0.00,1200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,34,22,J POGGI FC 327           ,9520      ,0,760,0.00,4658.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,35,57,MAPFE VIDA               ,          ,0,0,0.00,295.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,36,58,MAPFRE CUOTA 1           ,          ,0,0,0.00,787.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-05,37,59,ACREA                    ,          ,0,0,0.00,1280.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-07,61,60,ZURICH CUOTA 2           ,          ,0,0,0.00,913.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-07,62,61,ZURICH 1/5               ,          ,0,0,0.00,2373.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-07,52,24,ARBA MOR 17/24           ,1664      ,0,720,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201501,1020,1,1020    ,1,        ,0,2015-01-07,53,26,AMX                      ,1685      ,0,740,0.00,1200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
