CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,2,2,OLEAG FC 20735           ,9534      ,0,772,0.00,47207.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,3,18,DL FC 19547              ,9611      ,0,794,0.00,1258.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,4,20,AFIP RET GAN             ,9631      ,0,1013,0.00,1025.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,5,26,AACPOLO AÑO2015          ,9535      ,0,773,0.00,7000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,6,27,L ZABALA DEV RET         ,9541      ,0,779,0.00,70.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,7,41,AMX                      ,9530      ,0,768,0.00,1200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,8,42,AMX FC 1589008           ,9529      ,0,767,0.00,1070.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,9,50,TEL DE ARG               ,9528      ,0,766,0.00,1276.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,11,71,BG GB                    ,          ,0,0,0.00,891.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-02,12,72,BG IB                    ,          ,0,0,0.00,24.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,37,51,OS                       ,9550      ,0,785,0.00,2650.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,38,52,AFIP                     ,9610      ,0,793,0.00,763.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,35,48,CERTIF BALANCES          ,9555      ,0,789,0.00,6000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,36,49,LIMP                     ,9526      ,0,765,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,39,53,LIMP ALF/CORTIN          ,9619      ,0,1004,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,34,45,P PRIETO FC 1247         ,9625      ,0,1009,0.00,479.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,32,24,CECT FC 2929/30/31       ,9551      ,0,786,0.00,5091.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,33,25,SERVICOOP FC 7907        ,9542      ,0,780,0.00,620.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,28,19,TASA VIAL CUOTA1/2015    ,9626      ,0,1010,0.00,23912.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,27,17,AACH 1 TRIM/2015         ,9537      ,0,775,0.00,590.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,29,21,ARBA MOR 18/24           ,9614      ,0,797,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,30,22,UATRE ENERO2015          ,9608      ,0,792,0.00,971.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,31,23,ENERO2015                ,1673      ,0,728,0.00,6800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,17,1,CREA ENERO 2015          ,9607      ,0,791,0.00,6122.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,18,5,CECT FC 3281/2/3         ,9650      ,0,1024,0.00,904.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,19,6,CABLEV 2 MESES           ,9621      ,0,1006,0.00,1419.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,20,7,EDNA EXP DIC2014         ,9552      ,0,787,0.00,2847.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,21,8,C SOC ENERO2015          ,9554      ,0,788,0.00,37456.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,22,9,JOCKEY DIC2014/ENER/2015 ,9615      ,0,800,0.00,4544.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,23,10,YPF FC 13826             ,9536      ,0,774,0.00,6401.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,24,11,EXP OFIC DIC2014         ,9612      ,0,795,0.00,430.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-04,25,12,PM SESIONES DIC2014      ,9543      ,0,781,0.00,1650.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-05,43,73,BG ZURICH C 3            ,          ,0,0,0.00,913.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-05,44,74,ZURICH C 2/5             ,          ,0,0,0.00,2373.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-05,45,75,MAPFRE C 2               ,          ,0,0,0.00,787.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-05,46,76,MAPFRE SEG VIDA          ,          ,0,0,0.00,295.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-05,47,77,AACREA                   ,          ,0,0,0.00,1280.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-06,50,13,J POGGI FC 368           ,9525      ,0,764,0.00,4658.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-06,51,159,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-06,52,160,OSDE                     ,          ,0,0,485.89,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-09,55,151,VISA VEC 09/02           ,          ,0,0,0.00,9144.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201502,1020,1,1020    ,1,        ,0,2015-02-09,57,162,BG PESTAÑA               ,3851      ,0,0,0.00,3500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
