CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201505,1020,1,1020    ,1,        ,0,2015-05-01,1,1,ATSA AFTOSA              ,9557      ,0,135,0.00,13367.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-01,2,3,BOTIJA ALQ ABRIL2015     ,0         ,0,1144,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-01,3,40,SAENZ LQ 70610           ,          ,0,0,568516.37,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,19,33,J POGGI FC 493           ,9876      ,0,1175,0.00,4658.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,9,4,TEL DE ARG 9330545       ,9877      ,0,1176,0.00,1245.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,10,19,PMHAMILTON 4 SES ABRIL15 ,9885      ,0,1184,0.00,2400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,11,20,IMP INM CUOTA2/2015      ,9880      ,0,1179,0.00,3305.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,12,21,GALICIA RURAL            ,9900      ,0,1202,0.00,138408.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,13,22,C SOC MARZO 2015         ,9874      ,0,1173,0.00,29770.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,14,23,GAN ANT6/2015            ,9875      ,0,1174,0.00,32611.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,15,24,J CLUB ABRIL2015         ,9878      ,0,1177,0.00,2904.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,16,25,FF                       ,9886      ,0,1185,0.00,964.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,17,27,IMP INM MOR 21/24        ,9882      ,0,1181,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,18,28,EDESUR                   ,9887      ,0,1186,0.00,148.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-04,24,200,BG IBC                   ,          ,0,0,0.00,29.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-05,29,201,MAPFRE                   ,          ,0,0,0.00,898.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-05,30,202,BG MAPFRE                ,          ,0,0,0.00,296.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-05,27,152,L CASAGRANDE FC 2407     ,4001      ,0,1223,0.00,11910.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-05,25,7,A GROPPA A CTA FC 84     ,9561      ,0,145,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-07,48,203,BG ZURICH                ,          ,0,0,0.00,2373.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-07,49,204,BG MAPFRE                ,          ,0,0,0.00,513.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-09,50,31,COLOMBO Y MAGLIANO A CTA ,9883      ,0,1182,0.00,147847.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-10,54,15,A CORRAL FC 1367         ,9891      ,0,1190,0.00,1320.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-11,56,11,G SANTAMARIA A CTA       ,9898      ,0,1201,0.00,30000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-11,57,12,S ALEMAN FC 6390         ,9873      ,0,1172,0.00,10945.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-11,61,205,BG AACREA                ,          ,0,0,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-11,62,206,BG VISA B                ,          ,0,0,0.00,41124.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-12,64,6,A GROPPA                 ,9562      ,0,146,0.00,23996.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-13,68,32,B PERS SOC CUOTA1/3      ,9804      ,0,1112,0.00,17371.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-15,82,38,SUBIRI                   ,          ,0,0,247778.04,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-15,79,2,UATRE 2/12               ,9858      ,0,1160,0.00,1846.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-15,80,13,J CASADO FC MARZO2015    ,9888      ,0,1187,0.00,7129.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-15,81,14,P PRIETO FC 1483         ,9890      ,0,1189,0.00,3447.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-15,83,64,CABALEIRO FC 1115        ,9565      ,0,151,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-15,88,207,BG OSDE                  ,          ,0,0,0.00,5469.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-18,102,209,BG GAL RURAL             ,          ,0,0,0.00,138408.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-18,101,161,HG MAYO15                ,4008      ,0,1231,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201505,1020,1,1020    ,1,        ,0,2015-05-18,99,141,ALEMAN FC 6390           ,4005      ,0,1228,0.00,217.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
