CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,2,4,REINT HG                 ,          ,0,0,14678.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,3,7,A CORRAL FC 1382         ,4002      ,0,1224,0.00,950.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,4,8,J CASADO FC 3343/3346    ,4003      ,0,1225,0.00,6192.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,5,10,MARTIN 05/2015           ,TRANS     ,0,0,0.00,14678.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,6,11,FF                       ,410       ,0,1233,0.00,566.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,7,12,J POGGI FC 535           ,4038      ,0,1260,0.00,4658.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,8,13,C SOC MAYO2015           ,4042      ,0,1264,0.00,28855.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,10,15,BOTIJA JUNIO2015         ,4022      ,0,1244,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,11,16,AFIP                     ,4018      ,0,1240,0.00,1198.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,9,14,BETTY AFIP MAYO/JUNIO    ,4028      ,0,1250,0.00,530.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,12,17,AFIP RET GAN MAYO2015    ,4043      ,0,1265,0.00,2379.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,13,20,JOCKEY MAYO2015          ,4040      ,0,1262,0.00,2478.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,14,23,ARBA22/24                ,4013      ,0,1235,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,15,24,TEL DE ARG               ,4045      ,0,1266,0.00,1422.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,16,27,SAENZ                    ,TRANSF    ,0,0,0.00,369204.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,17,33,CABLE MAYO15             ,4048      ,0,1268,0.00,650.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,30,217,BCO GAL GB               ,          ,0,0,0.00,1059.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,32,219,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,34,221,BG GB                    ,          ,0,0,0.00,921.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,36,223,BG GB                    ,          ,0,0,0.00,4235.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,38,225,BG GB                    ,          ,0,0,0.00,981.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,39,226,OSDE                     ,          ,0,0,440.87,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-01,40,227,BG IBC                   ,          ,0,0,0.00,27.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-03,55,21,CASA EL TUC FC           ,4012      ,0,1234,0.00,314.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-03,54,6,P PRIETO FC 1491         ,4000      ,0,1222,0.00,20343.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-03,59,65,CECT FC 4/2015           ,4054      ,0,1273,0.00,2832.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-04,70,90,E FORNIELES FC 8168      ,4062      ,0,1281,0.00,594.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-04,63,25,OSDE                     ,4041      ,0,1263,0.00,462.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-04,64,31,CECT FC 185745           ,4056      ,0,1275,0.00,343.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-04,65,42,EXP OF ABRIL/MAYO        ,4061      ,0,1280,0.00,869.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-04,66,45,JUAN MAYO HAMILTON       ,4057      ,0,1276,0.00,2400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-04,67,50,J POGGI FC 559           ,4063      ,0,1282,0.00,5759.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-04,68,51,EXP EDNA MAYO15          ,4064      ,0,1283,0.00,3004.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-05,77,228,OSDE                     ,          ,0,0,199.39,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-05,79,230,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-05,80,231,BG ZURICH                ,          ,0,0,0.00,1138.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-05,81,232,MAPFRE                   ,          ,0,0,0.00,898.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-05,82,233,MAPFRE                   ,          ,0,0,0.00,296.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-05,83,234,BG AACREA                ,          ,0,0,0.00,2187.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-08,99,251,BG MAPFRE                ,          ,0,0,0.00,513.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-08,100,252,BG VB                    ,          ,0,0,0.00,15019.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-08,92,22,AFIP ANT GAN 07/15       ,4036      ,0,1258,0.00,32611.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-08,93,26,CREA MAYO2015            ,3988      ,0,1210,0.00,6683.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-08,94,28,ARBA MART 3/2015         ,4014      ,0,1236,0.00,11815.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-08,90,18,UATRE MAYO15             ,4030      ,0,1251,0.00,830.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-08,91,19,UATRE ABRIL2015          ,4029      ,0,1252,0.00,792.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-08,95,67,ARBA 3/2015              ,4015      ,0,1237,0.00,3424.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-10,102,5,C Y M FC 755             ,4019      ,0,1241,0.00,148796.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-10,103,9,JOSE MUÑOZ FC 1580       ,3997      ,0,1219,0.00,10383.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201506,1020,1,1020    ,1,        ,0,2015-06-10,126,235,SAENZ                    ,          ,0,0,297502.13,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
