CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201507,1020,1,1020    ,1,        ,0,2015-07-01,1,5,L CASAGRANDE FC 2439     ,4092      ,0,1307,0.00,11910.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-01,2,6,OLEAG                    ,          ,0,0,261116.89,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-01,3,11,HG                       ,4026      ,0,1248,0.00,18000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-01,4,16,BOTIJA ALQ OF JULIO      ,3994      ,0,1216,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-01,5,17,SAENZ FC 3161            ,4020      ,0,1242,0.00,236155.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-01,12,129,BOTIJA JULIO2015         ,4023      ,0,1245,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-01,13,182,BG IBC                   ,          ,0,0,0.00,29.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-01,14,198,BG GALICIA RURAL         ,          ,0,0,0.00,63135.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-03,32,9,OLEAG MOR                ,          ,0,0,93500.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-04,35,12,HG AFIP                  ,4027      ,0,1249,0.00,1198.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-05,38,2,A GROPPA                 ,9569      ,0,158,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-06,39,13,JAIME JUNIO2015          ,24        ,0,1246,0.00,6800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-06,40,21,OSDE                     ,4108      ,0,1324,0.00,2855.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201507,1020,1,1020    ,1,        ,0,2015-07-06,41,27,OLEAG                    ,          ,0,0,92750.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
