CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,7,117,BG GB                    ,          ,0,0,0.00,1074.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,9,119,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,11,121,BG GB                    ,          ,0,0,0.00,56.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,12,122,BG IBC                   ,          ,0,0,0.00,30.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,14,124,BG GB                    ,          ,0,0,0.00,1097.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,16,126,BG GB                    ,          ,0,0,0.00,14196.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,18,128,BG GB                    ,          ,0,0,0.00,18.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,19,154,SANTE TOMAS CH 4035 ANUL ,          ,0,0,2165.90,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,21,217,BG COM                   ,          ,0,0,0.00,1137.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-01,22,218,BG IBC                   ,          ,0,0,0.00,31.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-02,23,2,FERIAS DEL CENTRO L10602 ,TRANS     ,0,0,0.00,11847.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-02,25,12,BOTIJA SEP2015           ,9951      ,0,1434,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-02,26,13,LIMP                     ,9952      ,0,1435,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-02,27,15,DAMIAN POGGI FC 3        ,9957      ,0,1438,0.00,242.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-02,29,17,D POGGI FC 26            ,9958      ,0,1439,0.00,363.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-02,30,73,TL INF FC 11272          ,9970      ,0,1449,0.00,704.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-03,41,25,JAIME                    ,          ,0,0,0.00,15300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-03,40,6,CABLEV VEC 09/2015       ,9953      ,0,1428,0.00,968.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-03,43,219,BG CONSOLIDAR            ,          ,0,0,0.00,219.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-04,52,11,BPC                      ,9947      ,0,1430,0.00,25000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-04,48,7,UATRE AG2015             ,9959      ,0,1440,0.00,29.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-04,49,8,UATRE AGOS2015           ,9955      ,0,1437,0.00,1238.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-04,50,9,UATRE 7/2015             ,9954      ,0,1436,0.00,964.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-04,51,10,AFIP RET GAN             ,9950      ,0,1433,0.00,3628.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-04,53,14,J POGGI FC 673           ,9946      ,0,1429,0.00,4658.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-05,61,188,UATRE SEP2015            ,4199      ,0,1499,0.00,1340.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-07,74,221,ZURICH 4                 ,          ,0,0,0.00,1138.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-07,75,222,ZURICH 3                 ,          ,0,0,0.00,2793.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-07,67,20,JUAN SEM                 ,9937      ,0,1422,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-07,68,21,MAIA OSDE/SEGURO         ,9936      ,0,1421,0.00,2835.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-07,66,5,JOCKEY  AGOSTO2015       ,9939      ,0,1424,0.00,3334.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-07,76,223,MPFRE SEG PE             ,          ,0,0,0.00,994.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201509,1020,1,1020    ,1,        ,0,2015-09-07,77,224,MAPFRE V                 ,          ,0,0,0.00,463.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
