CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,1,30,AGROALIANZAS SRL FC 115  ,9999      ,0,1480,0.00,25689.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,2,31,AGROBONANZA FC 5         ,9998      ,0,1479,0.00,4731.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,3,37,BOTIJA OCT 2015          ,4187      ,0,1497,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,4,38,ARBA IM P COMPLEM        ,02        ,0,1483,0.00,8595.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,5,39,O SANTAMARIA             ,TRANSF    ,0,0,0.00,33898.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,6,41,LIMP/ALFOM               ,4192      ,0,1492,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,7,42,F LQ                     ,4193      ,0,0,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,8,43,CABLEV                   ,4200      ,0,1500,0.00,950.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,9,44,AFIP ACUÑA               ,4198      ,0,1498,0.00,468.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201510,1020,1,1020    ,1,        ,0,2015-10-01,10,45,AFIP                     ,4196      ,0,1496,0.00,1553.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
