CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201511,1020,1,1020    ,1,        ,0,2015-11-01,2,39,BG GB                    ,          ,0,0,0.00,1043.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-02,10,41,BG GB                    ,          ,0,0,0.00,1478.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-02,12,43,BG GB                    ,          ,0,0,0.00,464.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-02,6,25,EXP JUAN INM KERR        ,4285      ,0,1627,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-02,7,26,JUAN SEMANAL             ,4271      ,0,1613,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-02,8,28,KERR JUAN NOV 2015       ,4286      ,0,1628,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-02,15,81,BG IBC                   ,          ,0,0,0.00,55.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,30,30,J POGGI FC 761           ,4293      ,0,1834,0.00,4658.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,31,31,TEL DE ARG               ,4306      ,0,1646,0.00,1452.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,32,32,CTA FC 248               ,4299      ,0,1640,0.00,362.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,29,24,CREA OCT2015             ,4246      ,0,1590,0.00,4931.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,26,19,EDESUR                   ,4300      ,0,1641,0.00,134.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,22,14,UATRE 10/2015            ,4304      ,0,1644,0.00,1401.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,23,16,C SOC OCT2015            ,4294      ,0,1635,0.00,46279.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,24,17,JOCKEY 10/2015           ,4305      ,0,1645,0.00,3465.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,25,18,AFIP                     ,4307      ,0,1647,0.00,1025.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,33,36,CECT FC 6421/2/3         ,4297      ,0,1639,0.00,3108.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-03,34,37,AFIP                     ,4303      ,0,1643,0.00,2776.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-04,35,2,ADRIAN AZCURRA FC 667    ,4281      ,0,1623,0.00,32202.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-04,36,23,CAMPOS DE SIMON          ,4309      ,0,1648,0.00,7272.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-05,44,6,P PRIETO FC 1765/42      ,4280      ,0,1622,0.00,12366.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-05,45,44,ZUBIRI FRILOBOS FC 341   ,          ,0,0,299049.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-05,46,45,OSDE                     ,          ,0,0,326.83,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-05,47,46,MAPFRE                   ,          ,0,0,0.00,890.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-05,48,47,AACREA                   ,          ,0,0,0.00,2187.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-05,50,49,ZURICH                   ,          ,0,0,0.00,2793.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-05,49,48,MAPFRE                   ,          ,0,0,0.00,994.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-05,53,83,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-06,59,5,DIEGO HNOS FC 19785      ,4282      ,0,1624,0.00,2116.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-06,60,9,DIESEL FC 21097          ,4276      ,0,1617,0.00,720.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-06,58,3,L DEL RIO FC 19574       ,4283      ,0,1625,0.00,1036.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-06,61,11,L ZABALA FC 2015/3993 OCT,4249      ,0,1593,0.00,4892.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-06,62,12,LAMOTHE FC 87            ,4251      ,0,1595,0.00,3454.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-09,66,27,JUAN                     ,4298      ,0,1636,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-09,68,53,VISA BUSS 438538         ,          ,0,0,0.00,5062.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-10,71,13,E HARRISON FC 1421       ,4258      ,0,1601,0.00,39759.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-10,70,7,GER SCHENCK FC 5149      ,4279      ,0,1621,0.00,1379.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-11,78,29,ARBA 3/2015              ,4262      ,0,1605,0.00,47154.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-11,77,20,ARBA 3/2015              ,4263      ,0,1606,0.00,22330.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-12,81,4,E CABALEIRO FC 15        ,4291      ,0,1632,0.00,13499.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-13,88,63,ZUBIRI COM GAN FC 121    ,          ,0,0,275516.28,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-14,89,10,V SILVESTRE FC 3297      ,4275      ,0,1616,0.00,17045.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-14,90,140,MARTINDALE 10/2015       ,9583      ,0,195,0.00,19331.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-15,93,1,UATRE 8/12               ,9865      ,0,1166,0.00,2391.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-16,94,64,SERV                     ,          ,0,0,0.00,785.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-16,95,65,AFIP SALDO DEC JUR2015   ,9916      ,0,1404,0.00,8829.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201511,1020,1,1020    ,1,        ,0,2015-11-16,98,84,BG OSDE                  ,          ,0,0,0.00,7376.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
