CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,1,2,KERR EXPENSAS JUAN DIC15 ,4315      ,0,1653,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,2,3,JUAN ALQ DIC2015         ,4314      ,0,1652,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,3,4,LIMP OF                  ,4325      ,0,1663,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,5,6,UATRE NOV 2015           ,4340      ,0,1683,0.00,1413.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,6,7,AFIP RET GAN             ,4339      ,0,1682,0.00,245.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,4,5,C SOC NOV 2015           ,4336      ,0,1679,0.00,46609.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,13,212,GAL ING BRUT             ,          ,0,0,0.00,137.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,15,214,BG GB                    ,          ,0,0,0.00,4866.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,17,216,BG                       ,          ,0,0,0.00,464.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-01,19,218,BG GB                    ,          ,0,0,0.00,1145.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-02,21,46,CAMINOS CUOTA 6/2015     ,9587      ,0,851,0.00,23912.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-04,25,12,DIEGO HNOS FC 19865      ,4344      ,0,1687,0.00,1191.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,44,47,OSDE / IND 9 DE JUL      ,4362      ,0,1703,0.00,2337.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,45,48,POGGI FC 806             ,4363      ,0,1704,0.00,4658.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,46,50,L ZABALA FC 4381         ,TRANS     ,0,0,0.00,20050.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,47,54,AFIP NOV 2015            ,4371      ,0,1709,0.00,1362.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,48,56,OSDE JUAN                ,4375      ,0,1713,0.00,3472.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,49,57,EXPNOV2015               ,4374      ,0,1712,0.00,4734.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,50,58,GAN SALDO2015            ,4373      ,0,1711,0.00,2135.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,51,59,TEL DE ARG               ,4369      ,0,1707,0.00,1465.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,53,61,OSDE VEC DIC             ,4376      ,0,1714,0.00,3568.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,52,60,GAN ANT 1/2016           ,4372      ,0,1710,0.00,115579.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,54,75,JUAN                     ,4360      ,0,1701,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,55,76,CREA DIC2015             ,4382      ,0,1719,0.00,5283.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,61,219,MAPFRE                   ,          ,0,0,0.00,160.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,62,220,MAPFRE                   ,          ,0,0,0.00,994.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,63,221,MAPFRE                   ,          ,0,0,0.00,1168.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,64,222,ZURICH                   ,          ,0,0,0.00,1519.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,65,223,CREA                     ,          ,0,0,0.00,2187.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-09,66,224,VISA BUSS                ,          ,0,0,0.00,8233.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201512,1020,1,1020    ,1,        ,0,2015-12-10,78,228,BG                       ,          ,0,0,613.28,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
