CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201602,1020,1,1020    ,1,        ,0,2016-02-01,1,7,CAMINOS1/2016            ,9663      ,0,1812,0.00,31374.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-01,3,25,BG GB                    ,          ,0,0,0.00,1245.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-01,4,26,BG IBC                   ,          ,0,0,0.00,48.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-01,12,166,BG RES                   ,          ,0,0,0.00,464.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,21,17,TEL/INT/AFIP             ,4433      ,0,1763,0.00,3500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,22,18,JAIME ENE2016            ,4418      ,0,1750,0.00,6800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,24,20,OSDE                     ,4434      ,0,1764,0.00,3600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,25,21,AFIP/VARIOS              ,4316      ,0,1732,0.00,4306.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,23,19,OSDE/JUN                 ,          ,0,0,0.00,3750.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,15,2,J POGGI FC 891 ENE-2016  ,4426      ,0,1758,0.00,5873.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,16,12,SERV FC 12919            ,9659      ,0,1808,0.00,1140.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,17,13,ASOC HEREF TRIM 1 DE 2016,9669      ,0,1817,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,18,14,C SOC ENERO2016          ,9667      ,0,1815,0.00,39974.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,19,15,CECT FC 7462/3/4         ,9670      ,0,1818,0.00,3060.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,20,16,PMH DIC/ENERO            ,4431      ,0,1762,0.00,900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-02,26,61,J CASADO REEM 9596 CH    ,5660      ,0,681,0.00,9962.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-03,29,3,EXP R PEÑA ENERO16       ,4436      ,0,1766,0.00,4352.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-03,30,4,ALQ FEBRER16             ,4420      ,0,1752,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-05,39,167,ZURICH                   ,          ,0,0,0.00,1519.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-05,40,168,ZURICH                   ,          ,0,0,0.00,3770.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-05,41,169,MAPFRE                   ,          ,0,0,0.00,1158.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-05,42,170,MAPFRE                   ,          ,0,0,0.00,159.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-05,43,171,AACREA                   ,          ,0,0,0.00,2187.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-05,44,234,MAPFRE VIDA              ,          ,0,0,0.00,1358.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-08,48,161,PRESTAMO GAL CUOTA1      ,          ,0,0,0.00,87742.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-08,45,34,VISA BUSS RES454320      ,          ,0,0,0.00,19889.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-10,50,9,S ALEMAN FC 6531         ,4484      ,0,1806,0.00,12584.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-10,59,172,CRESPO                   ,          ,0,0,237081.40,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,69,118,ALQ FEB2016              ,9672      ,0,1820,0.00,3146.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,70,129,MERC DE OF FC 247578/2476,          ,0,0,0.00,2468.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,72,131,SERV FC 13361            ,9697      ,0,1853,0.00,1140.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,73,132,CROCE EXP 01/2016        ,9687      ,0,1832,0.00,2016.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,74,134,CTA FC 628               ,9684      ,0,1830,0.00,242.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,75,138,YPF GAS FC 17647         ,9690      ,0,1829,0.00,3916.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,64,110,OF LIM                   ,9691      ,0,1836,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,65,111,EXP OF                   ,9682      ,0,1828,0.00,560.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,66,112,BP ANT5/2015             ,9699      ,0,1854,0.00,2135.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-12,68,116,MER DE OF FC 247640      ,9695      ,0,1851,0.00,301.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,105,117,AFIP                     ,9674      ,0,1822,0.00,763.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,104,113,CTA FC 749               ,4430      ,0,1761,0.00,900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,102,108,ARBA CUOTA1/2016         ,9664      ,0,1813,0.00,4399.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,103,109,ARBA CUOTA1/2016         ,9665      ,0,1814,0.00,15292.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,99,66,A GROPPA                 ,5662      ,0,883,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,82,10,O RODRIGUEZ FC 16857     ,9661      ,0,1810,0.00,1682.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,83,11,J RODRIG FC 791/333      ,9662      ,0,1811,0.00,1794.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,78,1,UATRE 11/12              ,9871      ,0,1170,0.00,2391.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,81,8,AS FC DIC2015            ,4485      ,0,1807,0.00,32091.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,79,5,L ZABALA FC 4703/4695    ,9599      ,0,867,0.00,53925.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,80,6,H NRIQUE (ESNAL)         ,9600      ,0,868,0.00,13753.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,111,135,JUAN                     ,9688      ,0,1833,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,106,119,GAN ANT 2                ,4389      ,0,1726,0.00,38511.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,107,120,JUAN                     ,9678      ,0,1825,0.00,3000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,108,121,AFIP RET ZABALA          ,9692      ,0,1845,0.00,888.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,109,122,AFIP ANT 5 BPERS         ,9693      ,0,1849,0.00,7473.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,110,125,VARISO OF                ,9696      ,0,1852,0.00,963.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-15,113,175,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-16,119,176,OSDE                     ,          ,0,0,0.00,6813.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-16,118,173,OSDE                     ,          ,0,0,209.91,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-17,144,114,HG FEBRER2016            ,9686      ,0,1831,0.00,18000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-17,143,102,CARLOS PAEZ FC 76        ,4454      ,0,1839,0.00,3318.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-18,146,107,MAS FERRET FC 13971/14138,4451      ,0,1837,0.00,2678.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-20,161,99,MEDIA LUNA FEB2016 HANDIC,4456      ,0,1841,0.00,1980.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-20,159,63,O SANTAMARIA             ,5659      ,0,879,0.00,24531.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-22,180,177,OSDE                     ,          ,0,0,657.08,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-22,182,179,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-22,178,162,JUAN                     ,9689      ,0,1834,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-22,179,163,AMX SA FC 816744         ,4443      ,0,1772,0.00,1392.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-22,166,144,PRESTAMO EL INDIO        ,          ,0,0,200000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-23,185,180,FRILOBOS LQ 711          ,          ,0,0,370000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-24,192,164,SDO FEB                  ,4454      ,0,1780,0.00,16875.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-25,198,69,N GROPPA                 ,5663      ,0,884,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-28,216,85,A AZCURRA FC 689         ,4464      ,0,1844,0.00,30980.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-28,217,87,C BERTHE FC 941          ,4463      ,0,1848,0.00,2809.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-28,220,97,DIEGO HNOS FC 25/89      ,4458      ,0,1843,0.00,5305.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-28,218,93,L DEL RIO FC DIC/ENE     ,4462      ,0,1847,0.00,6489.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-28,219,94,J REYNOSO FC 20          ,4461      ,0,1846,0.00,6050.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-28,222,104,EL GORDO SH FC 11        ,4453      ,0,1838,0.00,1200.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-28,221,101,CONTARDI FC 7            ,4455      ,0,1840,0.00,1657.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-28,223,133,CREA FEB2016             ,4457      ,0,1842,0.00,5283.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-29,237,235,BG IMP DEB               ,          ,0,0,0.00,3775.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-29,238,236,BG IMP CRED              ,          ,0,0,0.00,4847.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-29,235,228,OSDE                     ,4482      ,0,1875,0.00,3100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-29,234,224,JUAN                     ,4470      ,0,1864,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,1,        ,0,2016-02-29,239,237,BG SIRCREB               ,          ,0,0,0.00,2423.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201602,1020,1,1020    ,3,        ,0,2016-02-23,186,216,AFIP    REINT IVA        ,          ,0,0,3367.98,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201602,1020,1,1020    ,3,        ,0,2016-02-23,188,218,AFIP DEV IVA             ,          ,0,0,16823.73,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201602,1020,1,1020    ,3,        ,0,2016-02-24,194,220,AFIP DEV IVA             ,          ,0,0,10974.60,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201602,1020,1,1020    ,3,        ,0,2016-02-24,196,222,AFIP DEV IVA             ,          ,0,0,14394.24,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201602,1020,1,1020    ,3,        ,0,2016-02-25,203,238,AFIP REINT IVA           ,          ,0,0,26876.46,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
100,201602,1020,1,1020    ,3,        ,0,2016-02-26,207,231,BPCC GB                  ,          ,0,0,0.00,186.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
