CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201603,1020,1,1020    ,1,        ,0,2016-03-01,1,4,EL INDIO                 ,4496      ,0,1881,0.00,110000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-01,5,8,BG GB                    ,          ,0,0,0.00,1966.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-01,7,10,BG RES FON               ,          ,0,0,0.00,464.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-01,9,36,CS FEB2016               ,9703      ,0,1856,0.00,34178.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-01,11,87,AFIP                     ,4495      ,0,1888,0.00,2126.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-01,12,138,BG IBC                   ,          ,0,0,0.00,55.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-01,13,139,BG IBC                   ,          ,0,0,0.00,56.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-02,16,34,CABLEV VEC 8/03          ,69        ,0,1894,0.00,1072.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-02,17,35,CABLEV MART VEC 8/3      ,70        ,0,1895,0.00,1092.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-02,15,3,JAIME FEB2016            ,4417      ,0,1749,0.00,6800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-03,25,97,J POGGI FC 939           ,4484      ,0,1878,0.00,5873.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-06,31,20,P PRIETO FC 1978/1894    ,4487      ,0,1882,0.00,5881.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,33,28,EXP ENERO16              ,4414      ,0,1746,0.00,560.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,34,29,JUAN                     ,4471      ,0,1865,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,35,30,ALQUIL  MARZO 2016       ,4478      ,0,1871,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,36,31,JUAN                     ,4479      ,0,1872,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,37,32,TEL DE ARG               ,4492      ,0,1886,0.00,1659.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,38,33,LIMP/BA                  ,4497      ,0,1889,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,40,96,OSDE                     ,4483      ,0,1877,0.00,3700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,39,90,AFIP                     ,          ,0,1824,0.00,1362.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,41,137,MAPFRE                   ,          ,0,0,0.00,159.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,42,140,MAPFRE 0317PE            ,          ,0,0,0.00,1158.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,43,141,ZURICH  04               ,          ,0,0,0.00,1519.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,44,142,MAPFRE V 160317 PE       ,          ,0,0,0.00,1548.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,45,143,AACREA                   ,          ,0,0,0.00,2187.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-07,46,144,BG ZURICH 03 TOY         ,          ,0,0,0.00,3770.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-08,52,158,FRIB                     ,          ,0,0,130.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-08,53,159,FRIB                     ,          ,0,0,494871.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-08,48,91,C BRIT 01/03 AL 01/09    ,68        ,0,1893,0.00,1600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-09,58,94,ARBA CUOTA 1/2016        ,4399      ,0,1735,0.00,28764.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-09,59,95,UATRE DIC 2015           ,4387      ,0,1724,0.00,917.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-09,56,27,AFIP                     ,4388      ,0,1725,0.00,1025.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-09,55,14,ZUBIRI                   ,          ,0,0,130000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-10,62,19,D RODRIGUEZ FC 251       ,4488      ,0,1883,0.00,1452.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-10,63,21,J CASADO FC 3668/*69     ,4486      ,0,1880,0.00,10154.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-10,61,2,IGLESIAS DANIEL FC 117   ,5661      ,0,882,0.00,10586.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-11,68,89,ARBA PART 1363/8         ,9704      ,0,1857,0.00,60805.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-11,67,88,AFIP ANT 4 /2016         ,71        ,0,1896,0.00,38511.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-13,69,129,HAMILTON FEB2016         ,5700      ,0,1917,0.00,720.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,89,130,CREA MARZO 2016          ,5697      ,0,1914,0.00,5283.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,90,131,CECT 8152/53/54          ,5704      ,0,1920,0.00,2343.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,88,128,MEDIA LUNA MARZO         ,5698      ,0,1915,0.00,1609.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,81,120,JOC ENERO/FEBRERO        ,5703      ,0,1919,0.00,6450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,82,121,MARZO2016                ,72        ,0,1898,0.00,1397.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,83,123,JAIME MARZO2016          ,5694      ,0,1913,0.00,6800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,84,124,IIBB FEB2016             ,5696      ,0,1912,0.00,2679.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,86,126,SERVICOO FC 13807        ,5699      ,0,1916,0.00,1140.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,92,145,BBVA CONSOLIDAR VIDA     ,          ,0,0,0.00,219.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,93,146,BG VISA B                ,          ,0,0,0.00,13755.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,91,136,GAL RURAL                ,          ,0,0,0.00,169000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,75,102,CROCE FEB2016            ,4423      ,0,1755,0.00,2016.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,76,104,HG MARZO16               ,4498      ,0,1890,0.00,18000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,77,105,AFIP RET GAN             ,4494      ,0,1887,0.00,188938.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,78,106,JUAN                     ,4472      ,0,1866,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,79,107,JUAN                     ,5691      ,0,1908,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,80,118,CASA EL TUC FC 126908/514,5681      ,0,1901,0.00,463.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,71,68,POGGI DAMIAN FC 69       ,5705      ,0,1921,0.00,605.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-14,72,69,MJBRISSON EXP FEB        ,5688      ,0,1905,0.00,3606.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-15,95,1,UATRE 12/12              ,9870      ,0,1169,0.00,2391.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-15,96,22,AS FC ENERO2016          ,4468      ,0,1862,0.00,18845.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-15,97,23,J MACHIM FC 664          ,4490      ,0,1884,0.00,1222.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-15,99,26,L ZABALA FC 4910/39/40/74,4469      ,0,1863,0.00,23488.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-15,98,25,L BOERO SALDO GROPPA     ,4485      ,0,1879,0.00,29704.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-15,104,149,BG GAL RURAL             ,          ,0,0,0.00,100000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-15,103,148,OSDE                     ,          ,0,0,0.00,8080.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-15,105,152,OSDE                     ,          ,0,0,833.36,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-16,109,119,AS FC FEB2016            ,74        ,0,1899,0.00,593.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-16,106,24,JOSE GOMEZ FC 20963/971  ,4491      ,0,1885,0.00,8851.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201603,1020,1,1020    ,1,        ,0,2016-03-16,107,37,REIN ART RAMIREZ         ,          ,0,0,28853.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
