CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,1,1,P PRIETO FC 2023/24      ,4351      ,0,1926,0.00,5238.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,2,3,KHALLOUB FC 57           ,5687      ,0,1904,0.00,8969.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,4,82,BG GB                    ,          ,0,0,0.00,1512.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,7,85,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,9,87,BG GB                    ,          ,0,0,0.00,3088.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,11,89,BG GB                    ,          ,0,0,0.00,395.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,13,95,BG GB                    ,          ,0,0,0.00,4421.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,14,96,BG IBC                   ,          ,0,0,0.00,125.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,15,97,BG OSDE                  ,          ,0,0,326.83,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,17,99,BG GB                    ,          ,0,0,0.00,1601.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-01,18,100,BG IBC                   ,          ,0,0,0.00,43.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-02,27,62,C  ACOP                  ,5669      ,0,898,0.00,256.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201604,1020,1,1020    ,1,        ,0,2016-04-02,26,9,JUAN  ALQULIER ABRIL     ,4480      ,0,1873,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
