CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,3,4,J POGGI FC 1035          ,4387      ,0,2017,0.00,5873.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,4,11,DIESEL TRAMS SA FC 23178 ,4409      ,0,2036,0.00,679.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,6,15,L GRANDE FC 117          ,4408      ,0,2035,0.00,4477.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,7,18,OR FC 17116              ,4402      ,0,2029,0.00,2605.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,8,20,AFIP GAN ANT6            ,4389      ,0,2019,0.00,38511.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,10,34,GAL RURAL VEC 02/05      ,          ,0,0,0.00,27071.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,12,39,MEDIA LUNA ABRIL16       ,4417      ,0,2043,0.00,648.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,18,284,BG GB                    ,          ,0,0,0.00,3885.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-02,19,285,BG GB                    ,          ,0,0,0.00,600.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-04,32,280,MAPFRE                   ,          ,0,0,0.00,159.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-04,21,2,UATRE ABRIL16            ,4400      ,0,2028,0.00,1403.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-04,22,3,C SOC ABRIL16            ,5716      ,0,2044,0.00,49748.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-04,23,5,AFIP CUOTA1/3 PART SOC   ,4376      ,0,1950,0.00,20966.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-05,34,13,CORD ENV FC 72           ,4411      ,0,2037,0.00,6765.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-05,33,10,L ZABALA FC FEB/MARZ     ,4414      ,0,2040,0.00,20264.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-05,36,19,L DEL RIO FC MARZO       ,4405      ,0,2032,0.00,15424.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-05,35,17,C BERTHE FC 972          ,4406      ,0,2033,0.00,2582.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-05,46,144,FRIBOLOBOS               ,          ,0,0,448907.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-05,49,281,MAPFRE                   ,          ,0,0,0.00,1299.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-05,50,282,MAPFRE                   ,          ,0,0,0.00,1341.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-05,51,283,ZURICH                   ,          ,0,0,0.00,3770.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-06,53,286,AACREA                   ,          ,0,0,0.00,2187.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-06,54,288,OSDE                     ,          ,0,0,787.65,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-06,52,14,MAS FERRET 15194/14929   ,4390      ,0,2020,0.00,11586.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,57,21,VB VEC 9/5               ,          ,0,0,0.00,11922.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,59,27,O SANT FC 358/9          ,TRANSF    ,0,0,0.00,112751.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,60,28,ALQ MAYO2016             ,5718      ,0,2060,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,61,29,EXP MAYO 16              ,5719      ,0,2061,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,62,30,JUAN                     ,5720      ,0,2062,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,64,38,BOTIJA SA FC 238/ND16    ,4429      ,0,2056,0.00,3687.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,63,31,EDUARDO SAMBRIZZI        ,5721      ,0,2063,0.00,6000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,66,146,SALDO DIESEL LANGE       ,4428      ,0,2055,0.00,1736.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,67,163,OSDE                     ,4430      ,0,2057,0.00,4664.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,68,188,MAPFRE                   ,4432      ,0,2059,0.00,1855.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-09,69,287,MAPFRE                   ,          ,0,0,0.00,715.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-10,74,160,CREA MAYO2016            ,4436      ,0,2071,0.00,5283.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-10,71,16,DIEGO HNOS FC 20293/20310,4407      ,0,2034,0.00,6892.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-10,70,9,JUCARFE FC 5             ,4415      ,0,2041,0.00,14190.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-11,76,36,QUARIN                   ,TRANSF    ,0,0,0.00,80168.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-11,78,221,OSDE                     ,4440      ,0,2078,0.00,3622.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,120,219,OSDE JUAN                ,4439      ,0,2077,0.00,2977.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,121,220,JUAN                     ,4438      ,0,2075,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,118,217,LIMP                     ,5724      ,0,2066,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,119,218,CROCE  EXP 4/2016        ,5725      ,0,2067,0.00,2016.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,122,223,CECT FC 8831/2/3         ,5727      ,0,2072,0.00,1862.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,124,289,OSDE                     ,          ,0,0,0.00,7446.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,113,162,CETA  FC 1120            ,4441      ,0,2079,0.00,259.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,115,190,EXP ABRIL2016            ,4427      ,0,2054,0.00,560.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,116,191,OSDE                     ,          ,0,0,0.00,787.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,114,189,M BRISSON EXP ABRIL16    ,4426      ,0,2053,0.00,3695.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-16,117,192,CABLE R PEÑA 2 M VECM/J  ,5722      ,0,2064,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-20,204,156,J CASADO FC 26           ,4434      ,0,2069,0.00,7106.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-23,215,245,JUAN                     ,4457      ,0,2095,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-24,227,248,BPC                      ,TRANS     ,0,0,0.00,25000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-24,228,249,BPP                      ,          ,0,0,0.00,50000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-24,229,252,MEDIA LUNA MAYO16        ,4456      ,0,2092,0.00,619.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-24,226,234,QUUARIN FC 120711        ,TRANS     ,0,0,0.00,31054.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-24,221,180,OLEAG CTO 30190 KG209390 ,          ,0,0,667829.70,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-25,232,7,TE/EDESU/AFIP            ,4396      ,0,2024,0.00,4189.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,244,193,OLEAG CTO262630/194620K  ,          ,0,0,591408.16,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,243,186,RUMINARE FC 252          ,4438      ,0,2076,0.00,11282.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,240,183,BRASSICAS SA FC 112      ,4425      ,0,2052,0.00,1556.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,241,184,AGROA FC 293             ,4424      ,0,2051,0.00,34825.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,252,250,JAIME MAYO2016           ,4450      ,0,2086,0.00,6800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,254,260,A CORRAL FC MARZ/ABRIL16 ,4466      ,0,2104,0.00,3093.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,251,247,CABLE                    ,          ,0,0,0.00,3907.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,250,246,AFIP                     ,4454      ,0,2090,0.00,2153.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-27,256,277,HG MAYO16                ,4451      ,0,2087,0.00,18000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-28,262,269,CORD ENV 1/3 FC98        ,4469      ,0,2107,0.00,3262.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-28,260,255,SDO MAYO16               ,4447      ,0,2084,0.00,20251.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-30,273,278,JUAN                     ,4458      ,0,2096,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-30,266,158,BETBEDER FC 28           ,4435      ,0,2070,0.00,9565.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-30,267,159,L ZABAL AF C5388         ,5729      ,0,2074,0.00,895.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-30,265,154,AS FC ABRIL2016          ,4433      ,0,2068,0.00,33942.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-30,264,147,F CHIATTELLINO FC 42     ,5723      ,0,2065,0.00,3800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-31,298,290,BG IMP DEB               ,          ,0,0,0.00,5434.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-31,299,291,BG IMP CRED              ,          ,0,0,0.00,10253.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201605,1020,1,1020    ,1,        ,0,2016-05-31,300,292,BG IIBB                  ,          ,0,0,0.00,59612.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
