CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,5,32,JUAN EXP JUNIO16         ,4462      ,0,2110,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,6,33,ALQUILER MAYO 16         ,4461      ,0,2097,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,8,111,BG GB                    ,          ,0,0,0.00,2968.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,10,113,BG GB                    ,          ,0,0,0.00,3498.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,12,115,BG GB                    ,          ,0,0,0.00,1871.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,14,119,BG GB                    ,          ,0,0,0.00,1669.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,15,120,OSDE                     ,          ,0,0,289.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,17,122,BG  GB                   ,          ,0,0,0.00,2019.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-01,18,123,BG IBC                   ,          ,0,0,0.00,53.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-02,34,117,SAENZ                    ,          ,0,0,792720.82,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-02,31,48,J POGGI/VERROCHHIO       ,4455      ,0,2091,0.00,12303.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-02,32,49,BCO GAL VISA BUS VEC 06/6,          ,0,0,0.00,31262.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-02,24,4,M RIOS FC 853            ,4473      ,0,2111,0.00,504.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-03,38,258,O BOZZOLO FC 19          ,1639      ,0,2229,0.00,4015.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-05,40,1,CORD ENV FC 72           ,4412      ,0,2038,0.00,6765.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,42,5,DIESEL LANGE FC 5237     ,4448      ,0,2085,0.00,7468.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,43,6,HG FC 79/NEUTESTA FC 8230,4465      ,0,2103,0.00,2730.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,44,11,JUAN                     ,1463      ,0,2116,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,45,41,MUN CT CUOTA 3/16        ,4476      ,0,2113,0.00,31374.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,46,42,C SOC MAYO16             ,1452      ,0,2115,0.00,48466.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,51,91,AMX FC VEC 28/05         ,1461      ,0,2114,0.00,1623.13,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,48,70,E FORN FC 10251          ,1480      ,0,2132,0.00,2414.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,49,79,EXP R PEÑA MAYO16        ,1467      ,0,2120,0.00,3858.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,50,81,OS                       ,1494      ,0,2146,0.00,4428.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,52,124,ZURICH                   ,          ,0,0,0.00,1797.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,53,125,BG MAPFRE                ,          ,0,0,0.00,1299.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
100,201606,1020,1,1020    ,1,        ,0,2016-06-06,54,126,MAPFRE                   ,          ,0,0,0.00,159.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
