CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201608,1010,1,1010    ,1,        ,0,2016-08-20,0,326,CAJA HER                 ,          ,0,0,0.00,10000.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201608,1010,1,1010    ,1,        ,0,2016-08-30,0,324,CAJA                     ,          ,0,0,10000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201608,1010,1,1010    ,3,        ,0,2016-08-11,0,172,OSD                      ,          ,0,0,14.68,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
300,201608,1010,1,1010    ,3,        ,0,2016-08-22,0,320,TEL DE ARG               ,          ,0,0,1647.08,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,263,BG IBC                   ,          ,0,0,0.00,50.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,266,BG GB                    ,          ,0,0,0.00,3632.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,182,JUAN                     ,1682      ,0,2268,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,184,ALQ AGOSTO2016           ,1675      ,0,2261,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,185,EXP AGOSTO16             ,1676      ,0,2262,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,196,BG GB                    ,          ,0,0,0.00,1904.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,204,CECT 9518/9/20           ,1669      ,0,2256,0.00,9141.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,222,BG 2 VECES CHEQUE 1510   ,          ,0,0,16146.10,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,14,ARBA 2/2016              ,1659      ,0,2246,0.00,36603.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,18,BPC                      ,TRANSF    ,0,0,0.00,25000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,19,DEV EL INDIO             ,TRANSF    ,0,0,0.00,600000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,21,VISA BUSS BCO GAL 11/07  ,          ,0,0,0.00,52.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,25,DIRECTV FC JULIO AGUA/HG ,1661      ,0,2248,0.00,1650.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,24,MUNIC TEJ CUOTA4/2016    ,1710      ,0,2304,0.00,31374.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,27,CIA DE IMP FC 118019     ,1716      ,0,2313,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,72,MEDIA LUNA JULIO16       ,1658      ,0,2245,0.00,638.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,89,RENTAS CORRIENTE IIB     ,1707      ,0,2293,0.00,10025.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,90,JOCKEY JUAN 7/16         ,1666      ,0,2253,0.00,3840.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,92,EXP JULIO16              ,1663      ,0,2250,0.00,571.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,93,A HEREFORD TRIM3/2016    ,1667      ,0,2254,0.00,1150.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,96,A MONDINO RET GAN        ,1660      ,0,2247,0.00,804.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-01,0,99,J POGGI FC 1185          ,1649      ,0,2237,0.00,5873.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-02,0,83,WETSSMANN FC 546         ,1720      ,0,2317,0.00,8000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-02,0,56,REC DIREC                ,1692      ,0,2278,0.00,1650.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201608,1020,1,1020    ,1,        ,0,2016-08-02,0,163,VARIOS TRAB OF           ,1733      ,0,2330,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
