CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201610,1010,1,1010    ,1,        ,0,2016-10-17,0,115,S BRITOS                 ,          ,0,0,0.00,500.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201610,1010,1,1010    ,1,        ,0,2016-10-20,0,137,CAJA GUIAS               ,          ,0,0,0.00,4709.32,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201610,1010,1,1010    ,1,        ,0,2016-10-20,0,276,R BUCAR ESTER TRAC       ,          ,0,0,0.00,780.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201610,1010,1,1010    ,1,        ,0,2016-10-20,0,277,NEUM                     ,          ,0,0,0.00,270.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201610,1010,1,1010    ,1,        ,0,2016-10-20,0,278,C HER LLAVE/ROSCA        ,          ,0,0,0.00,178.39,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201610,1010,1,1010    ,1,        ,0,2016-10-20,0,279,C H BRUSCONI/ME CARRERA  ,          ,0,0,0.00,1250.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201610,1010,1,1010    ,1,        ,0,2016-10-20,0,280,C HER                    ,          ,0,0,0.00,2312.29,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-01,0,208,BG GB                    ,          ,0,0,0.00,957.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-01,0,210,BG GB                    ,          ,0,0,0.00,122.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-01,0,212,BG GB                    ,          ,0,0,0.00,1799.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-01,0,214,BG GB                    ,          ,0,0,0.00,1746.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,216,BG GB                    ,          ,0,0,0.00,122.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,219,BG IB                    ,          ,0,0,0.00,27.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,218,BG GB                    ,          ,0,0,0.00,957.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,62,MAPFRE                   ,9451      ,0,2430,0.00,750.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,63,RENTAS CORR CUOTA3       ,9450      ,0,2429,0.00,1610.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,67,R PEÑA                   ,9447      ,0,2426,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,66,AFIP BP3/2016            ,9449      ,0,2428,0.00,7268.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,70,CAB                      ,9444      ,0,2424,0.00,1813.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,77,AFIP                     ,9434      ,0,2415,0.00,2511.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,78,TEL                      ,9431      ,0,2413,0.00,2800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,79,JOCKEY 09/2016           ,9435      ,0,2416,0.00,4400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,80,CECT                     ,9436      ,0,2417,0.00,5852.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,83,JUAN                     ,9428      ,0,2410,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,84,CAMINOS 5/2016           ,9427      ,0,2409,0.00,31374.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201610,1020,1,1020    ,1,        ,0,2016-10-03,0,85,BIBLIOTECA               ,9426      ,0,2408,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
