CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201611,1020,1,1020    ,1,        ,0,2016-11-01,0,8,JUAN                     ,9498      ,0,35,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-01,0,9,JUAN ALQ NOV2016         ,9501      ,0,38,0.00,5640.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-01,0,10,EXP JUAN                 ,9502      ,0,39,0.00,1440.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-01,0,36,FOT/LIMP/VARIO           ,9508      ,0,46,0.00,637.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-01,0,37,JOCKEY 10/2016           ,9487      ,0,13,0.00,4440.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-01,0,52,BG IB                    ,          ,0,0,0.00,5.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-01,0,53,BG IB                    ,          ,0,0,0.00,14.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-01,0,168,BG OSDE JAIME            ,          ,0,0,1213.96,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-02,0,47,CABLEV VEC8/11           ,9513      ,0,51,0.00,1867.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-02,0,20,INT PREST EL INDIO       ,          ,0,0,0.00,26880.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-02,0,21,DEV PREST EL INDIO       ,TRANSF    ,0,0,0.00,400000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-02,0,29,CRESPO                   ,          ,0,0,520870.61,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-03,0,25,T DE AT                  ,9494      ,0,31,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-03,0,12,CETA FC 1875             ,9507      ,0,45,0.00,433.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-03,0,41,EDESUR OF                ,9496      ,0,33,0.00,216.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-03,0,42,ACHER TRIM 4/2016        ,9497      ,0,34,0.00,1150.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-03,0,43,TEL R PEÑA               ,9506      ,0,44,0.00,374.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-03,0,44,J POGGI FC 1327          ,9511      ,0,49,0.00,5873.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201611,1020,1,1020    ,1,        ,0,2016-11-03,0,38,AFIP                     ,9439      ,0,2420,0.00,3824.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
