CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201612,1010,1,1010    ,1,        ,0,2016-12-08,0,125,CAJA RAMIREZ             ,          ,0,0,11196.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201612,1010,1,1010    ,1,        ,0,2016-12-08,0,144,CAJA                     ,          ,0,0,0.00,11196.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201612,1010,1,1010    ,3,        ,0,2016-12-01,0,46,AFIP                     ,          ,0,0,0.91,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
300,201612,1010,1,1010    ,3,        ,0,2016-12-15,0,76,FC VARIAS                ,          ,0,0,10000.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
300,201612,1010,1,1010    ,3,        ,0,2016-12-15,0,278,DIRECT                   ,          ,0,0,0.00,848.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
300,201612,1010,1,1010    ,3,        ,0,2016-12-20,0,252,HONORARIO ABOGADA AFIP   ,          ,0,0,0.00,2504.01,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-01,0,46,AFIP                     ,9547      ,0,93,0.00,2622.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-01,0,51,JUAN EXP DIC2016         ,9563      ,0,109,0.00,1170.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-01,0,54,KERR ALQ                 ,9564      ,0,110,0.00,5640.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-01,0,55,ESC LIMP/LIB             ,9550      ,0,96,0.00,694.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-01,0,115,BOTIJA SA                ,9551      ,0,97,0.00,4422.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-02,0,50,ABL CUOTA 12/2016        ,9561      ,0,107,0.00,838.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-02,0,49,BP ANT 4/2016            ,9531      ,0,69,0.00,7268.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-02,0,3,P PRIETO FC 206          ,9532      ,0,70,0.00,2278.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,48,EDESUR OF                ,9545      ,0,91,0.00,227.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,47,AMX FC 1647086           ,9544      ,0,900,0.00,1764.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,58,JUAN                     ,9529      ,0,67,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,59,MUNIC CUOTA 6/2016       ,9609      ,0,121,0.00,31374.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,256,BG OSDE                  ,          ,0,0,540.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,257,BG OSDE                  ,          ,0,0,294.67,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,258,MAPFRE                   ,          ,0,0,0.00,231.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,259,MAPFRE                   ,          ,0,0,0.00,1440.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,260,MAPFRE                   ,          ,0,0,0.00,1572.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201612,1020,1,1020    ,1,        ,0,2016-12-05,0,261,BG AACREA                ,          ,0,0,0.00,2785.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
