CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,26,BG COM                   ,          ,0,0,0.00,121.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,28,BG COM                   ,          ,0,0,0.00,798.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,30,BG COM                   ,          ,0,0,0.00,1805.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,32,BG COM                   ,          ,0,0,0.00,705.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,34,BG COM                   ,          ,0,0,0.00,729.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,36,BG COM                   ,          ,0,0,0.00,121.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,38,BG COM                   ,          ,0,0,0.00,957.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,40,BG COM                   ,          ,0,0,0.00,1378.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-01,0,42,BG COMI                  ,          ,0,0,0.00,194.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,43,BG OSDE                  ,          ,0,0,960.96,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,45,BG COM                   ,          ,0,0,0.00,146.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,47,BG COM                   ,          ,0,0,0.00,957.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,48,BG IIBB                  ,          ,0,0,0.00,7.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,50,BG COM                   ,          ,0,0,0.00,1559.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,52,BG COM                   ,          ,0,0,0.00,1309.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,53,BG IIBB                  ,          ,0,0,0.00,12.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,54,BG IIBB                  ,          ,0,0,0.00,10.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,24,BOTIJA FC 318            ,9566      ,0,118,0.00,3509.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,18,IIBB CORRI               ,481       ,0,219,0.00,1610.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,22,ABL R PEÑA CUOTA ANUAL17 ,492       ,0,230,0.00,10407.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,6,MEDIA LUNA DIC2016       ,494       ,0,232,0.00,600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,12,BOTIJA ND 52             ,489       ,0,227,0.00,525.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-02,0,13,AFIP CSOC DIC2016        ,9422      ,0,2404,0.00,85444.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201701,1020,1,1020    ,1,        ,0,2017-01-03,0,15,AFIP RET GAN             ,9421      ,0,2403,0.00,11778.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
