CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201702,1010,1,1010    ,1,        ,0,2017-02-16,0,125,CAJA HEREFORD            ,          ,0,0,6000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-01,0,163,BG IB                    ,          ,0,0,0.00,9.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-01,0,11,JUAN ALQ FEB 2017        ,9570      ,0,123,0.00,5640.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-01,0,55,JUAN EXP ENER17          ,9571      ,0,124,0.00,1170.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-01,0,77,BG GB                    ,          ,0,0,0.00,146.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-01,0,79,BG GB                    ,          ,0,0,0.00,1172.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-01,0,81,BG GB                    ,          ,0,0,0.00,1367.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-01,0,83,BG GB                    ,          ,0,0,0.00,1490.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-01,0,84,BG IMP IB                ,          ,0,0,0.00,23.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-02,0,56,AFIP BP CUOTA 5          ,9629      ,0,183,0.00,7268.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-02,0,57,CUENCA                   ,9624      ,0,178,0.00,40000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-02,0,12,RENTAS COORR ULTIMA CUOTA,482       ,0,220,0.00,1610.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-02,0,13,C SOC ENER2017           ,9592      ,0,142,0.00,64432.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-02,0,14,AMX SA                   ,9621      ,0,164,0.00,1789.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-02,0,16,JOCKEY 01/2017           ,9652      ,0,214,0.00,4696.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-02,0,3,ALQUIL ENER-2017         ,9569      ,0,120,0.00,5640.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-02,0,4,EXP ENERO2017            ,9572      ,0,125,0.00,1170.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,5,MAIA ENERO/FEBRERO 2017  ,          ,0,0,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,6,CUENCA                   ,          ,0,0,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,8,MUN CT TASA VIAL1/17     ,          ,0,0,0.00,26404.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,7,PASTEUR                  ,          ,0,0,0.00,40000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,10,A GROPPA                 ,4544      ,0,292,0.00,29900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,18,J POGGI FC 1483 ENE17    ,658       ,0,269,0.00,7925.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,19,J POGGI FC 1466          ,9665      ,0,275,0.00,12100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,20,AFIP AUT ENE17           ,431       ,0,278,0.00,1673.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,21,AFIP ENERO17             ,523       ,0,265,0.00,963.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201702,1020,1,1020    ,1,        ,0,2017-02-06,0,22,DIRECTV/EDESUR           ,9659      ,0,270,0.00,3147.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
