CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201703,1010,1,1010    ,1,        ,0,2017-03-23,0,145,CAJA CHICA               ,          ,0,0,1215.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201703,1010,1,1010    ,1,        ,0,2017-03-23,0,147,CAJA                     ,          ,0,0,10000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201703,1010,1,1010    ,1,        ,0,2017-03-31,0,215,CAJA HEREFORD            ,          ,0,0,0.00,19705.80,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,216,OSDE                     ,          ,0,0,291.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,217,MAIA MARZO               ,          ,0,0,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,219,BG COMISION              ,          ,0,0,0.00,146.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,221,BG COMISION              ,          ,0,0,0.00,1187.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,127,BG IB CABA               ,          ,0,0,0.00,9.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,129,BG GB                    ,          ,0,0,0.00,1370.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,131,BG GB COMI               ,          ,0,0,0.00,1364.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,132,BG ING BRUTOS CABA       ,          ,0,0,0.00,11.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,133,BG ING BRUT CABA         ,          ,0,0,0.00,11.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,4,ASOC DE POLO ANUAL2017   ,9662      ,0,272,0.00,9500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,5,JUAN                     ,9586      ,0,138,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,26,C SOC FEB-2017           ,378       ,0,368,0.00,59295.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-01,0,104,OSDE                     ,397       ,0,397,0.00,4181.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,23,TEL/*INTERN              ,390       ,0,377,0.00,2400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,24,AFIP JUAN/HG FEB         ,456       ,0,356,0.00,2473.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,28,CONSORC R S PEÑA ENER    ,437       ,0,285,0.00,732.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,17,DIESEL LANGE FC 9103     ,545       ,0,352,0.00,98244.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,20,JUAN DIF SEMANA 01/03    ,394       ,0,381,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,22,LIMPIEZA OF              ,460       ,0,357,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,8,POGGI DAMIAN AFC 156     ,395       ,0,384,0.00,3498.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,10,J CASADO FC 220          ,3061      ,0,382,0.00,9847.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,11,BPP                      ,          ,0,0,0.00,80000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,12,PPC                      ,          ,0,0,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-02,0,15,MEDIA LUNA EN/FEB2017    ,449       ,0,299,0.00,4293.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-04,0,30,TEL                      ,384       ,0,373,0.00,2357.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-04,0,29,AFIP ANT  GAN            ,9593      ,0,143,0.00,35918.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-04,0,46,DIRECTV                  ,393       ,0,380,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,45,JUAN                     ,443       ,0,294,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,53,BOTIJA FC 340            ,387       ,0,375,0.00,3872.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,27,JUAN (PERDIO BILLETERA)  ,9585      ,0,137,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,21,J POGGI FC 1532          ,392       ,0,379,0.00,7925.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,222,MAPFRE                   ,          ,0,0,0.00,230.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,223,MAPFRE                   ,          ,0,0,0.00,437.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,224,MAPFRE                   ,          ,0,0,0.00,1566.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,225,ZURICH                   ,          ,0,0,0.00,2287.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,226,AACREA                   ,          ,0,0,0.00,2785.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-06,0,227,ZURICH                   ,          ,0,0,0.00,5562.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-07,0,31,AFIP RET GAN             ,377       ,0,367,0.00,1596.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-07,0,25,EDESUR OF VEC 06/03      ,382       ,0,371,0.00,292.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-07,0,50,ARBA 1/2017              ,379       ,0,369,0.00,39694.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-07,0,51,CTA FC 2382              ,389       ,0,376,0.00,826.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-07,0,47,SERVICOOP SA FC 18486    ,448       ,0,298,0.00,1370.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-07,0,48,ARBA 1/2017              ,380       ,0,370,0.00,83907.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-07,0,43,CREA FEVRERO17           ,453       ,0,354,0.00,7748.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-08,0,55,PRESTAMO EL INDIO        ,          ,0,0,500000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-08,0,16,J CLUB FEBRERO 17        ,376       ,0,366,0.00,6411.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-08,0,2,ATSA                     ,1526      ,0,254,0.00,29879.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-08,0,103,CBLEV VE 08/03           ,473       ,0,392,0.00,1300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-08,0,62,S CROCE EXP JUAN         ,457       ,0,365,0.00,3724.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-08,0,63,J BRISSON FEB            ,9631      ,0,185,0.00,6851.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-08,0,134,BG IB S/CRED             ,          ,0,0,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-08,0,138,UATRE FEB2017            ,9586      ,0,146,0.00,1643.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-09,0,64,JUAN SEMANA 13/03        ,442       ,0,293,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-10,0,9,M RIOS FC 1522           ,459       ,0,383,0.00,1458.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-13,0,65,SEMANA DEL 13/03 ADICIONA,398       ,0,398,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-13,0,66,BPP                      ,          ,0,0,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-13,0,67,BPC                      ,          ,0,0,0.00,33500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-13,0,71,VISA BUSS VEC 13./03     ,          ,0,0,0.00,11538.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-13,0,82,SOLANILLE FC 96          ,3070      ,0,401,0.00,3025.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-13,0,83,P PRIETTO FC 397/8       ,3073      ,0,402,0.00,31499.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201703,1020,1,1020    ,1,        ,0,2017-03-13,0,84,J REYNOSO FC 77          ,3074      ,0,403,0.00,19900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
