CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201704,1020,1,1020    ,1,        ,0,2017-04-01,0,1,LIMP OF                  ,413       ,0,421,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-01,0,11,JUAN EXP MARZO17         ,416       ,0,424,0.00,1427.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-01,0,51,BG GB 30/03              ,          ,0,0,0.00,151.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-01,0,53,BG GB 30/03              ,          ,0,0,0.00,2724.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-01,0,55,BG GB 30/03              ,          ,0,0,0.00,342.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-01,0,57,BG GB 30/03              ,          ,0,0,0.00,2756.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,48,IND FRIG LOBOS           ,          ,0,0,104740.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,44,MAIA ABRIL               ,          ,0,0,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,8,C SOC MARZO17            ,1391      ,0,442,0.00,56084.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,9,JAIIME OSDE REIN         ,423       ,0,435,0.00,8800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,12,JUAN3/4/17               ,417       ,0,425,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,14,MAPFRE CUOTA1 COMB       ,          ,0,0,0.00,2559.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,2,EDESUR                   ,422       ,0,430,0.00,346.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,3,AFIP                     ,411       ,0,419,0.00,3021.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,63,BG GB                    ,          ,0,0,0.00,146.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,66,BG IBC                   ,          ,0,0,0.00,9.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201704,1020,1,1020    ,1,        ,0,2017-04-03,0,68,BG GB                    ,          ,0,0,0.00,2314.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
