CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201705,1010,1,1010    ,1,        ,0,2017-05-31,0,147,C HEREF                  ,          ,0,0,10000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201705,1010,1,1010    ,1,        ,0,2017-05-31,0,148,C HEREFORD               ,          ,0,0,10000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-02,0,188,BG IBS/C                 ,          ,0,0,0.00,3395.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-02,0,189,BG IBC                   ,          ,0,0,0.00,9.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-02,0,190,BG IBC                   ,          ,0,0,0.00,25.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-02,0,6,JUAN SEMANA 2/05         ,1422      ,0,478,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-02,0,7,CRESPO                   ,          ,0,0,1131711.66,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-02,0,10,JUAN SEMANA 2/05         ,1421      ,0,477,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-02,0,18,JOCKEY                   ,1432      ,0,503,0.00,4668.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-02,0,20,EL INDIO DEV             ,1435      ,0,505,0.00,518250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-03,0,24,JUCARFE SA               ,1538      ,0,1508,0.00,29744.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-05,0,9,RET GAN MONASTERIO       ,1413      ,0,467,0.00,2194.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-05,0,8,C SOC ABRIL2017          ,1337      ,0,502,0.00,52369.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-05,0,1,TEL DE ARG               ,1426      ,0,492,0.00,3001.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-05,0,191,MAPFRE                   ,          ,0,0,0.00,230.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-05,0,192,MAPFRE                   ,          ,0,0,0.00,664.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201705,1020,1,1020    ,1,        ,0,2017-05-05,0,193,MAPFRE                   ,          ,0,0,0.00,1673.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
