CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,39,D POGGI FC 178           ,1383      ,0,553,0.00,907.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,40,D POGGI                  ,1298      ,0,584,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,49,BOTIJA FC JUNIO17        ,1290      ,0,577,0.00,3872.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,134,BG GB                    ,          ,0,0,0.00,766.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,136,BG CHEQ                  ,          ,0,0,0.00,621.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,138,BG CHEQ                  ,          ,0,0,0.00,621.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,140,BG CHEQ                  ,          ,0,0,0.00,621.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,142,BG CHEQ                  ,          ,0,0,0.00,621.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,144,BG CHEQ                  ,          ,0,0,0.00,621.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,146,BG CHEQ                  ,          ,0,0,0.00,621.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,148,BG GB 02/05              ,          ,0,0,0.00,146.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,150,BG COM 02/05             ,          ,0,0,0.00,1187.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,152,BG 02/05                 ,          ,0,0,0.00,1846.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,154,BG GB02/05               ,          ,0,0,0.00,617.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-01,0,156,BG GB 02/05              ,          ,0,0,0.00,580.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-02,0,2,CARACOIX NESTOR FC 1144  ,          ,0,0,0.00,252181.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,4,CETA FC 2760             ,2307      ,0,557,0.00,1174.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,5,AFIP INT                 ,1377      ,0,548,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,6,SERVICOOPSA SA FC 19832  ,1385      ,0,555,0.00,1370.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,9,ACH 2 TRIM 2017          ,1379      ,0,549,0.00,1495.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,45,LIMP JUNIO17             ,1294      ,0,580,0.00,600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,46,EXP OF MAYO17            ,1292      ,0,579,0.00,809.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,42,JUAN EDESUR-AYSA         ,1380      ,0,550,0.00,1194.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,43,UATRE MAYO17             ,1288      ,0,560,0.00,2298.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-05,0,44,C SOC MAYO 17            ,1286      ,0,558,0.00,71844.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-06,0,41,BRISSON MAYO 17          ,          ,0,581,0.00,5563.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-06,0,50,AFIP ANT 7 GAN           ,467       ,0,363,0.00,35918.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-06,0,3,ARBA IMP COMPLEMENTARIO  ,1299      ,0,585,0.00,15431.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-08,0,8,J POGGI FC 1677          ,1291      ,0,578,0.00,7925.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-10,0,89,D GANDARD FC 19          ,3040      ,0,571,0.00,295787.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,106,O RODRIGUEZ  FC 280/254  ,3053      ,0,591,0.00,12000.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,110,R GARCIA FC 154          ,3061      ,0,608,0.00,2790.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,63,J RODRIGUEZ FC 79        ,3048      ,0,592,0.00,5929.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,65,MAIA JUNIO17             ,TRANSF    ,0,0,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,69,POGGO DAMIAN FC 181      ,1320      ,0,604,0.00,5300.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,51,ARBA                     ,9612      ,0,157,0.00,6066.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,52,ARBA                     ,9613      ,0,158,0.00,21046.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,53,JUAN                     ,1308      ,0,596,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,54,JUAN 5-6                 ,1309      ,0,597,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-12,0,118,MAPFRE POL471616 1/7     ,TRANSF    ,0,0,0.00,686.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-13,0,111,H HEREÑU FC 5            ,3062      ,0,609,0.00,34939.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-13,0,17,NIDERA ADELANTO          ,          ,0,0,500000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-13,0,76,NIDERA                   ,          ,0,0,44750.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-13,0,109,G MARTINEZ FLETE MAT     ,60        ,0,607,0.00,6000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,104,AFIP RET GAN             ,1321      ,0,605,0.00,19975.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,96,AMX SA FC 555975         ,1323      ,0,611,0.00,1746.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,61,OSD OFE                  ,1303      ,0,589,0.00,5894.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,57,CCHIATELLINO2/3 OBRA COCI,1540      ,0,1528,0.00,80000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,58,MELO EXP 5/17            ,1301      ,0,587,0.00,3220.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,59,EDESUR OF                ,1302      ,0,588,0.00,503.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,60,OSDE                     ,1304      ,0,590,0.00,4180.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,23,NIDERA                   ,          ,0,0,1138116.41,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,56,S BLEYNAT                ,1541      ,0,1529,0.00,30000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,114,GAN DE ELORDI  ND 150    ,TRANSF    ,0,0,0.00,60321.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,120,PRANOR SRL FC 333        ,TRANSF    ,0,0,0.00,15088.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201706,1020,1,1020    ,1,        ,0,2017-06-14,0,122,SUC DE F ORTEGA FC 583   ,TRANSF    ,0,0,0.00,15088.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
