CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
400,201707,1010,1,1010    ,1,        ,0,2017-07-06,108,12,CAJA HEREFORD            ,          ,0,0,10547.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
400,201707,1010,1,1010    ,1,        ,0,2017-07-10,141,217,CH                       ,          ,0,0,0.00,10547.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
400,201707,1010,1,1010    ,3,        ,0,2017-07-01,26,249,APERTURA                 ,          ,0,0,0.00,143.22,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-01,26,249,APERTURA                 ,          ,0,0,0.00,262300.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-01,22,175,BG GB                    ,          ,0,0,0.00,966.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-02,52,24,NIDERA                   ,          ,0,0,200000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,57,10,BOTIJA SA FC 384         ,2311      ,0,615,0.00,3872.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,58,11,JUAN SEMANA 03/07        ,2316      ,0,620,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,54,1,ARBA 2/2017              ,2329      ,0,630,0.00,49617.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,55,8,BOTIJA SA ND 81          ,1305      ,0,593,0.00,637.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,68,179,BG IIBB                  ,          ,0,0,0.00,9.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,70,181,BG GB                    ,          ,0,0,0.00,1997.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,67,178,BG GB                    ,          ,0,0,0.00,1187.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,65,176,BG GAL RURAL             ,          ,0,0,0.00,878212.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,72,183,BG GB                    ,          ,0,0,0.00,365.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,74,185,BG GB                    ,          ,0,0,0.00,580.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,75,186,BG IB                    ,          ,0,0,0.00,4.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-03,76,187,BG IIBB                  ,          ,0,0,0.00,3.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-04,94,188,NIDERA                   ,          ,0,0,17100.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-05,98,189,MAPFRE                   ,          ,0,0,0.00,230.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-05,99,190,BG IIBB                  ,          ,0,0,0.00,871.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-05,100,191,BG IIBB                  ,          ,0,0,0.00,1673.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-05,101,192,AACREA                   ,          ,0,0,0.00,3856.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-05,102,193,BG SENASA                ,          ,0,0,0.00,4315.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-05,97,19,NIDERA                   ,          ,0,0,434947.94,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-06,109,15,AUTONORT PAGO INFRACCIONE,3126      ,0,666,0.00,30216.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-06,110,17,NIDERA                   ,          ,0,0,12641.66,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-06,113,194,NIDERA                   ,          ,0,0,536.16,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,122,195,OSDE                     ,          ,0,0,985.44,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,123,196,MAPFRE                   ,          ,0,0,0.00,880.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,124,197,BG ZURICH                ,          ,0,0,0.00,2634.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,125,198,ZURICH                   ,          ,0,0,0.00,5593.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,115,6,ARBA COMPLEM CUOTA2      ,2323      ,0,625,0.00,15431.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,116,7,UATRE JUNIO17            ,1312      ,0,600,0.00,2021.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,118,21,AFIP RET GAN             ,2328      ,0,631,0.00,9279.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,119,22,ARBA 2/2017              ,2327      ,0,629,0.00,104884.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,120,23,EXP JUNIO 2017           ,9633      ,0,187,0.00,889.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-07,121,27,CS JUNIO17               ,2330      ,0,632,0.00,71685.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-10,132,14,C EL TUCUM FC 11231      ,1317      ,0,603,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-10,134,54,AFIP ANT 8 GAN           ,1324      ,0,670,0.00,35918.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-10,135,61,CROCE EXP JUNIO17        ,2354      ,0,667,0.00,3220.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-10,136,62,TOYOTA                   ,TRANSF    ,0,0,0.00,9266.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-10,137,63,SOC RURAL                ,TRANSF    ,0,0,0.00,8640.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-10,138,64,CUENCA                   ,TRANSF    ,0,0,0.00,30000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-10,139,199,G VISA                   ,          ,0,0,0.00,12231.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,150,69,CREA JULIO 17 -VIAJE ASES,5585      ,0,683,0.00,13453.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,151,74,C ENV FC 149             ,5581      ,0,681,0.00,12222.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,152,75,C ENVASES FC 349         ,5584      ,0,682,0.00,12222.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,153,76,C ENVASES FC 349         ,5580      ,0,680,0.00,12222.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,154,77,L ZABALA FC 10320-297-096,1579      ,0,679,0.00,13186.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,155,78,P PRIETO FC  573         ,5578      ,0,678,0.00,14856.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,156,79,A GROPPA FC 21           ,5577      ,0,677,0.00,70810.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,149,53,JUCARFE FC 320/1/2       ,5587      ,0,685,0.00,297472.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,148,49,O RODRIG FC 1387         ,5586      ,0,684,0.00,6967.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,147,48,J REYNOSO FC 102         ,5576      ,0,676,0.00,21600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,142,43,NEUM TIBER  FC 7725      ,5574      ,0,674,0.00,5123.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,143,44,NEUMAT TIBER FC 7725     ,5571      ,0,671,0.00,5123.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,144,45,NEUM TIBER FC 7725       ,5572      ,0,672,0.00,5123.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,145,46,NEUM TIBER FC 7725       ,5573      ,0,673,0.00,5123.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-11,146,47,MACHINAND FC 110/176/202 ,5575      ,0,675,0.00,10490.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,158,33,CESAR CARDOSO FC 168     ,5588      ,0,689,0.00,18404.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,159,36,M BRISSON EXP JUNIO 17   ,2342      ,0,654,0.00,5248.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,160,38,DIESEL LANGE FC 11865    ,2351      ,0,663,0.00,382.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,161,39,CECT FC 13628/29/30      ,1325      ,0,660,0.00,6060.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,157,26,JUAN 10-7                ,2318      ,0,621,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,167,73,AYSA                     ,2355      ,0,668,0.00,2302.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,165,67,J POGGI FC 1723          ,2353      ,0,665,0.00,7925.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,166,68,LIMPIEZA                 ,1329      ,0,690,0.00,600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-12,175,233,OSDE                     ,          ,0,0,8500.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-13,178,201,BG IIBB                  ,          ,0,0,0.00,4.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,196,202,OSDE                     ,          ,0,0,0.00,11270.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,180,86,V BETBEDER FC 107        ,5589      ,0,699,0.00,3986.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,181,87,AMX FC 654301            ,2356      ,0,697,0.00,2074.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,182,89,D LANGE FC 11954         ,5590      ,0,700,0.00,3441.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,183,91,OSDE                     ,2336      ,0,648,0.00,5894.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,185,94,OSDE JUAN JULIO17        ,2335      ,0,647,0.00,4558.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,186,96,JAIME REINT OSDE         ,1334      ,0,695,0.00,8500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,187,97,JUAN SEMANA 14/08        ,2319      ,0,622,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-17,189,99,CETA                     ,2364      ,0,706,0.00,1306.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201707,1020,1,1020    ,1,        ,0,2017-07-18,199,90,GAS R PEÑA /FENOSA       ,1326      ,0,686,0.00,1324.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
