CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
400,201708,1010,1,1010    ,1,        ,0,2017-08-24,147,88,CAJA HER                 ,          ,0,0,10000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
400,201708,1010,1,1010    ,1,        ,0,2017-08-24,153,245,CAJA HER                 ,          ,0,0,1.13,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-01,8,27,JOCKEY JULIO17           ,2365      ,0,707,0.00,5104.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-01,9,28,CRESPO                   ,          ,0,0,1085956.29,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-01,10,33,MAIA DIF DE AJUSTE       ,          ,0,0,0.00,9800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-01,11,34,JAIME                    ,2346      ,0,658,0.00,8500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-01,13,216,NIDERA                   ,          ,0,0,30632.07,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,22,24,CAMINOS 4/2017           ,1327      ,0,687,0.00,26404.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,19,17,BOTIJA ALQ AGSTO17       ,2369      ,0,716,0.00,4356.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,20,20,J POGGI FC 1772          ,2371      ,0,717,0.00,7925.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,21,22,BIDART FC 31             ,          ,0,0,0.00,210502.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,14,6,MICRON A CTA FC 13600    ,5593      ,0,711,0.00,51392.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,15,7,MICRON A CTA 13600       ,5594      ,0,712,0.00,51392.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,16,8,MICRON  A CTA FC 13600   ,5597      ,0,713,0.00,51392.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,17,9,MICRON A CTA FC 13600    ,5598      ,0,714,0.00,51392.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-02,18,10,MICRON SALDO FC 13600    ,5599      ,0,715,0.00,51393.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-03,28,23,IMP INM MART             ,2350      ,0,662,0.00,25000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-03,29,25,TEL DE ARG               ,2367      ,0,709,0.00,2913.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-03,30,26,SERVICOOP SA FC 20911/204,2366      ,0,708,0.00,2740.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-03,31,29,OSDE                     ,          ,0,0,2472.47,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-03,32,30,OSDE/AUT 8/17            ,2373      ,0,719,0.00,11724.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-03,33,31,MAPFRE                   ,358       ,0,701,0.00,457.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-03,34,32,MICRON RET GAN           ,2372      ,0,718,0.00,3647.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-04,38,219,BG SENASA                ,          ,0,0,0.00,1940.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-07,56,220,BG MAPFRE                ,          ,0,0,0.00,230.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-07,57,221,BG MAPFRE                ,          ,0,0,0.00,871.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-07,58,222,BG MAPFRE                ,          ,0,0,0.00,880.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-07,59,223,BG MAPFRE                ,          ,0,0,0.00,1673.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-07,60,224,BG ZURICH                ,          ,0,0,0.00,2634.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-07,61,225,BG ZURICH                ,          ,0,0,0.00,5593.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201708,1020,1,1020    ,1,        ,0,2017-08-07,49,36,BCO GAL                  ,          ,0,0,0.00,274956.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
