CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
400,201711,1010,1,1010    ,3,        ,0,2017-11-01,35,246,AFIP DIF                 ,          ,0,0,0.00,635.21,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,1,4,CREA OCTUBRE2017         ,9540      ,0,849,0.00,8453.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,2,5,UATRE OCTUB17            ,1313      ,0,601,0.00,2232.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,5,20,RUMINARE FC 704          ,6666      ,0,877,0.00,44678.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,6,21,R SIMONDI FC 949         ,6667      ,0,878,0.00,7643.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,8,23,P PRIETO FC 724          ,6661      ,0,873,0.00,19902.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,7,22,VILMA BETBEDERE FC 160   ,6665      ,0,876,0.00,30018.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,9,54,H HEREÑU FC 6            ,5663      ,0,870,0.00,73395.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,13,64,MAIA NOV 2017            ,TRANSF    ,0,0,0.00,21400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,17,182,BG OSDE JAIME            ,          ,0,0,10200.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,18,183,C SOC OCT 17             ,          ,0,0,0.00,70206.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,19,184,RET GANACIAS             ,          ,0,0,0.00,919.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,21,186,BG GB                    ,          ,0,0,0.00,1187.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,22,187,SENASA                   ,          ,0,0,0.00,1269.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,23,188,BGGB                     ,          ,0,0,121.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,28,199,BG COM                   ,          ,0,0,0.00,1579.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,29,200,BG COM                   ,          ,0,0,0.00,598.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,30,201,BG COM                   ,          ,0,0,0.00,580.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,31,202,BG INT                   ,          ,0,0,0.00,6264.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,32,209,BG GB                    ,          ,0,0,0.00,146.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,33,210,BG IBC                   ,          ,0,0,0.00,17.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-01,34,211,BG IBC                   ,          ,0,0,0.00,55.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-04,42,203,BG GB                    ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-06,45,10,BOTIJA FC 429            ,9546      ,0,855,0.00,4356.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-07,49,9,CRESPO                   ,          ,0,0,569507.50,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-07,52,212,BG VBUSS                 ,          ,0,0,0.00,3079.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-07,54,214,BG MAPFRE                ,          ,0,0,0.00,230.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-07,55,215,BG MAPFRE                ,          ,0,0,0.00,871.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-07,56,216,BG MAPFRE                ,          ,0,0,0.00,1796.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-07,57,217,BG ZURICH                ,          ,0,0,0.00,3847.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-07,58,218,BG ZURICH                ,          ,0,0,0.00,5593.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-08,66,219,BG AACREA                ,          ,0,0,0.00,3856.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-08,61,3,ARBA 3/2017              ,9552      ,0,860,0.00,49617.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-08,59,1,ARBA 3/17 COMPLEM        ,9551      ,0,859,0.00,15431.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-08,60,2,ARBA CUOTA3/2017         ,9553      ,0,861,0.00,104884.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-09,67,220,BG SENASA                ,          ,0,0,0.00,1269.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-13,75,18,SERV FC 22791/22331      ,          ,0,0,0.00,2740.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-13,76,19,DIESEL LANGE FC 13745    ,9571      ,0,884,0.00,2408.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-13,74,16,CETA FC 3254/3372        ,          ,0,0,0.00,1891.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-13,80,43,J POGGI FC 1927 OCT17    ,9567      ,0,881,0.00,7925.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-13,81,62,DEV EL INDIO 25000-17-78 ,TRANSF    ,0,0,0.00,444500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-13,88,204,BG GB                    ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-13,89,205,BG GB                    ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-13,85,154,PAGO VACAS CUIDADOR JUARE,TRANSF    ,0,0,0.00,15500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-14,107,206,BG GB                    ,          ,0,0,0.00,627.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-14,108,207,BG GB                    ,          ,0,0,0.00,627.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-14,109,208,BG GB                    ,          ,0,0,0.00,627.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-14,91,37,CRESPO                   ,          ,0,0,564115.86,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-15,110,40,FF                       ,9573      ,0,887,0.00,1168.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-15,111,41,OSDE                     ,9564      ,0,885,0.00,10456.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-15,112,44,BRISSON EXP OCTUBRE17    ,9565      ,0,879,0.00,8500.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-15,113,45,CROCE EXP 10/2017        ,9575      ,0,889,0.00,3725.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-15,114,46,JOCKEY CLUB 10-17        ,9576      ,0,890,0.00,5728.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-15,117,68,JAIME                    ,9570      ,0,883,0.00,12070.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-15,123,221,BG SENASA                ,          ,0,0,0.00,2538.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-15,124,222,BG OSDE                  ,          ,0,0,0.00,13552.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-17,131,223,ZURICH                   ,          ,0,0,5176.07,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-17,131,223,ZURICH                   ,          ,0,0,0.00,5176.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-17,126,72,CHIATELINO               ,9439      ,0,1606,0.00,30000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-21,141,76,A SANZ FC 2077           ,TRANSF    ,0,0,0.00,35328.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-21,139,30,CIA DE IMP FC 558        ,9579      ,0,891,0.00,1270.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-21,136,27,PAGO DE GALICIA RURAL    ,TRANSF    ,0,0,0.00,586000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201711,1020,1,1020    ,1,        ,0,2017-11-21,137,28,ARBA MARTIN 5/2017       ,9585      ,0,898,0.00,22974.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
