CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
400,201712,1020,1,1020    ,1,        ,0,2017-12-01,6,191,BG IIBB                  ,          ,0,0,0.00,20.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-02,14,4,J CASADO FC 390          ,6670      ,0,905,0.00,12063.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-04,17,6,MEDIA LUNA NOV 2017      ,9437      ,0,900,0.00,720.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-04,18,7,A CORRAL SEP-OCT         ,9440      ,0,901,0.00,6033.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-04,19,11,CERT BALANCES            ,9449      ,0,912,0.00,20600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-04,20,13,BG GAL RURAL             ,TRANS     ,0,0,0.00,860000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-04,21,19,J POGGI FC 1975          ,9453      ,0,915,0.00,7925.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-04,22,23,JOCKEY 11/2017           ,TRANSF    ,0,0,0.00,5950.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-05,27,17,MAIA DIC2017             ,TRANSF    ,0,0,0.00,21400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-05,28,18,CAMINOS 6-17             ,TRANSF    ,0,0,0.00,26404.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-05,29,47,BG CRESPO                ,          ,0,0,529571.64,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-05,33,168,BG MAPFRE                ,          ,0,0,0.00,310.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-05,34,169,BG MAPFRE                ,          ,0,0,0.00,1158.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-05,35,170,BG MAPFRE                ,          ,0,0,0.00,1796.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-05,36,171,BG AACREA                ,          ,0,0,0.00,3856.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-06,42,172,BG C SOC NOV2017         ,          ,0,0,0.00,73602.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-06,43,173,ARRED LAS PRADERAS       ,          ,0,0,0.00,26242.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-06,44,174,ARREN LAS PRADERAS       ,          ,0,0,0.00,26242.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-06,45,175,ARREN LAS PRADERA        ,          ,0,0,0.00,26242.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-06,46,176,ARREN LAS PRADERAS       ,          ,0,0,0.00,26242.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-06,47,177,ARREN LAS PRADERAS       ,          ,0,0,0.00,52485.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201712,1020,1,1020    ,1,        ,0,2017-12-06,48,178,BG ZURICH                ,          ,0,0,0.00,1030.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
