CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
400,201801,1010,1,1010    ,3,        ,0,2018-01-03,25,23,EDESUR-TEL -SERVICOOP    ,          ,0,0,811.03,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-01,3,33,BG GB                    ,          ,0,0,0.00,1187.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-01,5,35,BG GB                    ,          ,0,0,0.00,146.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-01,7,37,BG GB                    ,          ,0,0,0.00,1236.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-01,8,156,BG GB                    ,          ,0,0,0.00,361.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-02,23,155,BG IBB                   ,          ,0,0,0.00,18.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-02,11,40,BG GB                    ,          ,0,0,0.00,1187.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-02,9,38,BG GAL RURAL             ,          ,0,0,0.00,1167113.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-02,13,42,BG GB                    ,          ,0,0,0.00,198.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-02,15,44,BG GB                    ,          ,0,0,0.00,1061.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-02,17,46,BG GB                    ,          ,0,0,0.00,213.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-03,30,47,CS DIC                   ,          ,0,0,0.00,117785.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-03,31,48,BG MAIA                  ,          ,0,0,0.00,21400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-03,26,24,OSDE                     ,          ,0,0,0.00,10950.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-03,27,25,UATRE ENERO 18           ,4291      ,0,967,0.00,2275.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-03,29,27,C R S PEÑA EXPNOV-DIC    ,2343      ,0,655,0.00,1988.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-03,28,26,JOCKEY                   ,9478      ,0,945,0.00,5898.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-03,24,22,BRISSON EXP DIC 17       ,9481      ,0,948,0.00,8655.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-03,25,23,EDESUR-TEL -SERVICOOP    ,4275      ,0,957,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-04,33,17,BOTIJA FC 452            ,9468      ,0,937,0.00,4356.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-05,38,18,J POGGI FC 2027          ,9474      ,0,941,0.00,9922.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-05,43,157,BG MAPFRE                ,          ,0,0,0.00,309.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-05,44,158,BG MAPFRE                ,          ,0,0,0.00,1153.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-05,45,159,MAPFRE                   ,          ,0,0,0.00,1880.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-05,46,160,BG ZURICH                ,          ,0,0,0.00,2643.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-05,47,161,BG ZURICH                ,          ,0,0,0.00,3847.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-05,48,162,AACREA                   ,          ,0,0,0.00,3856.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-08,55,163,AFIP FUM DON SANTIAGO    ,          ,0,0,0.00,114.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-08,56,164,BG VISA                  ,          ,0,0,0.00,3405.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-08,57,167,UATRE                    ,2339      ,0,651,0.00,3741.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-09,59,165,BG SENASA                ,          ,0,0,0.00,2704.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-10,67,166,CTA                      ,4286      ,0,963,0.00,1126.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-10,63,19,AFIP-LIMP ENERO          ,9466      ,0,933,0.00,1549.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-10,64,29,CRESPO                   ,          ,0,0,533105.46,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-10,60,2,ATSA DOSIS AFTPSA        ,4141      ,0,1612,0.00,52106.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-10,61,9,RUIZ CLAUDIO FC 35       ,6878      ,0,929,0.00,22385.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-10,62,12,J CASADO FC 410          ,6684      ,0,969,0.00,11014.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-11,68,71,C PACHECO DE MELO        ,9471      ,0,939,0.00,3724.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-11,71,168,CECT                     ,TRANS     ,0,0,0.00,9860.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-11,72,169,CTA                      ,          ,0,0,0.00,708.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-11,73,170,BPP                      ,          ,0,0,0.00,120000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-11,74,171,BPC                      ,          ,0,0,0.00,120000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-11,69,107,A GROPA                  ,3143      ,0,1630,0.00,12802.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-12,81,172,BG SENASA                ,          ,0,0,0.00,1130.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-12,78,67,PEUGEOT PATENTE 2018     ,9483      ,0,950,0.00,4214.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-12,79,68,CAMIONETA 2014 PAT 2018  ,9484      ,0,951,0.00,3839.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-12,80,69,CAMIONETA 2017 PAT 2018  ,4277      ,0,952,0.00,60213.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-15,87,11,A SINEGUB FC 630         ,6677      ,0,928,0.00,6618.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-15,88,13,J REYNOSO FC 133         ,6682      ,0,970,0.00,16400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-15,89,14,MEDIA LUNA DIC17         ,4285      ,0,962,0.00,742.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-15,90,15,DIEGO HNOS               ,6683      ,0,968,0.00,6077.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-15,84,6,R Y H GARCIA FC 726      ,6681      ,0,936,0.00,10853.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-15,85,7,L ZABALA SALDO CTA CTE   ,6680      ,0,935,0.00,19720.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-15,86,8,V BETBEDER FC 174        ,6679      ,0,930,0.00,3001.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-16,113,10,EL SULKY FC 137/138      ,6675      ,0,926,0.00,135482.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-16,114,173,OSDE JAIME               ,          ,0,0,0.00,14364.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-17,115,1,O RODRIGUEZ              ,3138      ,0,1608,0.00,14000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-18,116,53,DEV ESTEPHY              ,          ,0,0,52169.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-18,118,174,AACREA                   ,          ,0,0,0.00,204.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-19,120,54,CRESPO                   ,          ,0,0,544134.78,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-20,123,70,EBP ENERO2017            ,4289      ,0,965,0.00,47082.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-22,147,175,BG OSDE                  ,          ,0,0,30000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-24,151,180,BARNOLA                  ,          ,0,0,0.00,247000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-25,152,20,JAIME HONOR ENERO18      ,9477      ,0,944,0.00,9500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-25,153,21,HG                       ,9472      ,0,940,0.00,45000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-26,156,55,CRESPO                   ,          ,0,0,416969.86,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-27,161,66,AMX FC 1227787           ,4278      ,0,958,0.00,1427.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201801,1020,1,1020    ,1,        ,0,2018-01-29,162,177,BG SENASA                ,          ,0,0,0.00,206.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
