CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
400,201803,1010,1,1010    ,3,        ,0,2018-03-09,79,247,UATRE                    ,          ,0,0,0.00,32.60,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,1,6,L DEL RIO FC 1466/1519/59,6692      ,0,1002,0.00,4988.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,2,7,P PRIETO FC 845/804      ,6693      ,0,1003,0.00,33727.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,5,16,EDESUR OF                ,4335      ,0,1035,0.00,848.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,6,30,FENOSA CUOTA 2/2018      ,4324      ,0,1020,0.00,2025.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,7,32,OF VARIOS                ,4333      ,0,1033,0.00,1063.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,8,33,AGIP MELO 2017/1-2-2018  ,4331      ,0,1031,0.00,4023.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,9,34,EXP MELO ENERO18         ,4325      ,0,1021,0.00,3724.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,10,35,AGIP R PEÑA  VEC 14/03   ,4323      ,0,1019,0.00,1427.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,11,36,JOCKEY 2/2018            ,4336      ,0,1036,0.00,8643.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,17,149,BG COMISION              ,          ,0,0,0.00,1391.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,18,150,BG IBC                   ,          ,0,0,0.00,11.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,20,152,BG COMIS                 ,          ,0,0,0.00,198.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,22,154,BG COMIS                 ,          ,0,0,0.00,936.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,24,182,BG GB                    ,          ,0,0,0.00,480.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,26,184,BCO GAL                  ,          ,0,0,0.00,689.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,28,186,BG                       ,          ,0,0,0.00,124.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-01,29,187,BG IBB                   ,          ,0,0,0.00,20.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-02,33,188,BG IBB                   ,          ,0,0,0.00,267.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-02,34,189,SENASA                   ,          ,0,0,0.00,1485.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-02,30,25,CRESPO                   ,          ,0,0,535955.69,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-03,37,22,PUERTO LIBRE FC 630      ,5684      ,0,1042,0.00,1329.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-03,35,4,AA FC NOV/DIC            ,6687      ,0,986,0.00,24376.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,45,1,R Y H GARCIA FC 953/957  ,6700      ,0,1008,0.00,31600.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,47,28,BOTIJA MARZO2018         ,4295      ,0,973,0.00,4840.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,46,14,LANGE FC 15585           ,5669      ,0,1027,0.00,9408.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,48,61,C SOC FEB-2018           ,          ,0,0,0.00,78773.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,52,72,RET GAN                  ,          ,0,0,0.00,209.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,55,190,MAPFRE                   ,          ,0,0,0.00,309.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,56,191,MAPFRE                   ,          ,0,0,0.00,1153.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,57,192,BBVA CONSOLIDAR          ,          ,0,0,0.00,1482.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-05,58,193,MAPFRE                   ,          ,0,0,0.00,1880.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-06,64,194,ZURICH                   ,          ,0,0,0.00,2643.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-06,65,195,AACREA                   ,          ,0,0,0.00,3856.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-06,66,196,ZURICH                   ,          ,0,0,0.00,4492.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-08,74,211,BPC                      ,          ,0,0,0.00,45000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-08,72,37,M BRISSON EXP FEBRERO    ,4314      ,0,997,0.00,7978.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-08,73,39,J POGGI FC 2123          ,9475      ,0,942,0.00,9922.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-09,75,38,UATRE FEBRERO 2018       ,4297      ,0,975,0.00,2528.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-10,84,15,E RAMIREZ LABORES        ,3147      ,0,1658,0.00,25944.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201803,1020,1,1020    ,1,        ,0,2018-03-10,85,21,R SIMONDI FC 1194        ,5685      ,0,1043,0.00,1401.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
