CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,13,8,AMX FC 1423174           ,4348      ,0,1055,0.00,1801.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,15,21,J POGGI FC 2167          ,4351      ,0,1070,0.00,9922.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,17,39,BPP                      ,TRANSF    ,0,0,0.00,100000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,22,63,CRESPO                   ,          ,0,0,535837.60,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,24,70,BG IB                    ,          ,0,0,0.00,11.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,26,72,BG COM                   ,          ,0,0,0.00,1391.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,28,74,BG GB                    ,          ,0,0,0.00,198.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,30,76,BG GB                    ,          ,0,0,0.00,1825.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,32,78,BG GB                    ,          ,0,0,0.00,682.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,34,80,BG GB                    ,          ,0,0,0.00,689.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,36,82,BG IMP SELLOS            ,          ,0,0,0.00,27.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,37,83,BG IB                    ,          ,0,0,0.00,35.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-03,38,182,BG GB                    ,          ,0,0,0.00,958.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,47,85,BG GB                    ,          ,0,0,0.00,716.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,48,86,BG IB                    ,          ,0,0,0.00,5.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,50,88,BG CHEQUER               ,          ,0,0,0.00,5.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,50,88,BG CHEQUER               ,          ,0,0,0.00,716.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,52,90,BG GB                    ,          ,0,0,0.00,716.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,54,92,BG CHEQ                  ,          ,0,0,0.00,716.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,56,94,BG CHEQ                  ,          ,0,0,0.00,716.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,58,96,BG CHEQ                  ,          ,0,0,0.00,716.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,59,97,BG OB                    ,          ,0,0,0.00,23.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,42,18,BOTIJA SA FC 488         ,4350      ,0,1068,0.00,4840.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,43,29,MUN C TEJ CAMINOS CUOTA 2,TRANSFEREN,0,0,0.00,42154.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,39,14,EDESUR/TELE              ,4349      ,0,1069,0.00,4422.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,40,15,DIESEL LANGE FC 14255    ,3698      ,0,1064,0.00,3389.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-04,41,16,VARIOS OF                ,4352      ,0,1071,0.00,555.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-05,66,26,F CLEARY FLETE CAB       ,9500      ,0,1669,0.00,2100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-05,64,19,EXP MARZO R PEÑA         ,9480      ,0,947,0.00,7305.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-05,65,20,JOCKEY                   ,9479      ,0,946,0.00,264.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-05,69,98,MAPFRE                   ,          ,0,0,0.00,309.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-05,70,99,MAPFRE                   ,          ,0,0,0.00,1153.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-05,71,100,MAPFRE POL 9361421 CUOT4 ,          ,0,0,0.00,1880.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-05,72,102,ZURICH POL CAM2017       ,          ,0,0,0.00,4492.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-05,74,183,BG AACREA                ,          ,0,0,0.00,3857.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-06,82,101,ZURICH PEUGEOT           ,          ,0,0,0.00,2643.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-06,75,22,COFCO INT ARG SA         ,          ,0,0,42898.91,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-06,76,23,COFCO INT ARGEN          ,          ,0,0,1562873.66,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-09,90,30,C SOC MARZO 18           ,TRANSF    ,0,0,0.00,79479.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-09,89,28,DEV EL INDIO             ,TRANSFEREN,0,0,0.00,1000000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-09,91,35,AFIP ANT GAN 5-2018      ,          ,0,0,0.00,55126.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201804,1020,1,1020    ,1,        ,0,2018-04-09,92,103,VISA BUUS                ,          ,0,0,0.00,4106.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
