CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,2,12,J REYNOSO FC 165         ,4383      ,0,1114,0.00,15950.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,1,11,VCRE ABRIL 2018          ,5710      ,0,1092,0.00,9861.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,6,53,BG COMIS                 ,          ,0,0,0.00,1286.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,7,54,BG IMP IB                ,          ,0,0,0.00,27.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,9,56,BG COMIS                 ,          ,0,0,0.00,689.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,11,58,BG GB                    ,          ,0,0,0.00,230.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,13,60,BG INT                   ,          ,0,0,0.00,180.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,15,99,CRESPO                   ,          ,0,0,595513.49,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,21,148,BG  COMISION             ,          ,0,0,0.00,1391.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-02,23,150,BG COMISION              ,          ,0,0,0.00,198.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-03,30,42,TEL DE ARG               ,4378      ,0,1104,0.00,3685.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-03,31,43,OSDE 4/2018              ,4381      ,0,1112,0.00,12854.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-03,32,44,J DE PAZ 5/2018 10/2018  ,4370      ,0,1090,0.00,4380.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-04,45,41,J POGGI FC 2215          ,4364      ,0,1080,0.00,9922.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-04,46,61,BPC                      ,          ,0,0,0.00,45000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-04,51,151,OSDE JAIME               ,          ,0,0,438.81,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,72,155,MAPFRE                   ,          ,0,0,0.00,1136.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,73,156,MAPFRE                   ,          ,0,0,0.00,309.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,74,157,MAPFRE                   ,          ,0,0,0.00,1153.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,75,158,MAPFRE                   ,          ,0,0,0.00,1937.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,76,159,ZURICH                   ,          ,0,0,0.00,4492.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,69,40,EXP FEB/MARZ/ABRIL-18    ,4271      ,0,953,0.00,3558.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,58,14,BPC                      ,          ,0,0,0.00,65000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,59,16,BOTIJA MAYO 2018         ,4363      ,0,1079,0.00,4840.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,60,17,AFIP GAN ANT 6           ,TRANSF    ,0,0,0.00,55126.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,61,18,AFIP INT                 ,          ,0,0,0.00,293.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,62,19,AFIP C SOC ABRIL2018     ,          ,0,0,0.00,78557.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,63,20,BPP                      ,          ,0,0,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,64,21,SERVICOOP SA 25194       ,          ,0,0,0.00,1370.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,66,23,IRIARTE INF GAN          ,          ,0,0,0.00,2400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,67,24,MAPFRE POL 3094832       ,          ,0,0,0.00,3181.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,65,22,DIESEL LANGE             ,          ,0,0,0.00,9650.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-07,68,25,MAIA MAYO18              ,          ,0,0,0.00,22727.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-08,79,38,C S DE IMP FC 36799      ,4397      ,0,1126,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-10,87,160,SENASA                   ,          ,0,0,0.00,1358.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-10,88,164,F GARCIA FC 2            ,5704      ,0,1084,0.00,12487.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-15,98,163,UATRE ABRIL              ,4390      ,0,1122,0.00,2457.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-15,96,161,SENASA                   ,          ,0,0,0.00,1295.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-15,97,162,BG OSDE                  ,          ,0,0,0.00,14558.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-15,92,26,ELVIO LAB MARZ/ABRIL     ,9501      ,0,1679,0.00,17235.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-15,89,2,O RODRIGUEZ FC 2368/538  ,5702      ,0,1081,0.00,33802.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-15,90,3,L ZABALA                 ,5705      ,0,1085,0.00,6186.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-15,91,4,P PRIETO FC 883/844/53/4 ,5706      ,0,1086,0.00,66370.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-15,93,79,EL INDIO                 ,          ,0,0,600000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-17,104,39,TECNOVA SA FC 26         ,6618      ,0,1115,0.00,1597737.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-18,123,111,AMX FC 1607159           ,4375      ,0,1101,0.00,2431.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-20,124,1,NIDERA SA SEMILLA MAIZ   ,3140      ,0,1611,0.00,459247.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-22,141,91,CRESPO                   ,          ,0,0,258093.18,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-23,144,92,CC INS                   ,          ,0,0,806072.78,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
400,201805,1020,1,1020    ,1,        ,0,2018-05-23,145,93,CC INS                   ,          ,0,0,20932.08,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
