CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201807,1020,1,1020    ,1,        ,0,2018-07-01,7,241,ASIENTO APERTURA         ,          ,0,0,565281.67,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,11,11,AFIP INT ANT GAN         ,          ,0,0,0.00,330.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,12,12,AFIP INT RES PART SOC    ,          ,0,0,0.00,365.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,16,31,GAL RURAL VEC 02/07 60%  ,          ,0,0,0.00,580353.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,31,150,BG GB                    ,          ,0,0,0.00,1391.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,33,152,BG GB                    ,          ,0,0,0.00,198.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,35,154,BG GB                    ,          ,0,0,0.00,1452.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,37,156,BG GB                    ,          ,0,0,0.00,477.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,40,159,BG IIBB                  ,          ,0,0,0.00,33.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-02,39,158,BG GB                    ,          ,0,0,0.00,689.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-03,45,25,CRESPO                   ,          ,0,0,723810.79,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-03,49,95,AFIP                     ,7033      ,0,1216,0.00,1152.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-04,52,17,D LANGE FC 19106         ,6642      ,0,1182,0.00,6602.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-04,56,148,BRISSON EXP JULIO18      ,7039      ,0,1229,0.00,9163.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-05,65,187,BG MAPFRE                ,          ,0,0,0.00,309.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-05,66,188,BG MAPFRE                ,          ,0,0,0.00,656.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201807,1020,1,1020    ,1,        ,0,2018-07-05,67,189,BG SENASA                ,          ,0,0,0.00,1367.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
