CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201809,1010,1,1010    ,1,        ,0,2018-09-06,51,174,S BRITOS MESADA          ,          ,0,0,0.00,8600.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201809,1010,1,1010    ,1,        ,0,2018-09-30,179,176,HG                       ,          ,0,0,38418.85,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201809,1010,1,1010    ,1,        ,0,2018-09-30,177,173,C HEREFORD               ,          ,0,0,0.00,10527.20,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201809,1010,1,1010    ,1,        ,0,2018-09-30,178,175,CAJA HEREFORD            ,          ,0,0,0.00,38836.65,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201809,1010,1,1010    ,3,        ,0,2018-09-17,102,57,TEL DE ARG               ,          ,0,0,3100.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201809,1010,1,1010    ,3,        ,0,2018-09-17,103,58,EDESUR                   ,          ,0,0,1300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201809,1010,1,1010    ,3,        ,0,2018-09-17,104,59,VARIOS OF                ,          ,0,0,4000.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-03,19,116,BPC                      ,          ,0,0,0.00,175000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-03,20,117,BG COMIS                 ,          ,0,0,0.00,1391.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-03,21,118,BG COMIS                 ,          ,0,0,0.00,198.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-03,22,119,BG COMIS                 ,          ,0,0,0.00,1627.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-03,23,120,BG COMIS                 ,          ,0,0,0.00,437.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-03,24,121,BG COMIS                 ,          ,0,0,0.00,689.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-03,25,122,BG IB                    ,          ,0,0,0.00,34.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-04,28,124,AFIP REINT IVA           ,          ,0,0,118534.59,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-05,34,126,BG MAPFRE                ,          ,0,0,0.00,309.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-05,35,127,BG MAPFRE                ,          ,0,0,0.00,695.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-05,36,128,BG CONSOLIDAR            ,          ,0,0,0.00,1315.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-05,37,129,MAPFRE                   ,          ,0,0,0.00,2090.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-05,38,130,CREA                     ,          ,0,0,0.00,3752.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-05,30,14,J POGGI FC 2426          ,7111      ,0,1259,0.00,9922.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-06,48,131,BG ZURICH                ,          ,0,0,0.00,2684.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-06,49,132,BG ZURICH                ,          ,0,0,0.00,5591.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-06,50,133,BG MAPFRE                ,          ,0,0,0.00,571.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-07,53,134,BG SENASA                ,          ,0,0,0.00,1434.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-07,52,23,BOTIJA FC 550            ,7109      ,0,1257,0.00,5420.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,55,29,CETA                     ,          ,0,0,0.00,656.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,56,30,ARRENDAMIENTO            ,          ,0,0,0.00,35728.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,54,28,CETA FC 4563             ,          ,0,0,0.00,827.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,57,31,ARRENDAMIENTO            ,          ,0,0,0.00,35728.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,58,32,ARRENDAMIENTO            ,          ,0,0,0.00,35728.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,59,33,ARRENDAMIENTO            ,          ,0,0,0.00,71456.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,60,34,ARRENDAMIENTO            ,          ,0,0,0.00,35728.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,61,35,C SOC AGOSTO18           ,          ,0,0,0.00,92140.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,62,36,AFIP ANT GAN 10          ,          ,0,0,0.00,55126.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,63,37,PRESTAMO EL INDIO        ,          ,0,0,500000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,64,38,GOYAIKE SALDO FC 75      ,          ,0,0,0.00,117130.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,65,39,JUAN PSIQ/AYSA           ,7135      ,0,1292,0.00,2800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,66,40,C BRIT 01/09-01/03/19    ,          ,0,0,0.00,2900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,67,41,AFIP RET GAN             ,          ,0,0,0.00,2145.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,68,42,MAIZ SEP                 ,          ,0,0,0.00,27223.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,74,137,GAL COM                  ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,75,138,BG COMIS                 ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,73,136,GAL COMI                 ,          ,0,0,0.00,18.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,76,139,BG COMIS                 ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,77,140,BG COMIS                 ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,78,141,BG COMIS                 ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-10,79,142,SERVICOO                 ,          ,0,0,0.00,1790.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-11,85,43,CREA SEPT/18             ,          ,0,0,0.00,15604.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-11,83,13,OSDE                     ,7122      ,0,0,0.00,13511.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201809,1020,1,1020    ,1,        ,0,2018-09-13,88,67,J CAÑON                  ,3152      ,0,1731,0.00,70000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
