CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201811,1010,1,1010    ,1,        ,0,2018-11-21,168,83,CAJA HEREFORD            ,          ,0,0,0.00,8545.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201811,1010,1,1010    ,1,        ,0,2018-11-21,167,82,CAJA HEREFORD            ,          ,0,0,8545.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201811,1010,1,1010    ,1,        ,0,2018-11-29,216,225,CAJA HEREF               ,          ,0,0,9545.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201811,1010,1,1010    ,2,        ,0,2018-11-01,20,248,BG DOL GB58.25           ,          ,0,0,0.00,2097.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
500,201811,1010,1,1010    ,3,        ,0,2018-11-26,184,101,TEL-EDESUR-AFIP          ,          ,0,0,1032.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-01,7,147,BG GB                    ,          ,0,0,0.00,1391.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-01,9,149,BG GB                    ,          ,0,0,0.00,198.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-01,11,151,BG GB                    ,          ,0,0,0.00,1715.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-01,13,153,BG GB                    ,          ,0,0,0.00,195.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-01,15,155,BG GB                    ,          ,0,0,0.00,689.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-01,16,156,BG IIBB                  ,          ,0,0,0.00,25.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-01,19,220,BG IBB                   ,          ,0,0,0.00,5.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-05,39,158,BG GB                    ,          ,0,0,0.00,18.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201811,1020,1,1020    ,1,        ,0,2018-11-05,40,159,BG MAPFRE                ,          ,0,0,0.00,309.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
