CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201812,1010,1,1010    ,1,        ,0,2018-12-20,102,84,VARIOS AGIP/EDESUR       ,          ,0,0,8981.40,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201812,1010,1,1010    ,3,        ,0,2018-12-20,103,85,AGIP RPEÑA               ,          ,0,0,0.00,1469.80,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-03,4,9,F GARCIA FC 100-101.110  ,7938      ,0,1379,0.00,17638.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-03,11,135,BG IIBB                  ,          ,0,0,0.00,31.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-05,22,136,BG MAPFRE                ,          ,0,0,0.00,378.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-05,23,137,BG MAPFRE                ,          ,0,0,0.00,396.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-05,24,138,BG MAPFRE                ,          ,0,0,0.00,2090.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-05,25,139,BG AACREA                ,          ,0,0,0.00,3752.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-05,15,2,MAS FERRET FC 1835/37/31 ,7929      ,0,1362,0.00,8761.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-05,16,3,DIEGO HNOS FC            ,7930      ,0,1384,0.00,8159.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201812,1020,1,1020    ,1,        ,0,2018-12-05,19,17,J POGGI FC 2579          ,7091      ,0,1371,0.00,9922.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
