CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201901,1010,1,1010    ,1,        ,0,2019-01-30,254,159,CAJA HEREF               ,          ,0,0,0.00,10614.50,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201901,1010,1,1010    ,1,        ,0,2019-01-31,301,123,CAJA HEREF               ,          ,0,0,9000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201901,1010,1,1010    ,1,        ,0,2019-01-31,302,124,CAJA HEREF               ,          ,0,0,8950.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201901,1010,1,1010    ,3,        ,0,2019-01-08,96,35,VA                       ,          ,0,0,0.00,2250.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201901,1010,1,1010    ,3,        ,0,2019-01-09,103,30,EDESUR                   ,          ,0,0,0.00,1319.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201901,1010,1,1010    ,3,        ,0,2019-01-10,110,29,CASA EL TUC FC 23071     ,          ,0,0,0.00,847.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,6,51,BG GB                    ,          ,0,0,0.00,1391.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,11,186,BG COMIS                 ,          ,0,0,0.00,1187.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,13,188,BG GB                    ,          ,0,0,0.00,198.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,15,190,BG GB                    ,          ,0,0,0.00,540.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,17,192,BG GB                    ,          ,0,0,0.00,689.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,19,194,BG GB                    ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,21,196,BG COMI                  ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,23,198,BG GB                    ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,25,200,BG GB                    ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,27,202,BG GB                    ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,29,204,BG GB                    ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,31,206,BG GB                    ,          ,0,0,0.00,121.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,33,208,BG GB                    ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,35,210,BG GB                    ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,37,212,BG GB                    ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-01,39,214,BG GB                    ,          ,0,0,0.00,1391.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-02,45,215,GAL RURAL VEC 02/01      ,          ,0,0,0.00,774879.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-02,47,217,BG GB                    ,          ,0,0,0.00,257.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-02,49,219,BGGB                     ,          ,0,0,0.00,1333.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-02,51,221,BG GB                    ,          ,0,0,0.00,388.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-02,54,224,BG IB                    ,          ,0,0,0.00,14.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-02,53,223,BG GB                    ,          ,0,0,0.00,896.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-02,55,226,BG GB                    ,          ,0,0,0.00,893.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-04,71,227,BG SENASA                ,          ,0,0,0.00,1851.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-04,67,15,CCI                      ,          ,0,0,79566.70,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-04,66,14,CCI VTA TRIGO            ,          ,0,0,1430479.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-05,73,101,A GROPPA                 ,7896      ,0,2422,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-06,74,38,EXP ENERO19              ,7380      ,0,1402,0.00,2727.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,79,26,UATRE DIC2018            ,7407      ,0,1432,0.00,4438.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,80,27,AFIP RET                 ,          ,0,0,0.00,8184.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,81,28,C SOC DIC2018            ,          ,0,0,0.00,146192.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,78,25,UATRE ENERO19            ,7408      ,0,1433,0.00,3520.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,84,228,DE VEGA MARISA           ,7894      ,0,0,0.00,14619.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,85,229,MAIA                     ,          ,0,0,0.00,27223.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,86,230,BG VISA BUSS             ,          ,0,0,0.00,4909.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,87,231,BG  MAPFRE               ,          ,0,0,0.00,376.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,88,232,BG  MAPFRE               ,          ,0,0,0.00,394.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,89,233,BG IB                    ,          ,0,0,0.00,25.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,91,235,BG ZURICH                ,          ,0,0,0.00,2840.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-07,90,234,BG MAPFRE                ,          ,0,0,0.00,2468.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-08,98,237,BG CREA                  ,          ,0,0,0.00,3752.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-08,97,236,AFIP A CTA GANANCIAS     ,          ,0,0,0.00,100000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-09,105,238,BG AFIP INTERESE         ,          ,0,0,0.00,2700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-09,102,24,J POGGI  A CTA FC 2639   ,7368      ,0,1392,0.00,9922.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-10,111,37,OSDE VEC 16/01           ,7373      ,0,1395,0.00,16850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-10,109,23,BOTIJA SA FC 596         ,7369      ,0,1393,0.00,5420.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-10,108,21,BRISSON EXP DIC R PEÑA   ,7382      ,0,1404,0.00,11065.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-10,107,1,S RAMIREZ A CTA SDO DIC18,7868      ,0,1749,0.00,12400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-10,114,100,A GROPPA                 ,7899      ,0,2425,0.00,60000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-10,115,239,BG GONZALEZ              ,          ,0,0,689010.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-10,117,262,BG COMI                  ,          ,0,0,0.00,12608.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-11,118,135,ANT GAN 2-19             ,          ,0,0,0.00,164441.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-11,119,158,AFIP TET GAN DIC19       ,          ,0,0,0.00,21363.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-14,122,44,ARBA PATENTE CUOTA 1     ,7374      ,0,1396,0.00,15978.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-14,123,45,AGIP ANUAL R PEÑA        ,7412      ,0,1435,0.00,17723.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-14,124,46,EXP MELO DIC2018         ,7384      ,0,1406,0.00,5040.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-14,130,241,HG                       ,          ,0,0,0.00,65000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-14,131,242,BG SENASA                ,          ,0,0,0.00,2289.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201901,1020,1,1020    ,1,        ,0,2019-01-15,132,33,AS FC NOV18              ,7947      ,0,1413,0.00,23641.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
