CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201902,1020,1,1020    ,1,        ,0,2019-02-01,1,21,P GENTA A CTA FC 7998    ,7954      ,0,1439,0.00,655633.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-01,10,224,BG IBB                   ,          ,0,0,0.00,38.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-01,11,225,BG IMP SELLO             ,          ,0,0,0.00,71.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-01,12,226,BG IB                    ,          ,0,0,0.00,50.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,28,227,BG IBB                   ,          ,0,0,0.00,7.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,29,239,BG MAPFRE                ,          ,0,0,0.00,376.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,30,240,BG BG MAPFRE             ,          ,0,0,0.00,394.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,31,241,BG MAPFRE                ,          ,0,0,0.00,2468.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,32,242,BG AACREA                ,          ,0,0,0.00,3762.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,21,3,A GROPPA                 ,7898      ,0,2424,0.00,70000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,22,5,F GARCIA FC 114          ,7904      ,0,2438,0.00,1819.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,23,6,DE VEGA FC 15-16         ,7906      ,0,2440,0.00,29169.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-05,24,7,J POGGI FC FEB           ,7956      ,0,1442,0.00,14762.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,33,4,J MACHINANDIARENA FC631  ,7903      ,0,2437,0.00,1270.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,40,57,JAIME ENERO19            ,7376      ,0,1398,0.00,40000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,41,63,CRESPO                   ,          ,0,0,914210.70,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,46,136,INMP INMOB RURAL CUOTA 1-,7439      ,0,1491,0.00,65480.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,47,137,IMP INM RURAL CUOTA1     ,7440      ,0,1492,0.00,138510.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,49,248,SENASA                   ,          ,0,0,0.00,2256.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,50,249,BG ZURICH                ,          ,0,0,0.00,2840.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,51,250,BG ZURICH                ,          ,0,0,0.00,6158.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-06,48,228,BG IBB                   ,          ,0,0,0.00,3.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-10,56,1,S RAMIREZ A CTA SDO ENER ,7869      ,0,1750,0.00,12400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-10,57,2,J REYNOSO A CTA FC 205   ,7901      ,0,2427,0.00,23550.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-11,73,49,BOTIJAS ND 171/150       ,7415      ,0,1440,0.00,3947.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-11,72,48,AFIP C SOC ENERO19       ,          ,0,0,0.00,112892.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-11,74,51,BOTIJA SA FEB 19         ,7431      ,0,1472,0.00,6050.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-11,70,39,IMP CAMINOS CUOTA 1 DE 19,          ,0,0,0.00,65875.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-11,71,47,OLEAG OLAVAR FC 2243     ,7959      ,0,1453,0.00,190927.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-11,84,229,BPC                      ,          ,0,0,0.00,80000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201902,1020,1,1020    ,1,        ,0,2019-02-11,85,230,BG VISA                  ,          ,0,0,0.00,5409.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
