CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201903,1010,1,1010    ,1,        ,0,2019-03-11,115,26,S RAMIREZ CAJA           ,          ,0,0,9000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201903,1010,1,1010    ,1,        ,0,2019-03-11,116,27,S RAMIREZ CAJA           ,          ,0,0,4345.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201903,1010,1,1010    ,1,        ,0,2019-03-11,125,58,CAJA                     ,          ,0,0,0.00,20464.90,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201903,1010,1,1010    ,3,        ,0,2019-03-20,185,13,A SINEGUB                ,          ,0,0,0.00,0.01,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201903,1020,1,1020    ,1,        ,0,2019-03-01,1,12,P GENTA CUOTA 2-3        ,7979      ,0,1488,0.00,662337.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201903,1020,1,1020    ,1,        ,0,2019-03-01,2,15,UATRE FEB 2019           ,7706      ,0,1474,0.00,3023.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201903,1020,1,1020    ,1,        ,0,2019-03-01,3,16,LIMP OF FEBRERO          ,7712      ,0,1494,0.00,1400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201903,1020,1,1020    ,1,        ,0,2019-03-01,7,69,BG COMIS                 ,          ,0,0,0.00,1808.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201903,1020,1,1020    ,1,        ,0,2019-03-01,9,71,BG COMIS                 ,          ,0,0,0.00,257.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201903,1020,1,1020    ,1,        ,0,2019-03-01,11,73,BG COMIS                 ,          ,0,0,0.00,1564.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
