CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201904,1010,1,1010    ,1,        ,0,2019-04-16,143,195,CAJA                     ,          ,0,0,10000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201904,1010,1,1010    ,2,        ,0,2019-04-01,22,242,BG DOL 40.01             ,          ,0,0,0.00,1753.64,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
500,201904,1010,1,1010    ,3,        ,0,2019-04-30,237,216,TEL DE ARG               ,          ,0,0,0.00,5202.48,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201904,1010,1,1010    ,3,        ,0,2019-04-30,238,217,EDESUR                   ,          ,0,0,0.00,1695.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-01,15,162,BG EXTRACTO              ,          ,0,0,0.00,257.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-01,17,175,BG COMISION              ,          ,0,0,0.00,2035.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-01,18,176,BG IIBB                  ,          ,0,0,0.00,21.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-01,13,160,BG COMISION              ,          ,0,0,0.00,1808.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-01,1,7,P GENTA SALDO FC 7998    ,7994      ,0,1825,0.00,662535.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-01,2,10,D LANGE FC 23852         ,7741      ,0,1839,0.00,3809.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-01,19,219,BG IIBB                  ,          ,0,0,0.00,14.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-01,21,221,BG GB                    ,          ,0,0,0.00,555.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-03,24,8,MUN TEJ PERMISO MAR      ,96        ,0,1769,0.00,9956.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-03,28,24,R GUERRERO A CTA FC      ,98        ,0,1772,0.00,61493.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-03,34,178,MAIA ABRIL               ,          ,0,0,0.00,27233.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-03,36,184,BG COM                   ,          ,0,0,0.00,21.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-03,38,186,BG COM                   ,          ,0,0,0.00,21.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-03,31,163,BPC                      ,          ,0,0,0.00,190000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-03,33,165,CAMINOS CUOTA2/2019      ,          ,0,0,0.00,65875.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-03,32,164,BPCC                     ,          ,0,0,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-04,44,187,BG SENASA                ,          ,0,0,0.00,2605.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-05,50,188,BG MAFRE                 ,          ,0,0,0.00,376.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-05,51,189,BG MAPFRE                ,          ,0,0,0.00,394.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-05,52,190,BG MAPFRE                ,          ,0,0,0.00,2468.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-05,49,177,BG ZURICH                ,          ,0,0,0.00,2840.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-05,47,129,CRESPO                   ,          ,0,0,1038079.51,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-05,45,22,M DE VEGA FC 20          ,121       ,0,1844,0.00,10379.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-05,53,222,AACREA                   ,          ,0,0,0.00,3753.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-05,54,223,BG ZURICH                ,          ,0,0,0.00,6158.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-08,58,26,P GENTA FC 9121-2-3-4-5  ,122       ,0,1845,0.00,325299.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-08,59,27,AFIP CS MARZO19          ,TRANS     ,0,0,0.00,102217.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-08,60,28,AFIP ANT GAN 5           ,TRANSF    ,0,0,0.00,164441.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-08,61,29,AFIP RET GAN MARZO19     ,TRANSF    ,0,0,0.00,31995.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-08,63,140,PAEZ CARLOS FC 41        ,148       ,0,1883,0.00,2600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-08,65,191,BPC                      ,          ,0,0,0.00,200000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-09,66,47,SERVICOOP SA FC 31015    ,          ,0,0,0.00,3100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-09,67,61,COFCO FC 985/986         ,TRANSF    ,0,0,0.00,88467.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-10,72,50,MEDIA LUNA ABRIL19       ,          ,0,0,0.00,1110.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-10,70,46,CREA ABRIL 19            ,          ,0,0,0.00,14955.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-10,73,54,BOTIJA FC 631/ND191      ,7745      ,0,1846,0.00,7965.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-10,74,56,J POGGI FC 2780 MARZO19  ,7748      ,0,1849,0.00,14762.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-10,68,1,S RAMIREZ A CTA SDO MARZO,7871      ,0,2453,0.00,12400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-10,69,12,M DE VEGA  FC  27-28     ,8010      ,0,1842,0.00,13189.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-11,91,2,GUERRERO COMEDEROS       ,7908      ,0,1760,0.00,58565.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-11,92,17,AS FC FEB 2019           ,8002      ,0,1833,0.00,8437.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-11,93,58,VIATICOS HACHEROS        ,          ,0,0,0.00,6600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-12,105,44,M BRISSON EXPMARZO2019   ,7749      ,0,1851,0.00,10798.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-12,106,45,V OF                     ,7747      ,0,1848,0.00,550.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-12,102,41,EXP MARZO 19             ,7746      ,0,1847,0.00,1550.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-12,103,42,MUN DE PILAR             ,7752      ,0,1854,0.00,586.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-12,104,43,J DE PAZ                 ,7751      ,0,1853,0.00,6000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-15,116,51,BLD LQ SOJA              ,          ,0,0,550000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-15,115,18,GONZAL FC 432            ,8006      ,0,1835,0.00,3775.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-15,111,11,DIEGO HNOS FC ENER-FEB   ,8006      ,0,1836,0.00,6325.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201904,1020,1,1020    ,1,        ,0,2019-04-15,112,13,L DEL RIO FC FEB 2019    ,8008      ,0,1838,0.00,5394.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
