CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201905,1010,1,1010    ,1,        ,0,2019-05-08,54,208,T MUSSINI FC 1111        ,          ,0,0,0.00,2662.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201905,1010,1,1010    ,1,        ,0,2019-05-20,117,54,CAJ HER                  ,          ,0,0,0.00,7700.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201905,1010,1,1010    ,2,        ,0,2019-05-20,120,60,2000DOL 46.90            ,          ,0,0,93800.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
500,201905,1010,1,1010    ,2,        ,0,2019-05-20,122,63,CAZENAVE FC 347/360      ,          ,0,0,0.00,73426.22,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
500,201905,1010,1,1010    ,3,        ,0,2019-05-20,119,57,EL TUCUMANO FC 31976     ,          ,0,0,0.00,0.01,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
500,201905,1020,1,1020    ,1,        ,0,2019-05-02,11,30,BG GB                    ,          ,0,0,0.00,257.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201905,1020,1,1020    ,1,        ,0,2019-05-02,13,32,BG GB                    ,          ,0,0,0.00,1808.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201905,1020,1,1020    ,1,        ,0,2019-05-02,15,34,BG GB                    ,          ,0,0,0.00,1657.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201905,1020,1,1020    ,1,        ,0,2019-05-02,17,36,BG GB                    ,          ,0,0,0.00,649.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201905,1020,1,1020    ,1,        ,0,2019-05-02,18,37,BG IIBB                  ,          ,0,0,0.00,34.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201905,1020,1,1020    ,1,        ,0,2019-05-02,19,46,BOTIJA SA MAYO           ,7753      ,0,0,0.00,6050.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201905,1020,1,1020    ,1,        ,0,2019-05-03,29,40,INF GAN AÑO2019          ,7765      ,0,1878,0.00,3600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201905,1020,1,1020    ,1,        ,0,2019-05-03,28,39,C R S PEÑA EXPENSAS ABRIL,7754      ,0,1862,0.00,1600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
