CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
500,201906,1010,1,1010    ,1,        ,0,2019-06-25,213,107,S RAMIREZ CAJA           ,          ,0,0,12892.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201906,1010,1,1010    ,1,        ,0,2019-06-30,285,277,CAJA HEREF               ,          ,0,0,0.00,21727.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
500,201906,1010,1,1010    ,2,        ,0,2019-06-03,49,289,BG DOL 50.29             ,          ,0,0,0.00,2316.36,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
500,201906,1020,1,1020    ,1,        ,0,2019-06-03,31,4,PARAGO FC 1 SALDO        ,159       ,0,1897,0.00,1352506.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201906,1020,1,1020    ,1,        ,0,2019-06-03,37,180,SALDO J CAÑON            ,TRANS     ,0,0,0.00,374000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201906,1020,1,1020    ,1,        ,0,2019-06-03,39,182,BG                       ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201906,1020,1,1020    ,1,        ,0,2019-06-03,41,184,BG                       ,          ,0,0,0.00,1808.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201906,1020,1,1020    ,1,        ,0,2019-06-03,44,187,BG GB                    ,          ,0,0,0.00,297.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201906,1020,1,1020    ,1,        ,0,2019-06-03,45,188,BG GB                    ,          ,0,0,0.00,257.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201906,1020,1,1020    ,1,        ,0,2019-06-03,47,190,BG GB                    ,          ,0,0,0.00,1589.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
500,201906,1020,1,1020    ,1,        ,0,2019-06-03,48,191,BG IBB                   ,          ,0,0,0.00,28.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
