CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
600,201908,1080,1,IVA     ,5,        ,0,2019-08-01,9,9,EL VERGEL FC 1936        ,          ,0,0,1410.82,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201908,2050,1,2050    ,2382,        ,0,2019-08-01,9,9,EL VERGEL FC 1936        ,          ,1,1936,0.00,8129.00,0                             ,0                             ,PROVEEDORES                   ,VIVERO EL VERGEL              ,                              
600,201908,8090,1,8090    ,2,        ,0,2019-08-01,9,9,EL VERGEL FC 1936        ,          ,0,0,6718.18,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,PLANTAS PARQUE                ,                              
600,201908,1080,1,IVA     ,5,        ,0,2019-08-01,25,25,BOTIJA FC 681            ,          ,0,0,1176.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201908,2050,1,2050    ,2655,        ,0,2019-08-01,25,25,BOTIJA FC 681            ,          ,2,681,0.00,6776.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
600,201908,9010,1,9010    ,15,        ,0,2019-08-01,25,25,BOTIJA FC 681            ,          ,0,0,5600.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
600,201908,2050,1,2050    ,2666,        ,0,2019-08-01,37,37,J CAÑON FC 57            ,          ,2,57,0.00,435922.50,0                             ,0                             ,PROVEEDORES                   ,CAÑON JOAQUIN                 ,                              
600,201908,1080,1,IVA     ,2,        ,0,2019-08-01,37,37,J CAÑON FC 57            ,          ,0,0,41422.50,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
600,201908,5208,1,        ,0,        ,0,2019-08-01,37,37,J CAÑON FC 57            ,          ,0,0,394500.00,0.00,0                             ,0                             ,RECOLECCION MAIZ              ,                              ,                              
600,201908,1080,1,IVA     ,5,        ,0,2019-08-01,40,40,O RODRIG FC 4103         ,          ,0,0,362.20,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201908,2050,1,2050    ,1065,        ,0,2019-08-01,40,40,O RODRIG FC 4103         ,          ,3,4103,0.00,2086.97,0                             ,0                             ,PROVEEDORES                   ,O.E.RODRIGUEZ                 ,                              
600,201908,7020,1,7020    ,3,        ,0,2019-08-01,40,40,O RODRIG FC 4103         ,          ,0,0,1724.77,0.00,0                             ,0                             ,IMPLEMENTOS                   ,REPUESTOS Y REPARACIONES      ,                              
600,201908,2050,1,2050    ,1144,        ,0,2019-08-01,50,50,GL RURAL VEC 01/08       ,          ,0,22311,0.00,29895.99,0                             ,0                             ,PROVEEDORES                   ,GALICIA RURAL                 ,                              
600,201908,1080,1,IVA     ,2,        ,0,2019-08-01,50,50,GL RURAL VEC 01/08       ,          ,0,0,2758.08,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
600,201908,1120,1,        ,0,        ,0,2019-08-01,50,50,GL RURAL VEC 01/08       ,          ,0,0,394.01,0.00,0                             ,0                             ,IVA PERCEPCION                ,                              ,                              
600,201908,9020,1,9020    ,2,        ,0,2019-08-01,50,50,GL RURAL VEC 01/08 SELLO ,          ,0,0,477.49,0.00,0                             ,0                             ,IMPUESTOS                     ,IMPUESTOS VARIOS              ,                              
600,201908,9120,1,        ,0,        ,0,2019-08-01,50,50,GL RURAL VEC 01/08       ,          ,0,0,26266.41,0.00,0                             ,0                             ,INTERESES PAGADOS             ,                              ,                              
600,201908,2050,1,2050    ,2673,        ,0,2019-08-01,63,63,OSDE FC 2 VEC            ,          ,0,28825,22260.64,0.00,0                             ,0                             ,PROVEEDORES                   ,OSDE                          ,                              
600,201908,1080,1,IVA     ,2,        ,0,2019-08-01,63,63,OSDE FC 2 VEC            ,          ,0,0,0.00,2096.29,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
600,201908,1120,1,        ,0,        ,0,2019-08-01,63,63,OSDE FC 2 VEC            ,          ,0,0,0.00,199.65,0                             ,0                             ,IVA PERCEPCION                ,                              ,                              
600,201908,9005,1,9005    ,3,        ,0,2019-08-01,63,63,OSDE FC 2 VEC            ,          ,0,0,0.00,19964.70,0                             ,0                             ,PERSONAL ADMINISTRACION BS AS ,SEGURO                        ,                              
600,201908,1080,1,IVA     ,5,        ,0,2019-08-01,87,88,SV LOG FC 186            ,          ,0,0,4922.93,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201908,2050,1,2050    ,2797,        ,0,2019-08-01,87,88,SV LOG FC 186            ,          ,3,186,0.00,28365.45,0                             ,0                             ,PROVEEDORES                   ,SV LOGIST Y TRANSP DE GRAL VIL,                              
600,201908,6501,1,        ,0,        ,0,2019-08-01,87,88,SV LOG FC 186 FLETE      ,          ,0,0,23442.52,0.00,0                             ,0                             ,RACIONES GANADERIA            ,                              ,                              
600,201908,1080,1,IVA     ,5,        ,0,2019-08-01,88,89,P PRIETO FC 1698         ,          ,0,0,12227.04,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201908,2050,1,2050    ,2584,        ,0,2019-08-01,88,89,P PRIETO FC 1698         ,          ,2,1698,0.00,70451.04,0                             ,0                             ,PROVEEDORES                   ,PABLO ANTONIO PRIETO          ,                              
600,201908,6901,1,6901    ,1,        ,0,2019-08-01,88,89,P PRIETO FC 1698         ,          ,0,0,58224.00,0.00,0                             ,0                             ,SANIDAD GANADERIA             ,PRODUCTOS VETERINARIOS        ,                              
