CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
600,201910,1080,1,IVA     ,5,        ,0,2019-10-01,7,7,L ZABALA FC 18256        ,          ,0,0,946.89,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201910,2050,1,2050    ,2097,        ,0,2019-10-01,7,7,L ZABALA FC 18256        ,          ,3,18256,0.00,5455.90,0                             ,0                             ,PROVEEDORES                   ,LUIS JOSE ZABALA              ,                              
600,201910,7020,1,7020    ,3,        ,0,2019-10-01,7,7,L ZABALA FC 18256        ,          ,0,0,4509.01,0.00,0                             ,0                             ,IMPLEMENTOS                   ,REPUESTOS Y REPARACIONES      ,                              
600,201910,2050,1,2050    ,2673,        ,0,2019-10-01,8,9,OSDE FC 41564            ,          ,76,41564,0.00,24818.59,0                             ,0                             ,PROVEEDORES                   ,OSDE                          ,                              
600,201910,1080,1,IVA     ,2,        ,0,2019-10-01,8,9,OSDE FC 41564            ,          ,0,0,2337.18,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
600,201910,9020,1,9020    ,1,        ,0,2019-10-01,8,9,OSDE FC 41564 PERC       ,          ,0,0,222.59,0.00,0                             ,0                             ,IMPUESTOS                     ,INGRESOS BRUTOS               ,                              
600,201910,9005,1,9005    ,3,        ,0,2019-10-01,8,9,OSDE FC 41564            ,          ,0,0,22258.82,0.00,0                             ,0                             ,PERSONAL ADMINISTRACION BS AS ,SEGURO                        ,                              
600,201910,1160,1,1160    ,42,        ,0,2019-10-01,14,16,MELO EXP                 ,          ,0,0,9800.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
600,201910,1020,1,1020    ,1,        ,0,2019-10-01,14,16,MELO EXP                 ,8245      ,0,2113,0.00,9800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201910,1160,1,1160    ,17,        ,0,2019-10-01,15,17,J DE PAZ                 ,          ,0,0,7810.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,ELAINE OTROS                  ,                              
600,201910,1020,1,1020    ,1,        ,0,2019-10-01,15,17,J DE PAZ                 ,8246      ,0,2114,0.00,7810.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201910,1020,1,1020    ,1,        ,0,2019-10-01,16,18,CAJA                     ,8247      ,0,2115,0.00,35000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201910,1010,1,1010    ,1,        ,0,2019-10-01,16,18,CAJA                     ,          ,0,0,19473.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
600,201910,1160,1,1160    ,8,        ,0,2019-10-01,16,18,POR DI                   ,          ,0,0,15527.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,RETIRO SOCIOS VARIOS          ,                              
600,201910,1160,1,1160    ,17,        ,0,2019-10-01,19,21,HG SEP19                 ,          ,0,0,79500.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,ELAINE OTROS                  ,                              
600,201910,1020,1,1020    ,1,        ,0,2019-10-01,19,21,HG SEP19                 ,8249      ,0,2117,0.00,79500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201910,2020,1,        ,0,        ,0,2019-10-01,20,22,SDO SEP EBP              ,          ,0,0,44064.00,0.00,0                             ,0                             ,SUELDOS Y JORNALES A PAGAR    ,                              ,                              
600,201910,1020,1,1020    ,1,        ,0,2019-10-01,20,22,SDO SEP EBP              ,8254      ,0,2121,0.00,44064.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201910,2050,1,2050    ,2655,        ,0,2019-10-01,21,23,BOTIJA ALQ OCT           ,          ,0,0,6776.00,0.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
