CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
600,201912,1080,1,IVA     ,5,        ,0,2019-12-01,7,7,SERVICOOPSA FC 36137     ,          ,0,0,607.44,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201912,2050,1,2050    ,2469,        ,0,2019-12-01,7,7,SERVICOOPSA FC 36137     ,          ,4,36137,0.00,3500.00,0                             ,0                             ,PROVEEDORES                   ,SERVI COOP SA                 ,                              
600,201912,8520,1,8520    ,13,        ,0,2019-12-01,7,7,SERVICOOPSA FC 36137     ,          ,0,0,2892.56,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,INTERNET                      ,                              
600,201912,1080,1,IVA     ,5,        ,0,2019-12-01,167,167,SERICOOP FC 36137        ,          ,0,0,607.44,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201912,2050,1,2050    ,2469,        ,0,2019-12-01,167,167,SERICOOP FC 36137        ,          ,4,36137,0.00,3500.00,0                             ,0                             ,PROVEEDORES                   ,SERVI COOP SA                 ,                              
600,201912,8520,1,8520    ,13,        ,0,2019-12-01,167,167,SERICOOP FC 36137        ,          ,0,0,2892.56,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,INTERNET                      ,                              
600,201912,2050,1,2050    ,1007,        ,0,2019-12-01,190,190,CECT FC 23477            ,          ,6,23477,0.00,12971.55,0                             ,0                             ,PROVEEDORES                   ,COOP ELECTRICA DE C. TEJE     ,                              
600,201912,1080,1,IVA     ,4,        ,0,2019-12-01,190,190,CECT FC 23477            ,          ,0,0,2491.43,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
600,201912,8090,1,8090    ,3,        ,0,2019-12-01,190,190,CECT FC 23477            ,          ,0,0,10480.12,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,ENERGIA ELECTRICA             ,                              
600,201912,2050,1,2050    ,1007,        ,0,2019-12-01,191,191,CECT FC 23475            ,          ,6,23475,0.00,3699.75,0                             ,0                             ,PROVEEDORES                   ,COOP ELECTRICA DE C. TEJE     ,                              
600,201912,1080,1,IVA     ,4,        ,0,2019-12-01,191,191,CECT FC 23475            ,          ,0,0,721.88,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
600,201912,8090,1,8090    ,3,        ,0,2019-12-01,191,191,CECT FC 23475            ,          ,0,0,2977.87,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,ENERGIA ELECTRICA             ,                              
600,201912,2050,1,2050    ,1007,        ,0,2019-12-01,192,192,CECT FC 23476            ,          ,6,23476,0.00,3287.50,0                             ,0                             ,PROVEEDORES                   ,COOP ELECTRICA DE C. TEJE     ,                              
600,201912,1080,1,IVA     ,4,        ,0,2019-12-01,192,192,CECT FC 23476            ,          ,0,0,641.73,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
600,201912,8090,1,8090    ,3,        ,0,2019-12-01,192,192,CECT FC 23476            ,          ,0,0,2645.77,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,ENERGIA ELECTRICA             ,                              
600,201912,1080,1,IVA     ,5,        ,0,2019-12-02,3,3,MERC DE OF FC  4928      ,          ,0,0,317.19,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201912,2050,1,2050    ,2555,        ,0,2019-12-02,3,3,MERC DE OF FC  4928      ,          ,43,4928,0.00,1880.46,0                             ,0                             ,PROVEEDORES                   ,MERCADO DE OFICINA SA         ,                              
600,201912,9010,1,9010    ,13,        ,0,2019-12-02,3,3,MERC DE OF FC  4928      ,          ,0,0,1563.27,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,LIBRERIA Y PAPELERIA          ,                              
600,201912,2050,1,2050    ,1008,        ,0,2019-12-02,9,9,TEL DE ARG               ,          ,0,0,6829.00,0.00,0                             ,0                             ,PROVEEDORES                   ,TELEFONICA DE ARGENTINA S     ,                              
600,201912,1020,1,1020    ,1,        ,0,2019-12-02,9,9,TEL DE ARG               ,1465      ,0,2214,0.00,6829.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201912,1080,1,IVA     ,5,        ,0,2019-12-02,114,114,CARREF FC 2495           ,          ,0,0,1026.79,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201912,2050,1,2050    ,2242,        ,0,2019-12-02,114,114,CARREF FC 2495           ,          ,5849,2495,0.00,7692.62,0                             ,0                             ,PROVEEDORES                   ,CARREFOUR ARGENTINA SA        ,                              
600,201912,8080,1,8080    ,5,        ,0,2019-12-02,114,114,CARREF FC 2495           ,          ,0,0,6665.83,0.00,0                             ,0                             ,OTROS GASTOS CASCO            ,OTROS ALIMENTACION            ,                              
600,201912,2050,1,2050    ,2242,        ,0,2019-12-02,115,115,CARREF FC 2495           ,          ,0,0,7692.62,0.00,0                             ,0                             ,PROVEEDORES                   ,CARREFOUR ARGENTINA SA        ,                              
600,201912,1160,1,1160    ,20,        ,0,2019-12-02,115,115,CARREF FC 2495           ,          ,0,0,0.00,7692.62,0                             ,0                             ,OTROS CREDITOS                ,RETIROS HORACIO GAVIÑA        ,                              
600,201912,1080,1,IVA     ,5,        ,0,2019-12-02,178,178,JUCARFE FC 898           ,          ,0,0,5231.79,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,201912,2050,1,2050    ,2556,        ,0,2019-12-02,178,178,JUCARFE FC 898           ,          ,2,898,0.00,30145.09,0                             ,0                             ,PROVEEDORES                   ,JUCARFE SA                    ,                              
600,201912,6501,1,        ,0,        ,0,2019-12-02,178,178,JUCARFE FC 898 FLETE     ,          ,0,0,24913.30,0.00,0                             ,0                             ,RACIONES GANADERIA            ,                              ,                              
600,201912,2050,1,2050    ,2550,        ,0,2019-12-02,211,212,BERTHE FC 81             ,          ,0,0,2381.95,0.00,0                             ,0                             ,PROVEEDORES                   ,BERTHE CARLOS                 ,                              
600,201912,1020,1,1020    ,1,        ,0,2019-12-02,211,212,BERTHE FC 81             ,1454      ,0,2213,0.00,2381.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201912,2010,1,2010    ,6,        ,0,2019-12-02,222,223,BPC PROC                 ,          ,0,0,100811.52,0.00,0                             ,0                             ,OBLIGACIONES A PAGAR          ,PROCAMPO                      ,                              
600,201912,1020,1,1020    ,8,        ,0,2019-12-02,222,223,BPC PROC                 ,          ,0,0,0.00,100811.52,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
600,201912,2050,1,2050    ,1039,        ,0,2019-12-02,235,237,BG GB                    ,          ,0,0,2178.00,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,201912,1020,1,1020    ,1,        ,0,2019-12-02,235,237,BG GB                    ,          ,0,0,0.00,2178.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201912,2050,1,2050    ,1039,        ,0,2019-12-02,236,238,BG GB                    ,          ,0,0,308.55,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,201912,1020,1,1020    ,1,        ,0,2019-12-02,236,238,BG GB                    ,          ,0,0,0.00,308.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201912,2050,1,2050    ,1039,        ,0,2019-12-02,244,246,BG GB                    ,          ,0,0,2451.46,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,201912,1020,1,1020    ,1,        ,0,2019-12-02,244,246,BG GB                    ,          ,0,0,0.00,2451.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201912,2050,1,2050    ,1039,        ,0,2019-12-02,245,247,BG GB                    ,          ,0,0,826.72,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,201912,1020,1,1020    ,1,        ,0,2019-12-02,245,247,BG GB                    ,          ,0,0,0.00,826.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,201912,9020,1,9020    ,1,        ,0,2019-12-02,246,248,BG IBCABA                ,          ,0,0,44.59,0.00,0                             ,0                             ,IMPUESTOS                     ,INGRESOS BRUTOS               ,                              
600,201912,1020,1,1020    ,1,        ,0,2019-12-02,246,248,BG IBCABA                ,          ,0,0,0.00,44.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
