CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
600,202002,1080,1,IVA     ,5,        ,0,2020-02-01,42,43,L ZABALA FC 18915        ,          ,0,0,2182.85,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202002,2050,1,2050    ,2097,        ,0,2020-02-01,42,43,L ZABALA FC 18915        ,          ,3,18915,0.00,12577.39,0                             ,0                             ,PROVEEDORES                   ,LUIS JOSE ZABALA              ,                              
600,202002,8050,1,8050    ,5,        ,0,2020-02-01,42,43,L ZABALA FC 18915        ,          ,0,0,10394.54,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,ALAMBRADOS Y TRANQUERAS       ,                              
600,202002,1080,1,IVA     ,5,        ,0,2020-02-01,43,44,L ZABALA FC 18914        ,          ,0,0,5250.50,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202002,2050,1,2050    ,2097,        ,0,2020-02-01,43,44,L ZABALA FC 18914        ,          ,3,18914,0.00,30252.88,0                             ,0                             ,PROVEEDORES                   ,LUIS JOSE ZABALA              ,                              
600,202002,8050,1,8050    ,5,        ,0,2020-02-01,43,44,L ZABALA FC 18914        ,          ,0,0,25002.38,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,ALAMBRADOS Y TRANQUERAS       ,                              
600,202002,2050,1,2050    ,2097,        ,0,2020-02-01,44,45,L ZABALA FC 18916        ,          ,3,18916,0.00,11796.01,0                             ,0                             ,PROVEEDORES                   ,LUIS JOSE ZABALA              ,                              
600,202002,1080,1,IVA     ,5,        ,0,2020-02-01,44,45,L ZABALA FC 18916        ,          ,0,0,1888.97,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202002,2050,1,2050    ,2097,        ,0,2020-02-01,44,45,L ZABALA FC 18916        ,          ,0,0,911.96,0.00,0                             ,0                             ,PROVEEDORES                   ,LUIS JOSE ZABALA              ,                              
600,202002,8050,1,8050    ,5,        ,0,2020-02-01,44,45,L ZABALA FC 18916        ,          ,0,0,8995.08,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,ALAMBRADOS Y TRANQUERAS       ,                              
