CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
600,202003,1020,1,1020    ,1,        ,0,2020-03-01,3,4,HEREÑU FC 3              ,7814      ,0,7,0.00,248250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,202003,5212,1,        ,0,        ,0,2020-03-01,3,4,HEREÑU FC 3              ,          ,0,0,100500.00,0.00,0                             ,0                             ,APLICACION INSECTICIDA MAIZ   ,                              ,                              
600,202003,5312,1,        ,0,        ,0,2020-03-01,3,4,HEREÑU FC 3              ,          ,0,0,147750.00,0.00,0                             ,0                             ,APLICACION INSECTICIDA SOJA   ,                              ,                              
600,202003,1080,1,IVA     ,5,        ,0,2020-03-01,11,12,BOTIJA SA FC 763         ,          ,0,0,1323.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202003,2050,1,2050    ,2655,        ,0,2020-03-01,11,12,BOTIJA SA FC 763         ,          ,2,763,0.00,7623.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
600,202003,9010,1,9010    ,15,        ,0,2020-03-01,11,12,BOTIJA SA FC 763         ,          ,0,0,6300.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
600,202003,1080,1,IVA     ,5,        ,0,2020-03-01,47,49,SERVICOOP FC 37978       ,          ,0,0,607.44,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202003,2050,1,2050    ,2469,        ,0,2020-03-01,47,49,SERVICOOP FC 37978       ,          ,4,37978,0.00,3500.00,0                             ,0                             ,PROVEEDORES                   ,SERVI COOP SA                 ,                              
600,202003,8520,1,8520    ,13,        ,0,2020-03-01,47,49,SERVICOOP FC 37978       ,          ,0,0,2892.56,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,INTERNET                      ,                              
600,202003,1050,1,1050    ,124,        ,0,2020-03-01,65,67,COFCO ND 45096           ,          ,7003,4596,0.00,4490.10,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,COFCO NIDERA                  ,                              
