CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
600,202004,1080,1,IVA     ,5,        ,0,2020-04-01,19,20,BG GB FEB                ,          ,0,0,378.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202004,2050,1,2050    ,1039,        ,0,2020-04-01,19,20,BG GB FEB                ,          ,0,1,0.00,2178.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,202004,9110,1,        ,0,        ,0,2020-04-01,19,20,BG GB FEB                ,          ,0,0,1800.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
600,202004,1080,1,IVA     ,5,        ,0,2020-04-01,20,21,BG GB FEB                ,          ,0,0,53.55,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202004,2050,1,2050    ,1039,        ,0,2020-04-01,20,21,BG GB FEB                ,          ,0,1,0.00,308.55,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,202004,9110,1,        ,0,        ,0,2020-04-01,20,21,BG GB FEB                ,          ,0,0,255.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
600,202004,1080,1,IVA     ,5,        ,0,2020-04-01,21,22,BG GB FEB                ,          ,0,0,444.15,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202004,2050,1,2050    ,1039,        ,0,2020-04-01,21,22,BG GB FEB                ,          ,0,1,0.00,2622.60,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,202004,1120,1,        ,0,        ,0,2020-04-01,21,22,BG GB FEB                ,          ,0,0,63.45,0.00,0                             ,0                             ,IVA PERCEPCION                ,                              ,                              
600,202004,9110,1,        ,0,        ,0,2020-04-01,21,22,BG GB FEB                ,          ,0,0,2115.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
