CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,30,30,J POGGI FC 3375          ,          ,0,0,3885.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,2050,1,2050    ,1031,        ,0,2020-05-01,30,30,J POGGI FC 3375          ,          ,3,3375,0.00,22385.00,0                             ,0                             ,PROVEEDORES                   ,JORGE A POGGI                 ,                              
600,202005,9010,1,9010    ,9,        ,0,2020-05-01,30,30,J POGGI FC 3375          ,          ,0,0,18500.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ASESORAMIENTO CONTABLE        ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,34,34,O RODRIG FC 5005         ,          ,0,0,586.09,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,2050,1,2050    ,1065,        ,0,2020-05-01,34,34,O RODRIG FC 5005         ,          ,3,5005,0.00,3377.01,0                             ,0                             ,PROVEEDORES                   ,O.E.RODRIGUEZ                 ,                              
600,202005,7020,1,7020    ,3,        ,0,2020-05-01,34,34,O RODRIG FC 5005         ,          ,0,0,2790.92,0.00,0                             ,0                             ,IMPLEMENTOS                   ,REPUESTOS Y REPARACIONES      ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,35,35,O RODRIG FC 3467         ,          ,0,0,238.32,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,2050,1,2050    ,1065,        ,0,2020-05-01,35,35,O RODRIG FC 3467         ,          ,3,3467,0.00,1373.20,0                             ,0                             ,PROVEEDORES                   ,O.E.RODRIGUEZ                 ,                              
600,202005,7020,1,7020    ,3,        ,0,2020-05-01,35,35,O RODRIG FC 3467         ,          ,0,0,1134.88,0.00,0                             ,0                             ,IMPLEMENTOS                   ,REPUESTOS Y REPARACIONES      ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,36,36,O RODRIG FC 3206         ,          ,0,0,476.83,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,7020,1,7020    ,3,        ,0,2020-05-01,36,36,O RODRIG FC 3206         ,          ,0,0,2270.60,0.00,0                             ,0                             ,IMPLEMENTOS                   ,REPUESTOS Y REPARACIONES      ,                              
600,202005,2050,1,2050    ,1065,        ,0,2020-05-01,36,36,O RODRIG FC 3206         ,          ,3,3206,0.00,2747.43,0                             ,0                             ,PROVEEDORES                   ,O.E.RODRIGUEZ                 ,                              
600,202005,1100,1,        ,0,        ,0,2020-05-01,50,50,COFCO RET IVA            ,          ,0,0,5870.21,0.00,0                             ,0                             ,IVA RETENCIONES               ,                              ,                              
600,202005,1050,1,1050    ,124,        ,0,2020-05-01,50,50,COFCO RET IVA            ,          ,1001,286492,0.00,5870.21,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,COFCO NIDERA                  ,                              
600,202005,2050,1,2050    ,1089,        ,0,2020-05-01,58,58,QUARIN FC 133902         ,          ,1,133902,0.00,57405.61,0                             ,0                             ,PROVEEDORES                   ,QUARIN Y CIA SRL              ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,58,58,QUARIN FC 133902         ,          ,0,0,8258.08,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,7010,1,7010    ,1,        ,0,2020-05-01,58,58,QUARIN FC 133902 1040    ,          ,0,0,49147.53,0.00,0                             ,0                             ,TRACTORES                     ,GAS OIL                       ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,59,59,BOTIJA SA FC 773         ,          ,0,0,1176.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,2050,1,2050    ,2655,        ,0,2020-05-01,59,59,BOTIJA SA FC 773         ,          ,2,773,0.00,7981.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
600,202005,9010,1,9010    ,15,        ,0,2020-05-01,59,59,BOTIJA SA FC 773         ,          ,0,0,5600.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
600,202005,9010,1,9010    ,15,        ,0,2020-05-01,59,59,BOTIJA SA FC 773 AYSA    ,          ,0,0,1205.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,60,60,A GROPPA FC 124 2 VECES  ,          ,0,0,0.00,9828.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,2050,1,2050    ,2617,        ,0,2020-05-01,60,60,A GROPPA FC 124 2 VECES  ,          ,0,124,56128.00,0.00,0                             ,0                             ,PROVEEDORES                   ,ANGELICA N GROPPA             ,                              
600,202005,8050,1,8050    ,5,        ,0,2020-05-01,60,60,A GROPPA FC 124 2 VECES  ,          ,0,0,0.00,46300.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,ALAMBRADOS Y TRANQUERAS       ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,72,72,BG GB                    ,          ,0,0,25.20,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,2050,1,2050    ,1039,        ,0,2020-05-01,72,72,BG GB                    ,          ,0,7,0.00,145.20,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,202005,9110,1,        ,0,        ,0,2020-05-01,72,72,BG GB                    ,          ,0,0,120.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,73,73,BG GB                    ,          ,0,0,25.20,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,2050,1,2050    ,1039,        ,0,2020-05-01,73,73,BG GB                    ,          ,0,8,0.00,145.20,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
600,202005,9110,1,        ,0,        ,0,2020-05-01,73,73,BG GB                    ,          ,0,0,120.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
600,202005,2050,1,2050    ,2097,        ,0,2020-05-01,74,74,ZABALA                   ,          ,0,0,30098.35,0.00,0                             ,0                             ,PROVEEDORES                   ,LUIS JOSE ZABALA              ,                              
600,202005,1020,1,1020    ,1,        ,0,2020-05-01,74,74,L  ZABALA                ,7799      ,0,0,0.00,30098.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,202005,2050,1,2050    ,1001,        ,0,2020-05-01,75,75,A SCHOEDER               ,          ,0,0,52281.89,0.00,0                             ,0                             ,PROVEEDORES                   ,ADOLFO SCHROEDER              ,                              
600,202005,1020,1,1020    ,1,        ,0,2020-05-01,75,75,A SCHOEDER               ,7798      ,0,0,0.00,52281.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
600,202005,1080,1,IVA     ,5,        ,0,2020-05-01,91,91,MAS FERRET FC 11130      ,          ,0,0,324.89,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
600,202005,2050,1,2050    ,2646,        ,0,2020-05-01,91,91,MAS FERRET FC 11130      ,          ,12,11130,0.00,1872.00,0                             ,0                             ,PROVEEDORES                   ,MAS FERRETERIA SA             ,                              
600,202005,8050,1,8050    ,6,        ,0,2020-05-01,91,91,MAS FERRET FC 11130      ,          ,0,0,1547.11,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,MOLINOS Y AGUADAS             ,                              
600,202005,1080,1,IVA     ,2,        ,0,2020-05-01,133,133,HB FC 101791             ,          ,0,0,3928.73,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
