CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,200808,1010,1,1010    ,1,        ,0,2008-08-13,145,47,CAJA/HG                  ,          ,0,0,450.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
60,200808,1010,1,1010    ,3,        ,0,2008-08-29,267,123,LQ F FONDOS              ,          ,0,0,0.00,554.57,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200808,1010,1,1010    ,3,        ,0,2008-08-29,268,125,LQ FONDOS                ,          ,0,0,0.00,89.07,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200808,1010,1,1010    ,3,        ,0,2008-08-30,299,303,LQ F FONDOS              ,          ,0,0,0.00,149.60,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-01,72,237,COMISION                 ,          ,0,0,0.00,164.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-01,37,108,BCO GAL GASTOS           ,          ,0,0,0.00,86.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-01,39,110,BCO GAL GASTO BCO        ,          ,0,0,0.00,28.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,77,2,DESAB FC 66936           ,TRANS     ,0,8768722,0.00,20358.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,78,3,SILVESTRE SALDO FC 240   ,TRANS     ,0,8769321,0.00,983.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,79,4,JULIO 2008               ,TRANS     ,0,8769187,0.00,105.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,80,5,JUAN                     ,TRANSF    ,0,8768627,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,81,6,MUNIC DE TEJ CAMINOS 4/08,TRASNS    ,0,8768486,0.00,7348.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,82,7,COOP DE TRANS FC 56793   ,TRANS     ,0,8768551,0.00,23426.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,84,9,OLEAG LQ 9318450         ,          ,0,0,62355.34,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,86,21,ASOC CRIAD DE HER TRIM 03,7698      ,0,522,0.00,150.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,87,22,AFIP                     ,7690      ,0,514,0.00,805.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-04,94,239,COMISION                 ,          ,0,0,0.00,102.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-05,108,240,MAPFRE SEG               ,          ,0,0,0.00,460.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-05,109,241,MAPFRE                   ,          ,0,0,0.00,170.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-05,98,20,MAPFRE SEG OF            ,7686      ,0,510,0.00,93.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-05,97,19,C SOC/EXP/AFIP           ,7681      ,0,505,0.00,9962.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-05,96,11,BELTON                   ,          ,0,0,52543.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-07,125,13,CRESPO LQ 3624           ,          ,0,0,55298.81,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-08,127,12,BOTIJA AGOSTO/08         ,6779      ,0,1300,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-08,128,18,ASOC C DE POLO           ,6796      ,0,1317,0.00,600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-08,129,280,POGGI FC 4454            ,7712      ,0,536,0.00,615.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-11,132,15,CROCE EXP JUAN           ,7692      ,0,517,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-11,133,16,GANAC ANT9               ,7687      ,0,511,0.00,14387.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-11,134,17,ANT 2 GANAN/BP SOCIOS    ,          ,0,0,0.00,3484.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-11,131,1,R VALLE FC 444           ,7696      ,0,520,0.00,936.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-12,138,53,BCO PASTEUR              ,          ,0,0,20000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-12,139,54,CLUB SKI  RESERVA TEM    ,7711      ,0,535,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-12,142,143,AUT ARDAMA FC 6496       ,3982      ,0,541,0.00,2594.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-13,147,49,ING BRUTOS JULIO/08      ,7701      ,0,525,0.00,594.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-13,148,52,NETIZEN FC 45398/089/698 ,3983      ,0,542,0.00,181.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-13,146,48,RET GAN                  ,7703      ,0,527,0.00,1154.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-13,144,39,JUAN                     ,TRANSF    ,0,8812556,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-13,143,28,ENCOS FC 1562            ,TRANS     ,0,8812243,0.00,1456.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-13,156,244,COMISION                 ,          ,0,0,0.00,4.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-15,180,246,COMISION                 ,          ,0,0,0.00,62.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-15,164,29,EXPENSAS JULIO AGUSTIN   ,TRANS     ,0,8821685,0.00,276.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-15,165,30,RUCAMALEN FC 25768       ,TRANSF    ,0,8822831,0.00,1888.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200808,1020,1,1020    ,1,        ,0,2008-08-15,170,42,SIGRA ND 1545            ,TRANS     ,0,0,0.00,27.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
