CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,200810,1010,1,1010    ,3,        ,0,2008-10-15,124,65,S FLIAR/FF               ,          ,0,0,42.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,29,100,COMISION                 ,          ,0,0,0.00,261.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,30,115,CRESPO LQ 3861           ,          ,0,0,97927.06,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,2,2,CORRAL FC 256            ,TRANSF    ,0,9006088,0.00,357.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,3,3,GIANNECHINI FC 1133/TIBER,TRANSF    ,0,9006006,0.00,428.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,4,4,JUAN                     ,TRANSF    ,0,5625,0.00,36000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,5,25,ENCOS FC 1617            ,TRANSF    ,0,9005150,0.00,3055.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,6,26,SINEGUB FC 4348          ,TRANSF    ,0,9005117,0.00,612.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,7,27,CARGILL ND 1992          ,TRANSF    ,0,9004977,0.00,409.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,8,28,THYSSEB PLASTIC FC 1909  ,TRANSF    ,0,9004532,0.00,15489.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,9,29,EXPENSAS SEP/08          ,0114      ,0,1364,0.00,98.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,10,30,MAPFRE SEG OFICINA       ,6824      ,0,1344,0.00,93.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200810,1020,1,1020    ,1,        ,0,2008-10-01,11,31,JOCKEY SEPT/08           ,98        ,0,1348,0.00,864.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
