CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,200901,1010,1,1010    ,3,        ,0,2009-01-02,35,5,BAUL/LIMP/TIN/EL TUC/AUT/,          ,0,0,0.00,335.41,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-01,33,207,IMP CREDITO              ,          ,0,0,0.00,237.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-02,36,6,GALICIA RURAL PAGO 60%   ,          ,0,0,0.00,15974.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-02,34,4,RAMER FC 2325            ,3054      ,0,619,0.00,585.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-03,38,3,MARTINDALE DICIEMBRE08   ,937       ,0,1405,0.00,4600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-05,42,7,POGGI FC 4612            ,3052      ,0,617,0.00,1220.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-05,43,8,JOCKEY                   ,0945      ,0,1412,0.00,900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-05,45,202,ZURICH POLIZA PEUGEOT207 ,          ,0,0,0.00,173.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-06,46,9,C SOC DIC08              ,7704      ,0,528,0.00,13938.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-06,47,10,RENATRE                  ,3044      ,0,609,0.00,326.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-06,48,11,EXP JUAN DIC08           ,4007      ,0,565,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-06,49,12,OS                       ,4009      ,0,567,0.00,643.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-06,50,13,AFIP                     ,3999      ,0,557,0.00,818.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-07,60,42,TEL DE ARG               ,6147      ,0,941,0.00,903.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-07,64,203,MENS                     ,3048      ,0,613,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-08,65,52,CARGILL                  ,          ,0,0,19935.23,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-10,87,1,FC 40324                 ,3991      ,0,0,0.00,47369.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-12,97,45,ESCUDERO FC 12675/12750  ,3068      ,0,630,0.00,5458.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-12,98,51,IN BRUTOS DIC09          ,3034      ,0,599,0.00,344.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-13,102,37,SDO /VAC                 ,          ,0,0,0.00,4153.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-14,114,47,AMX                      ,3046      ,0,611,0.00,493.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-14,115,48,HG                       ,1956      ,0,1277,0.00,9400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-14,116,49,IVA HG                   ,3038      ,0,603,0.00,1838.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-14,117,56,VISA DIC08               ,3039      ,0,604,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-14,121,204,COOP DE TRB FC 3792      ,          ,0,0,18000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-15,126,205,OSDE                     ,          ,0,0,0.00,634.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-15,123,76,MICELLI FC 3216 CUOTA 1  ,0948      ,0,149,0.00,2500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-15,122,14,ENCOS FC 1723            ,3067      ,0,629,0.00,457.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-16,127,67,LDC                      ,          ,0,0,1570.97,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-16,131,194,AGROPASTEUR FC 390/86/175,0949      ,0,655,0.00,4513.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-20,136,50,MAPFRE 2/12 ACC PERS     ,4027      ,0,585,0.00,119.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-20,137,77,COOP DE ELECT 505824/5/6 ,0953      ,0,652,0.00,1016.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-20,138,82,CASADO FC 3347           ,0950      ,0,1449,0.00,2387.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-20,135,16,COOP DE CHAC FC 58630    ,3059      ,0,622,0.00,11197.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-26,164,74,EXP CALD                 ,4029      ,0,587,0.00,366.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-27,167,75,JUAN                     ,940       ,0,1410,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-30,197,78,PICO FC 366              ,0952      ,0,651,0.00,5967.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-30,198,80,VELASCO HNOS FC 319      ,0951      ,0,1450,0.00,11784.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200901,1020,1,1020    ,1,        ,0,2009-01-30,196,53,THYSEN FC 1995           ,3072      ,0,634,0.00,1058.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
