CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,200904,1010,1,1010    ,3,        ,0,2009-04-27,280,173,FF                       ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-01,27,161,SEM                      ,9865      ,0,690,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-01,4,13,BCO GAL                  ,          ,0,0,0.00,233.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-03,65,11,JUAN                     ,9179      ,0,709,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-03,63,9,CASA EL TUCUMANO FC 57383,9188      ,0,718,0.00,833.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-03,64,10,AFIP                     ,4014      ,0,572,0.00,873.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-03,72,48,JUAN                     ,9180      ,0,710,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-03,73,49,BOTIJA SA                ,3040      ,0,605,0.00,770.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-04,81,53,C SOC MARZO/09           ,1348      ,0,673,0.00,9648.13,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-04,80,2,MARTINDALE MARZO09       ,9191      ,0,721,0.00,5163.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-06,88,52,JOCKEY 03/2009           ,9190      ,0,720,0.00,1038.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-06,91,332,MAPFRE                   ,          ,0,0,0.00,173.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-06,92,333,MAPFRE                   ,          ,0,0,0.00,387.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-07,96,334,MAPFRE                   ,          ,0,0,0.00,226.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-08,101,80,AGRO PASTEUR FC          ,6690      ,0,694,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-10,120,1,ESCUDERO FC 19072        ,1416      ,0,827,0.00,1464.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-13,124,72,SAENZ FC 11697           ,9209      ,0,739,0.00,28412.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-13,128,111,MOL RIO                  ,          ,0,0,79874.10,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-14,135,88,M GRAFICA FC 9772        ,9187      ,0,717,0.00,592.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-15,144,76,MULTI TRA FC 1375        ,9204      ,0,734,0.00,8627.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-15,139,14,CRESPO                   ,          ,0,0,62074.60,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-15,140,19,MOLINOS RIO              ,          ,0,0,46654.53,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-15,143,51,POGGI FC 4718            ,9189      ,0,719,0.00,1220.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-15,149,155,EL GURRIA FC 2470        ,9858      ,0,683,0.00,155.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-16,150,21,MOLINOS RIO              ,          ,0,0,24339.79,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-16,157,335,OSDE JAIME               ,          ,0,0,0.00,666.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-17,193,356,VISA MARZO09             ,9208      ,0,738,0.00,7925.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-17,158,17,TRASP RENDY              ,          ,0,0,427.77,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200904,1020,1,1020    ,1,        ,0,2009-04-17,159,32,DESAB FC 72913           ,1409      ,0,820,0.00,2922.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
