CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,200905,1010,1,1010    ,3,        ,0,2009-05-15,139,102,FF                       ,          ,0,0,200.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200905,1010,1,1010    ,3,        ,0,2009-05-20,172,103,LQ FF                    ,          ,0,0,0.00,634.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200905,1010,1,1010    ,3,        ,0,2009-05-27,203,146,FF                       ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-01,32,113,COMISION                 ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-01,24,105,COMISION                 ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-01,26,107,CHEQ                     ,          ,0,0,0.00,6.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-01,28,109,CHEQ                     ,          ,0,0,0.00,38.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-01,30,111,CHEQ                     ,          ,0,0,0.00,38.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-04,41,6,CARGILL                  ,          ,0,0,21632.21,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-04,42,22,MARTINDALE ABRIL 2009    ,          ,0,0,0.00,5634.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-04,43,23,BRUNO SCHOEDERFC 101     ,9202      ,0,732,0.00,10533.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-04,44,24,BERTHE FC 3263           ,9861      ,0,686,0.00,220.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-04,45,25,JOCKEY ABRIL2004         ,9871      ,0,697,0.00,1082.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-04,46,26,POGGI FC 4756            ,9869      ,0,695,0.00,1220.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-04,47,27,TEL DE ARG               ,9872      ,0,698,0.00,511.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-04,61,156,COMISION                 ,          ,0,0,0.00,253.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-05,74,157,MAPFRE                   ,          ,0,0,0.00,173.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-05,75,158,MAPFRE                   ,          ,0,0,0.00,387.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-05,77,160,COMISION                 ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-05,67,7,CARGILL                  ,          ,0,0,23233.04,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-05,73,35,BOTIJA MAYO09            ,9877      ,0,703,0.00,770.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-07,84,161,MAPFRE                   ,          ,0,0,0.00,226.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,97,39,FC 164                   ,9306      ,0,736,0.00,4795.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,99,41,CRESPO                   ,          ,0,0,58658.71,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,86,9,FUM DON SANT FC 1755     ,9194      ,0,724,0.00,901.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,87,10,AGROSERV PASTEUR 900124  ,9878      ,0,704,0.00,11738.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,88,11,ENCOS SH FC 1812         ,9859      ,0,684,0.00,3185.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,89,12,C SOC ABRIL09            ,9876      ,0,702,0.00,9455.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,90,13,NETIZEN                  ,9900      ,0,724,0.00,65.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,91,14,PELAZAS FC 491           ,9201      ,0,731,0.00,2533.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,95,20,EL CUYANO FC 1027        ,9881      ,0,707,0.00,5182.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,96,21,DIEGO HNOS FC 12080      ,9879      ,0,705,0.00,258.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,92,17,JUAN                     ,6706      ,0,661,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-08,94,19,JUAN MENCHACA FC 3711    ,9199      ,0,729,0.00,4396.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-10,109,37,POSTACHINI FC 413        ,9886      ,0,711,0.00,5746.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-11,112,36,SIGRA FC 34450/2373      ,9596      ,0,720,0.00,4720.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-11,110,32,PASTEUR                  ,940       ,0,1408,0.00,4541.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-11,111,33,C SOC ABRIL09            ,9864      ,0,700,0.00,5118.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-11,113,38,CREA  ABRIL 09           ,6725      ,0,680,0.00,2085.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-13,123,48,FUTSAN                   ,1422      ,0,1367,0.00,8239.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-13,122,47,GUIAS                    ,1423      ,0,1368,0.00,2008.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-15,133,5,GIANNECHINI FC 1258/19   ,9862      ,0,687,0.00,670.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-15,139,102,FF                       ,6707      ,0,662,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-15,134,62,AS FC MARZO09            ,6721      ,0,676,0.00,1776.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-15,135,69,DIESEL LANGE FC 12684/677,9899      ,0,723,0.00,1412.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-15,136,70,I BRUTOS ABRIL           ,3035      ,0,600,0.00,749.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-15,142,162,OSDE                     ,          ,0,0,0.00,728.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,156,126,EXPENSAS                 ,5106      ,0,6,0.00,98.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,147,88,OSDE                     ,5114      ,0,14,0.00,743.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,148,89,AFIP                     ,5120      ,0,20,0.00,857.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,149,90,EX ABRIL09               ,5119      ,0,19,0.00,494.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,150,91,PATENTE                  ,5113      ,0,13,0.00,1249.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,151,93,AMX                      ,5116      ,0,16,0.00,616.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,152,95,CORRAL FC 377            ,5126      ,0,26,0.00,420.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,153,96,CASA TINE                ,9905      ,0,728,0.00,131.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,154,97,SERVICOOP FC 55558       ,5104      ,0,4,0.00,193.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,155,98,MORALEJO FC 1130         ,5107      ,0,7,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,146,45,COOP DE C TEJ            ,5130      ,0,30,0.00,1250.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-18,160,271,VISA                     ,5129      ,0,29,0.00,3950.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-19,163,164,CHEQUERA                 ,          ,0,0,0.00,38.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-20,173,119,LORENZETTI FC 116        ,5134      ,0,34,0.00,9017.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,178,120,IVA                      ,5124      ,0,24,0.00,1470.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,179,121,PASTEUR                  ,          ,0,0,0.00,3000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,180,122,LORENZETTI  A CTA GASOIL ,5115      ,0,15,0.00,4319.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,181,125,ZABALA FC 17743/742      ,5112      ,0,12,0.00,101.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,175,115,C MIRANDA FC 133         ,9888      ,0,715,0.00,1210.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,176,116,FUM DON SANT FC 1788     ,5111      ,0,11,0.00,2360.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,177,117,RUCAMALEN FC 26719       ,9197      ,0,727,0.00,2036.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,182,128,EXP JAIME                ,5118      ,0,18,0.00,310.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-21,184,166,CHEQ                     ,          ,0,0,0.00,56.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-24,186,16,BASC MAGRIS FC 239       ,9901      ,0,725,0.00,2670.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-26,194,147,MENS                     ,8403      ,0,43,0.00,650.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-26,191,127,GASTON FEIL              ,5132      ,0,32,0.00,330.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-27,206,150,COMB FLIAR               ,8410      ,0,50,0.00,444.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200905,1020,1,1020    ,1,        ,0,2009-05-27,207,151,TEL MARTINDALE           ,8413      ,0,53,0.00,249.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
