CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,200912,1010,1,1010    ,3,        ,0,2009-12-16,117,214,AMX A CTA                ,          ,0,0,0.00,500.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200912,1010,1,1010    ,3,        ,0,2009-12-16,107,40,F FONDOS                 ,          ,0,0,250.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-01,2,3,BCO GAL COMISION         ,          ,0,0,0.00,234.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-02,46,4,SIGRA FC 36076/ND3106    ,99        ,0,1175,0.00,15459.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-02,47,5,CSOC/AUTONO/DOMES        ,5298      ,0,972,0.00,11569.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-02,48,6,JU7AN                    ,107       ,0,1182,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-02,49,7,NORYSUR 2009             ,98        ,0,1174,0.00,1400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-05,62,25,MARTINDALE NOV09         ,5314      ,0,1033,0.00,4612.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-07,68,198,ZURICH                   ,          ,0,0,0.00,210.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-11,72,11,JUAN                     ,109       ,0,1183,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-13,77,23,MAPFRE MUC               ,4020      ,0,993,0.00,97.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-14,90,22,CROCE EXP  NOV09         ,4035      ,0,1007,0.00,420.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-14,88,20,MAPFRE                   ,4021      ,0,994,0.00,121.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-14,89,21,TEL DE ARG               ,4011      ,0,989,0.00,728.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-14,91,26,ELENA AVELLANEDA         ,5317      ,0,1034,0.00,9522.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-14,82,14,AFIP MORAT GAN           ,101       ,0,1177,0.00,152.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-14,83,15,AFIP MORAT               ,102       ,0,1178,0.00,355.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,200912,1020,1,1020    ,1,        ,0,2009-12-14,84,16,AFIP                     ,103       ,0,1179,0.00,4798.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
