CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201009,1010,1,1010    ,3,        ,0,2010-09-01,17,34,F  F FONDOS LQ           ,          ,0,0,0.00,579.22,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201009,1010,1,1010    ,3,        ,0,2010-09-01,23,81,CETELEC FC 4248          ,          ,0,0,7.62,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201009,1010,1,1010    ,3,        ,0,2010-09-13,94,68,F FONDO                  ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,23,81,CETELEC FC 4248          ,9230      ,0,362,0.00,159.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,1,3,SAENZ                    ,3218      ,0,34,0.00,56555.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,3,8,J MENDIZABAL FC 920      ,3879      ,0,494,0.00,6678.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,4,9,LUIS ZABALA FC 21845/20/4,3860      ,0,475,0.00,2635.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,5,10,ESCUDERO FC 15153/60/93  ,3876      ,0,491,0.00,2944.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,6,11,JOCKEY AGOSTO10          ,3216      ,0,32,0.00,1327.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,7,12,EL GURRIA FC 1566/7/36/49,3226      ,0,44,0.00,4052.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,8,13,RUCAMALEN FC 48053       ,3883      ,0,497,0.00,11.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,9,14,TINO                     ,3231      ,0,48,0.00,270.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,10,15,DON NESTOR FC 4216       ,3882      ,0,496,0.00,7805.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,11,16,BOTIJA ALQ SEP2010       ,3203      ,0,503,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,15,27,BCO GAL                  ,          ,0,0,0.00,300.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-01,25,229,BCO GAL COMIS            ,          ,0,0,0.00,4.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-02,27,19,LIBRERIA STA FE FC 640   ,3852      ,0,467,0.00,387.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-04,35,7,MILAGROS FC 723          ,3234      ,0,50,0.00,3490.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-04,38,79,MARTINDALE 02/2010       ,3232      ,0,49,0.00,5731.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-06,47,23,AS FC JULIO2010          ,3875      ,0,490,0.00,43075.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-06,50,28,ZURICH                   ,          ,0,0,0.00,242.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-06,51,29,MAPFRE                   ,          ,0,0,0.00,290.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-06,52,30,MAPFRE                   ,          ,0,0,0.00,449.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-06,48,24,OLEAG                    ,          ,0,0,178923.29,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-06,54,42,BCO GAL                  ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-06,55,43,AFIP                     ,          ,0,0,0.00,1237.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-07,63,31,C SOC AGOSTO10           ,3227      ,0,45,0.00,10549.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-07,64,32,BRANDEMAN                ,          ,0,489,0.00,43599.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-09,71,47,MAPFRE                   ,3211      ,0,27,0.00,96.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-09,72,48,AFIP MOR ELAINE          ,3209      ,0,25,0.00,1139.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-09,73,49,AFIP MORAT               ,3207      ,0,24,0.00,164.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-09,74,50,TEL DE ARG               ,3217      ,0,33,0.00,619.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-09,75,54,VISA AGOSTO10            ,3235      ,0,53,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,90,61,MOLINOS RIO              ,          ,0,0,4025.52,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,94,68,F FONDO                  ,          ,0,525,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,95,69,EXPENSAS OF AGOSTO       ,13        ,0,516,0.00,147.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,96,70,EXPENSAS JUAN            ,14        ,0,517,0.00,504.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,91,64,I BRUTOS                 ,3201      ,0,501,0.00,3261.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,92,65,RET GAN                  ,5         ,0,508,0.00,2204.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,93,66,RET GAN                  ,6         ,0,509,0.00,117.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,97,71,CASA EL TUCUMANO         ,25        ,0,526,0.00,106.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,98,73,TEL DE ARG MARTINDALE    ,3247      ,0,61,0.00,209.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,99,87,AMX FC 57933             ,3241      ,0,58,0.00,370.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,104,119,DESAB SALDO CTA CTE      ,07        ,0,510,0.00,752.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,105,120,DIESEL LANGE FC 25366    ,22        ,0,523,0.00,386.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,106,121,SERVICOOP FC 60607       ,3         ,0,506,0.00,193.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,107,134,BRIT                     ,09        ,0,512,0.00,430.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,109,137,COOP DE C TEJ            ,8         ,0,511,0.00,1658.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-13,110,139,CREA FC 94010            ,15        ,0,518,0.00,333.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-14,117,63,NANTEX SA FC 10680       ,3248      ,0,62,0.00,953.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-15,123,72,SEG SEP AGOSTO2010       ,26        ,0,527,0.00,230.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-15,124,74,TRANS RIVA FC 25128      ,11        ,0,514,0.00,5114.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-15,122,67,CONSOLIDAR SEG PERSONAL  ,3243      ,0,60,0.00,568.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201009,1020,1,1020    ,1,        ,0,2010-09-15,121,2,RISSO FC 826             ,3691      ,0,892,0.00,14688.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
