CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201106,1010,1,1010    ,3,        ,0,2011-06-24,166,103,LIQ FF                   ,          ,0,0,0.00,455.05,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-01,1,3,EXPENSAS OF              ,6281      ,0,271,0.00,147.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-01,2,4,BOPTIJA SA               ,6280      ,0,270,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-01,4,6,JOCKEY MAYO2011          ,6277      ,0,267,0.00,896.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-01,3,5,TINO LIM P/BAUL          ,6285      ,0,275,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-01,6,9,BCO GAL GB               ,          ,0,0,0.00,395.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-01,10,17,MUNIC CT                 ,4792      ,0,769,0.00,8466.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-01,22,248,BG AJ                    ,          ,0,0,0.00,638.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-01,23,249,BCO GAL GB               ,          ,0,0,0.00,402.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-02,25,16,REGGI SA   A CTA         ,6269      ,0,260,0.00,9337.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-02,26,18,SIMONDI FC 12401         ,6274      ,0,264,0.00,195.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-02,27,19,CALLES FC 320            ,6264      ,0,256,0.00,160.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-02,24,7,CRESPO                   ,          ,0,0,146770.90,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-03,36,39,PUEBLO CHICO FC 30868    ,6266      ,0,258,0.00,19575.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,49,49,MARTINDALE 5/2011        ,          ,0,0,0.00,8239.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,39,10,MAPFRE                   ,          ,0,0,0.00,529.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,40,11,MAPFRE                   ,          ,0,0,0.00,362.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,41,12,ZURICH                   ,          ,0,0,0.00,281.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,42,20,F SEPELIO MAYO2011       ,6282      ,0,272,0.00,303.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,43,21,ARBA                     ,6284      ,0,274,0.00,9754.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,44,22,AFIP                     ,6283      ,0,273,0.00,1427.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,45,24,TEXEIRA FC 4676          ,4769      ,0,748,0.00,541.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-06,53,94,POGGI FC 5692            ,6261      ,0,253,0.00,1712.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-07,56,25,SAENZ                    ,          ,0,0,148018.89,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-08,62,96,BCO GAL CHEQ             ,          ,0,0,0.00,125.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-09,65,44,TRAN RENDY FC 255        ,          ,0,0,34680.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-10,73,38,REGGI RET GAN            ,6270      ,0,261,0.00,3775.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-10,74,50,AFIP MOR                 ,          ,0,0,0.00,168.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-10,75,51,MOR                      ,6542      ,0,628,0.00,169.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-10,76,52,CABALEIRO FC 661         ,6273      ,0,263,0.00,6156.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-10,72,1,OSPAC ANA                ,235       ,0,734,0.00,1027.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,82,55,AFIP RET GAN             ,4801      ,0,778,0.00,590.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,83,56,CSOC MAYO2011            ,4793      ,0,770,0.00,13456.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,84,57,IIBB 05/2011             ,4795      ,0,772,0.00,2152.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,85,58,OS                       ,4794      ,0,771,0.00,1179.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,86,59,COOP DE TRES AL FC 124/10,4798      ,0,775,0.00,440.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,81,43,TEL DE ARG               ,4803      ,0,780,0.00,354.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,80,40,BELTON                   ,          ,0,0,18905.60,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,87,60,COOP DE CT FC 56/7/8     ,4799      ,0,776,0.00,1987.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,88,61,SERVICOOP FC 63114       ,4800      ,0,777,0.00,193.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-13,89,62,MER MEN                  ,4802      ,0,779,0.00,1690.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-15,99,98,CASADO FC 1659           ,6263      ,0,255,0.00,2582.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-15,98,97,OSDE                     ,          ,0,0,0.00,1522.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-16,103,92,M GRAFICA FC 12143       ,4806      ,0,783,0.00,1185.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-16,102,82,SILVIA JUNIO2011         ,6287      ,0,1,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,113,81,JAIME PAGO ALEJANDRO     ,2203      ,0,800,0.00,1907.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,114,83,MENS                     ,2195      ,0,792,0.00,280.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,115,84,AMX                      ,2201      ,0,798,0.00,779.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,116,85,CUENCA                   ,2191      ,0,788,0.00,6000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,117,86,EXPENSAS                 ,4805      ,0,782,0.00,147.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,118,87,TEL DE ARG               ,2194      ,0,791,0.00,513.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,119,88,MAPFRE                   ,2199      ,0,796,0.00,97.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,120,89,MAPFRE                   ,2198      ,0,795,0.00,97.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,121,90,CERT /REE                ,6288      ,0,2,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,123,100,BCO GAL GB               ,          ,0,0,0.00,128.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-17,111,45,TRANS RENDY FC 255       ,          ,0,0,586.80,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-21,134,42,CREA MAYO2011            ,6265      ,0,257,0.00,3423.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-21,135,80,BP CUOTA 2               ,2200      ,0,797,0.00,5712.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-23,149,101,CRESPO                   ,          ,0,0,169111.59,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201106,1020,1,1020    ,1,        ,0,2011-06-23,151,109,OLEAG                    ,          ,0,0,100078.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
