CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201107,1010,1,1010    ,3,        ,0,2011-07-01,43,83,FF                       ,          ,0,0,400.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201107,1010,1,1010    ,3,        ,0,2011-07-30,251,125,EL GURRIA FC 1728/631    ,          ,0,0,0.00,2.03,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201107,1010,1,1010    ,3,        ,0,2011-07-30,255,192,LQ FF                    ,          ,0,0,0.00,332.73,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,43,83,FF                       ,8499      ,0,9,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,11,14,PUEBLO CHICO DIF FC 30868,8512      ,0,20,0.00,4143.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,12,15,AGROSERV A CTA           ,8524      ,0,31,0.00,5871.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,13,20,DEL RIO FC 11383/11430/76,6276      ,0,266,0.00,3621.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,14,22,POGGI FC 37              ,8531      ,0,37,0.00,1712.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,15,23,CREA  ABRIL/MAYO         ,4810      ,0,787,0.00,767.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,16,24,AFIP RET GAN             ,2196      ,0,793,0.00,154.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,17,25,COOP CHAC FC 72470       ,6279      ,0,269,0.00,31543.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,18,26,JUAN JULIO2011           ,8495      ,0,5,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,19,28,LIMPIEZA OF/BAULERA      ,8500      ,0,10,0.00,320.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,20,29,JOCKEY 06/2011           ,8503      ,0,12,0.00,848.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,21,30,JAIME JUNIO2011          ,8494      ,0,4,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,23,33,C SOC JUNIO2011          ,8493      ,0,3,0.00,20966.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,24,35,REGGI FC 12925           ,8526      ,0,33,0.00,31611.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-01,56,225,BCO GAL IIBB             ,          ,0,0,0.00,5.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-02,61,16,AS FC ABRIL2011          ,8511      ,0,19,0.00,6073.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-04,63,34,AFIP RET GAN HG /ELAINE  ,6294      ,0,42,0.00,37200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-04,64,36,PASTEUR                  ,2210      ,0,807,0.00,25000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-04,65,57,TEL DE ARG               ,2204      ,0,801,0.00,191.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-05,72,31,MARTINDALE JUNIO2011     ,6293      ,0,41,0.00,8138.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-05,71,27,ALQUILER JULIO 2011      ,8207      ,0,804,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-05,81,227,ZURICH                   ,          ,0,0,0.00,281.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-05,82,228,MAPFRE                   ,          ,0,0,0.00,362.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-05,83,229,MAPFRE                   ,          ,0,0,0.00,529.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-06,85,19,SIMONDI FC 12454         ,8514      ,0,22,0.00,212.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-08,101,55,ZABAL 2018/031           ,8521      ,0,28,0.00,402.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-08,102,56,COOP DE TRES AL          ,2212      ,0,808,0.00,247.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-08,98,52,DINOSAURIO SA /AUARI/CORR,6297      ,0,294,0.00,1640.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-08,100,54,REGGI FC 15202           ,8517      ,0,25,0.00,31829.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-08,95,37,EXPENSAS  JUNI2011       ,2208      ,0,805,0.00,188.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-09,115,51,DEANE FC 548             ,6298      ,0,295,0.00,2590.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-10,116,1,OSPAC ANA                ,236       ,0,735,0.00,1027.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-11,118,38,ARBA                     ,8501      ,0,11,0.00,20305.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-11,119,42,SEG SEPELIO              ,2209      ,0,806,0.00,464.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-11,120,43,GAN ANT 8                ,2213      ,0,809,0.00,8236.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-11,121,44,AFIP BETTY JULIO2011     ,8508      ,0,16,0.00,35.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-11,122,45,SILVIA JULIO2011         ,8509      ,0,17,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-11,123,101,COOP DE C TEJ            ,2224      ,0,817,0.00,1732.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-15,139,107,OSDE                     ,2215      ,0,811,0.00,1175.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-15,134,2,SANTAMARIA FC 218        ,6286      ,0,276,0.00,35844.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-15,135,13,CASADO FC 1689           ,8529      ,0,35,0.00,1490.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-15,136,18,DEL RIO FC 11529/649     ,8515      ,0,23,0.00,561.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-15,142,156,CRESPO LQ 6767           ,          ,0,0,136431.70,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-15,143,230,OSDE                     ,          ,0,0,0.00,1522.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,152,112,IVA ANUAL 2011           ,2232      ,0,825,0.00,2335.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,153,114,AUT 07/2011/MONOT        ,2228      ,0,821,0.00,1392.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,154,115,AFIP RET GAN             ,2216      ,0,812,0.00,501.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,155,116,MENS                     ,2220      ,0,814,0.00,280.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,157,128,ALONSO FC 3394           ,1711      ,0,253,0.00,251.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,149,106,DECESARE FC 29451/303    ,8522      ,0,29,0.00,1340.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,147,104,RUCAM FC 29949           ,8510      ,0,18,0.00,4923.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,148,105,SIGRA FC 38347           ,8523      ,0,30,0.00,1616.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,150,108,CUENCA                   ,2229      ,0,822,0.00,7000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,151,109,NONKEL FC 8/5            ,2231      ,0,824,0.00,9435.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,145,102,COOP DE CHAC             ,2226      ,0,819,0.00,50.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-18,146,103,ELAINE MORAT             ,2217      ,0,813,0.00,352.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-19,165,111,YPF GAS FC 46647         ,2223      ,0,816,0.00,2234.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201107,1020,1,1020    ,1,        ,0,2011-07-19,166,117,MAPFRE                   ,2205      ,0,802,0.00,64.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
