CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201108,1010,1,1010    ,3,        ,0,2011-08-12,108,51,FF                       ,          ,0,0,400.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,1,7,EST LA PELADA            ,          ,0,0,20804.32,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,2,11,JOCKEY CLUB JUNIO2011    ,1729      ,0,269,0.00,848.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,3,12,JUAN JULIO11             ,1733      ,0,273,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,4,13,SILVIA ARIAS AGOSTO2011  ,1734      ,0,274,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,5,15,ASOC ARG DE HEREF 3 TRIME,1732      ,0,272,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,25,137,BCO GAL GB               ,          ,0,0,0.00,366.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,27,139,GAL GB                   ,          ,0,0,0.00,78.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,29,141,GAL CERT FIRMA           ,          ,0,0,0.00,60.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,31,143,GAL GB                   ,          ,0,0,0.00,78.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,33,145,GAL GB                   ,          ,0,0,0.00,415.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-01,34,146,GAL IIBB                 ,          ,0,0,0.00,6.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-02,37,69,ARBA MARTINDALE          ,8427      ,0,47,0.00,1847.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-03,49,93,EXP OF JULIO2011         ,8425      ,0,46,0.00,188.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-03,43,26,PRESTAMO A EL INDIO      ,8445      ,0,64,0.00,6066.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-03,44,27,PREST EL INDIO           ,8444      ,0,63,0.00,4000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201108,1020,1,1020    ,1,        ,0,2011-08-03,45,28,PREST EL INDIO           ,8442      ,0,61,0.00,9041.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
